fund,underlying_log_growth,leverage_times_underlying_log_growth,ideal_leveraged_log_growth,path_compounding_gap_log,funding_fees_spread_gap_log,net_synthetic_log_growth
UPRO,5.140086646969711,15.420259940909133,10.744110993378637,-4.6761489475304945,-5.066691406734057,5.677419586644581
SSO,5.140086646969711,10.280173293939422,8.749403487643946,-1.5307698062954755,-2.7301348870294238,6.019268600614522
TQQQ,5.760207330538354,17.280621991615064,8.985202487949234,-8.29541950366583,-3.5651506301695344,5.4200518577797006
TMF,2.2687996121085554,6.806398836325666,4.932407842284276,-1.8739909940413917,-3.4815092884359173,1.4508985538483583
