strategy,cagr,max_drawdown,terminal_multiple,historical_rank
SP500_1X,0.1126353848,-0.5525024107,70.90685227,6
UPRO_SMA_TO_SP500,0.1714805974,-0.75410237,555.0383186,2
UPRO60_TMF40,0.1702554096,-0.7068610561,532.3274411,3
LEAPS_80_25_TREASURY,0.1246550497,-0.4587386717,108.8935242,5
LEAPS_85_30_TREASURY,0.1425885916,-0.4944916535,204.7934226,4
LEAPS_95_50_TREASURY,0.1922001236,-0.7285385375,1117.69323,1
