series,fund,lag,cost_bps,horizon_years,cohorts,first_entry,last_entry,min_terminal_multiple,median_terminal_multiple,min_cagr,median_cagr,min_ratio_vs_no_reserve,median_ratio_vs_no_reserve,max_ratio_vs_no_reserve,fraction_outperforming_no_reserve,cohort_kind
BAND_DRAWDOWN,UPRO,LAG2,0,20,240,1986-09-30,2006-08-31,6.291277641,18.26164121,0.09631900446,0.1562938758,0.8613470651,1.011298006,1.162194228,0.5833333333,fresh_investor_reset
BAND_DRAWDOWN,UPRO,LAG2,0,30,120,1986-09-30,1996-08-30,66.75620508,145.9974118,0.1503066038,0.1807232714,0.8846284857,0.9397619622,1.055987483,0.125,fresh_investor_reset
BAND_DRAWDOWN,UPRO,LAG2,25,20,240,1986-09-30,2006-08-31,4.438482323,13.08265636,0.07736217712,0.1371840565,0.8810673154,1.040776761,1.20011557,0.6666666667,fresh_investor_reset
BAND_DRAWDOWN,UPRO,LAG2,25,30,120,1986-09-30,1996-08-30,41.71101112,92.09940062,0.1324157288,0.1627199988,0.9195424636,0.9788783923,1.104881686,0.3583333333,fresh_investor_reset
FIXED_85_15,SSO,LAG1,0,20,240,1986-09-30,2006-08-31,2.832155369,7.737449026,0.05343041604,0.1077193735,0.730304287,0.852464659,0.9678017121,0,fresh_investor_reset
FIXED_85_15,SSO,LAG1,0,30,120,1986-09-30,1996-08-30,23.71687221,34.00746442,0.1113047118,0.1247227529,0.6640554065,0.7076679708,0.7738865663,0,fresh_investor_reset
FIXED_85_15,SSO,LAG1,25,20,240,1986-09-30,2006-08-31,2.054907007,5.654417947,0.03666779894,0.09047112859,0.7645048909,0.9002069148,1.024738201,0.004166666667,fresh_investor_reset
FIXED_85_15,SSO,LAG1,25,30,120,1986-09-30,1996-08-30,15.43382561,21.8897727,0.09550402786,0.1083183324,0.7176857084,0.7647251696,0.835553044,0,fresh_investor_reset
FIXED_85_15,SSO,LAG2,0,20,240,1986-09-30,2006-08-31,3.820198118,8.963423152,0.06931163988,0.115879164,0.7238879819,0.834185905,0.9280800798,0,fresh_investor_reset
FIXED_85_15,SSO,LAG2,0,30,120,1986-09-30,1996-08-30,26.35736673,40.73849155,0.1152217723,0.1315382932,0.6368804481,0.685995885,0.7662057472,0,fresh_investor_reset
FIXED_85_15,SSO,LAG2,25,20,240,1986-09-30,2006-08-31,2.770702519,6.601015074,0.05227558744,0.09894168961,0.7576446209,0.8804380595,0.9794095736,0,fresh_investor_reset
FIXED_85_15,SSO,LAG2,25,30,120,1986-09-30,1996-08-30,17.1477222,26.2614816,0.09935596567,0.115091827,0.686800904,0.7414687862,0.8270400912,0,fresh_investor_reset
FIXED_85_15,UPRO,LAG1,0,20,240,1986-09-30,2006-08-31,3.124620749,11.3343123,0.05861944172,0.1290665219,0.7152569903,0.8699408271,1.040319747,0.01666666667,fresh_investor_reset
FIXED_85_15,UPRO,LAG1,0,30,120,1986-09-30,1996-08-30,41.68102732,69.01167168,0.1323885862,0.1515812274,0.6541328204,0.7161991206,0.8012739586,0,fresh_investor_reset
FIXED_85_15,UPRO,LAG1,25,20,240,1986-09-30,2006-08-31,2.271496639,8.327660639,0.04187497062,0.1117825472,0.749760983,0.9217025306,1.103654327,0.125,fresh_investor_reset
FIXED_85_15,UPRO,LAG1,25,30,120,1986-09-30,1996-08-30,27.18055998,44.6047722,0.1163655649,0.1349372241,0.7073747633,0.7769188892,0.8668922389,0,fresh_investor_reset
FIXED_85_15,UPRO,LAG2,0,20,240,1986-09-30,2006-08-31,5.091777028,14.89174064,0.08478449436,0.1445827839,0.6864472553,0.8333471354,0.9403420088,0,fresh_investor_reset
FIXED_85_15,UPRO,LAG2,0,30,120,1986-09-30,1996-08-30,51.37998078,102.8423457,0.1403124409,0.1669844946,0.5932725834,0.6671512106,0.7883579506,0,fresh_investor_reset
FIXED_85_15,UPRO,LAG2,25,20,240,1986-09-30,2006-08-31,3.699090027,11.04956892,0.06759060942,0.127629089,0.7237333526,0.8813484023,0.9966258652,0,fresh_investor_reset
