case,arm,dial,block_days,iv_premium,roll,treasury_leverage,horizon_years,paths,strategy,family,underlying,moneyness,premium_budget,mean_cagr,max_drawdown_median,worst_max_drawdown,prob_negative_cagr,prob_below_own_underlying,prob_below_sp500,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,max_drawdown_p90,max_drawdown_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_90_50,SP500 LEAPS,SP500_1X,0.9,0.5,0.2036860073,-0.6761727008,-0.9697563109,0.001333333333,0.01966666667,0.01966666667,0.08427475924,11.32997774,0.1039840294,19.45102791,0.2001427004,238.2841238,0.3052008157,2954.467236,0.337609046,6166.645267,-0.8061971669,-0.8449791901,1,0.988,0.8016666667,0.223,2.31409299,0.5175969739,0.4824030261,2.794993322
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_95_30,SP500 LEAPS,SP500_1X,0.95,0.3,0.1706523318,-0.5093310061,-0.8775849475,0,0.02,0.02,0.08499202044,11.55699228,0.1009312391,17.90041167,0.1685763157,107.1038337,0.2435078965,691.173934,0.2650727702,1157.72399,-0.6290415088,-0.675917501,0.939,0.5456666667,0.1633333333,0.01033333333,1.602127403,0.3252929549,0.6747070451,2.277266963
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_95_35,SP500 LEAPS,SP500_1X,0.95,0.35,0.1835810683,-0.5645920775,-0.9193564638,0,0.01566666667,0.01566666667,0.08556538438,11.7416572,0.1038737138,19.39283409,0.1805301313,145.3486468,0.2663453481,1193.178737,0.2939231578,2277.238087,-0.6922458763,-0.7359352752,0.9923333333,0.7806666667,0.3546666667,0.03433333333,1.850227245,0.3741045484,0.6258954516,2.476206074
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_95_40,SP500 LEAPS,SP500_1X,0.95,0.4,0.1950246021,-0.6173298757,-0.9481932931,0.0003333333333,0.01833333333,0.01833333333,0.08455215815,11.41725135,0.1039780903,19.44788875,0.1910116242,189.4889678,0.2884726094,2006.35191,0.3206193419,4202.377151,-0.7467307498,-0.7886367206,0.9993333333,0.9243333333,0.5786666667,0.09566666667,2.095653421,0.4223245834,0.5776754166,2.673010487
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_95_45,SP500 LEAPS,SP500_1X,0.95,0.45,0.2049904933,-0.668533634,-0.9676695099,0.001333333333,0.02166666667,0.02166666667,0.08296368939,10.92609934,0.1035634253,19.22992295,0.1999263911,236.9990052,0.3091276308,3233.109468,0.3449720606,7270.664152,-0.7986748826,-0.8363188917,1,0.9826666667,0.764,0.2053333333,2.338437634,0.4697945905,0.5302054095,2.869005783
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_95_50,SP500 LEAPS,SP500_1X,0.95,0.5,0.2134657692,-0.7156110731,-0.9805393217,0.002333333333,0.028,0.028,0.07704605665,9.269850647,0.1006833253,17.77991718,0.2083837049,292.5892616,0.3295811621,5147.721251,0.3678365994,12056.27338,-0.8418156962,-0.8764750741,1,0.998,0.9013333333,0.372,2.581384122,0.5164975032,0.4835024968,3.064333812
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_80_20,NDX LEAPS,NASDAQ100_1X,0.8,0.2,0.1326003607,-0.3689863601,-0.7107780944,0,0.7313333333,0.234,0.07531816349,8.833905632,0.08691057798,12.18608111,0.1316653274,40.88972533,0.1777093146,135.2822499,0.1917986649,193.2820004,-0.4818550782,-0.5193679556,0.3453333333,0.074,0.01,0,0.62567736,0.2220725012,0.7779274988,1.403576247
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_80_25,NDX LEAPS,NASDAQ100_1X,0.8,0.25,0.1474631109,-0.4174855436,-0.7660728743,0,0.552,0.1206666667,0.07986903297,10.02716819,0.09354422268,14.62661165,0.1459393759,59.55665064,0.2017872172,248.2771173,0.2180523462,371.6172434,-0.5351485003,-0.577602163,0.5886666667,0.1826666667,0.033,0.001,0.773531712,0.2733946848,0.7266053152,1.500037924
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_80_30,NDX LEAPS,NASDAQ100_1X,0.8,0.3,0.1609955862,-0.4683073023,-0.8153477326,0,0.2983333333,0.07166666667,0.08243087307,10.76594982,0.09871570753,16.85063283,0.1596343924,85.0591041,0.2249676947,440.4125921,0.243885252,697.4942722,-0.5974889457,-0.6372934169,0.8246666667,0.375,0.096,0.005333333333,0.9192827842,0.3236882708,0.6763117292,1.595142753
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_80_35,NDX LEAPS,NASDAQ100_1X,0.8,0.35,0.1732338318,-0.5229526004,-0.8671692271,0,0.1133333333,0.05333333333,0.08394677391,11.22759958,0.1016214196,18.24016364,0.1713102621,114.8824312,0.2466985643,746.4060919,0.2669551078,1210.537796,-0.6582711889,-0.6997472919,0.9476666667,0.6043333333,0.2233333333,0.02033333333,1.062915901,0.3729241247,0.6270758753,1.68945414
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_80_40,NDX LEAPS,NASDAQ100_1X,0.8,0.4,0.1841957173,-0.5770754902,-0.9083429042,0,0.05233333333,0.04433333333,0.0845353409,11.4119504,0.104241231,19.58744939,0.1818690922,150.3767242,0.2674360722,1224.398614,0.2923807767,2197.192732,-0.7133600938,-0.7571021975,0.9923333333,0.802,0.4046666667,0.05633333333,1.205180427,0.421399662,0.578600338,1.783253275
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_80_45,NDX LEAPS,NASDAQ100_1X,0.8,0.45,0.1938823212,-0.6283257194,-0.9387693637,0.0003333333333,0.03833333333,0.044,0.08326139199,11.01655771,0.1043040668,19.62095146,0.1915443997,192.0486151,0.2872288851,1949.055719,0.3152650293,3720.1558,-0.7640097187,-0.8067551063,0.9993333333,0.923,0.608,0.1273333333,1.346623249,0.4691582441,0.5308417559,1.877223054
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_80_50,NDX LEAPS,NASDAQ100_1X,0.8,0.5,0.2022780008,-0.6763698691,-0.9602526895,0.001,0.037,0.05,0.08018257651,10.11488472,0.1028653143,18.86831051,0.198642197,229.5063045,0.3063783008,3035.483801,0.3375751764,6161.96075,-0.8107605549,-0.8508592294,1,0.978,0.7756666667,0.2413333333,1.48793691,0.5165090892,0.4834909108,1.971009125
