series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,average_reserve_weight,median_reserve_weight,fraction_reserve_zero,fraction_reserve_at_cap,fraction_reserve_above_cap,average_risky_exposure,average_effective_equity_exposure,average_leverage,average_total_safe_asset_weight,average_risky_sleeve_leverage,fraction_at_1x,fraction_at_2x,fraction_at_3x,fraction_sleeve_at_1x,fraction_sleeve_at_2x,fraction_sleeve_at_3x
FIXED_85_15,UPRO,LAG2,50,staged,0.15,0.1,quarterly,0.1485703772,0.1469945969,0,,,0.8514296228,2.147307163,2.147307163,0.1485703772,2.514663485,0,0,0,0.2426682573,0,0.7573317427
HWM_RESERVE,UPRO,LAG2,50,staged,0.15,0.1,rule,0.01033589682,5.14634751e-06,0.494283726,0,0,0.9896641032,2.488311109,2.488311109,0.01033589682,2.514663485,0.1472313351,0,0.3568943235,0.2426682573,0,0.7573317427
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,50,staged,0.2,0.1,rule,0.03708192007,0.005488941149,0.4171388806,0,0,0.9629180799,2.4157704,2.4157704,0.03708192007,2.514663485,0.1139278258,0,0.3032110548,0.2426682573,0,0.7573317427
HWM_DRAWDOWN,UPRO,LAG2,50,drawdown,0.15,0.1,rule,0.06269759233,0.05587509376,0.1116413162,0,0.03976538423,0.9373024077,2.365173342,2.365173342,0.06269759233,2.514663485,0.03131524008,0,0.08032607615,0.2426682573,0,0.7573317427
BAND_DRAWDOWN,UPRO,LAG2,50,drawdown,0.2,0.1,rule,0.08266588027,0.08591990168,0.09543692216,0,0.007257182623,0.9173341197,2.316827702,2.316827702,0.08266588027,2.514663485,0.03022169202,0,0.06521523014,0.2426682573,0,0.7573317427
SP500_1X,UPRO,LAG2,50,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
UPRO_ALWAYS,UPRO,LAG2,50,none,0,0,none,0,0,1,,,1,3,3,0,3,0,0,1,0,0,1
UPRO_SMA_TO_TBILL,UPRO,LAG2,50,none,0,0,none,0,0,1,,,1,2.271995228,2.271995228,0.2426682573,2.271995228,0,0,0.7573317427,0,0,0.7573317427
NO_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,0,0,1,,,1,1.757431156,1.757431156,0,1.757431156,0.2425688438,0.7574311562,0,0.2425688438,0.7574311562,0
FIXED_90_10,SSO,LAG1,0,staged,0.15,0.1,quarterly,0.09866616764,0.09791913132,0,,,0.9013338324,1.585575881,1.585575881,0.09866616764,1.757431156,0,0,0,0.2425688438,0.7574311562,0
FIXED_85_15,SSO,LAG1,0,staged,0.15,0.1,quarterly,0.1480525109,0.1470486909,0,,,0.8519474891,1.499414004,1.499414004,0.1480525109,1.757431156,0,0,0,0.2425688438,0.7574311562,0
HWM_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,0.009936592048,0.001293671509,0.3581866985,0,0,0.990063408,1.739238848,1.739238848,0.009936592048,1.757431156,0.104682374,0.2574808629,0,0.2425688438,0.7574311562,0
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,0,staged,0.2,0.1,rule,0.04012474956,0.01185739596,0.3590814196,0,0,0.9598752504,1.683033274,1.683033274,0.04012474956,1.757431156,0.1043841336,0.254697286,0,0.2425688438,0.7574311562,0
