strategy,horizon_years,block_days,paths,mean_cagr,sd_cagr,mean_terminal_wealth,median_max_drawdown,max_drawdown_p90,max_drawdown_p95,worst_max_drawdown,median_annualized_volatility,median_min_wealth,p5_min_wealth,prob_negative_10y,prob_negative_20y,negative_20y_basis,prob_below_SP500_1X,prob_below_LEAPS_85_30_TSY100,prob_below_LEAPS_95_50_TSY100,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure_median,mean_delta_exposure_p5,mean_delta_exposure_p95,treasury_notional_median,treasury_notional_p5,treasury_notional_p95,gross_notional_median,gross_notional_p5,gross_notional_p95
LEAPS_80_25_TSY125,20,63,5000,0.123830985,0.04104601699,13.28088058,-0.3661939166,-0.4873535528,-0.5279460828,-0.7783248585,0.1787873745,0.9199884827,0.6781300133,0.01398333333,0.001,across paths,0.3522,0.801,0.774,0.05853224621,3.119477454,0.072075081,4.022573912,0.1237178515,10.30731631,0.1767319888,25.91500064,0.1923835711,33.75356726,0.3388,0.0812,0.013,0.0004,0.893302652,0.8191828927,0.9566856183,0.9152991894,0.8876716961,0.9441545974,1.80786101,1.756759095,1.853016046
LEAPS_85_30_TSY125,20,63,5000,0.1390873053,0.05051345589,19.69497502,-0.420554354,-0.5463494766,-0.5889931431,-0.8285470277,0.2157495483,0.897646683,0.6270994422,0.02039833333,0.002,across paths,0.1706,0.2886,0.7366,0.05875399645,3.132573456,0.075448104,4.283405683,0.1375188564,13.15746102,0.2042036004,41.11482324,0.2232763055,56.29778949,0.6026,0.1994,0.0412,0.0016,1.176439467,1.068207765,1.270427426,0.8514361198,0.8181038984,0.8866091085,2.027330031,1.947152456,2.098651372
LEAPS_95_50_TSY125,20,63,5000,0.1763475516,0.09579929197,97.925505,-0.6534852772,-0.8013656434,-0.8426306969,-0.9660741727,0.3969991197,0.7594884374,0.3302173728,0.08413833333,0.024,across paths,0.1432,0.215,0.2548,0.02666004541,1.692517805,0.05666524677,3.011261589,0.1711850258,23.57817688,0.2990733196,187.3584644,0.3405207763,351.1324759,0.9998,0.9534,0.7068,0.1996,2.299987026,2.07110194,2.506310638,0.6116883357,0.5654344904,0.6607947288,2.908906041,2.717887854,3.091436463
LEAPS_80_25_TSY150,20,63,5000,0.1261624274,0.04416749769,14.35548369,-0.3969427447,-0.5292998885,-0.57240077,-0.833650987,0.1920233354,0.9095518829,0.6371355338,0.019405,0.002,across paths,0.347,0.7094,0.7574,0.0566552274,3.010691912,0.07034189253,3.894488954,0.1260795856,10.74933777,0.1836336016,29.13035148,0.2002783827,38.51586814,0.486,0.1584,0.0326,0.0018,0.8937682789,0.8182778228,0.9587708369,1.09812793,1.064550588,1.132914464,1.990765579,1.942392636,2.035292347
LEAPS_85_30_TSY150,20,63,5000,0.1415026478,0.05267100447,21.12067434,-0.4434506207,-0.5783094758,-0.6217563768,-0.8658291303,0.2247413649,0.8900734045,0.5914305372,0.023975,0.0026,across paths,0.1848,0.3062,0.715,0.05807221128,3.092478287,0.07493484512,4.242704916,0.1405182369,13.8689852,0.2095948962,44.95716492,0.229379859,62.19018965,0.6992,0.2812,0.072,0.004,1.176963688,1.067114319,1.27273296,1.021590116,0.9810579464,1.064077655,2.197361537,2.121201319,2.267493503
LEAPS_95_50_TSY150,20,63,5000,0.1787729823,0.09620222009,102.15537,-0.6585714339,-0.8054708953,-0.8463112108,-0.9698337525,0.3979357186,0.7580633382,0.3266295622,0.08184166667,0.0234,across paths,0.138,0.1944,0.269,0.02842967179,1.751830524,0.05834783643,3.108630798,0.1737417576,24.62927002,0.3020325578,196.0816548,0.3423116667,360.6346493,0.9996,0.957,0.7224,0.2092,2.299877456,2.068166545,2.508110461,0.7342715626,0.6784860405,0.7941819745,3.030898434,2.843767797,3.20958142
LEAPS_80_25_TSY200,20,63,5000,0.1290437385,0.0515222675,16.64841138,-0.4664581157,-0.6165723208,-0.6629367287,-0.910736559,0.2236505553,0.880841056,0.5401035866,0.03466666667,0.0062,across paths,0.3576,0.6074,0.7334,0.04714480841,2.512669082,0.06450512109,3.491042236,0.1280517425,11.132185,0.1958219052,35.75445292,0.2168034933,50.63012017,0.764,0.3748,0.126,0.0108,0.8954431377,0.8174953811,0.965125853,1.462751505,1.415640395,1.511556208,2.357023431,2.312597999,2.400206554
LEAPS_85_30_TSY200,20,63,5000,0.1447275304,0.05812372702,24.12571816,-0.4957564501,-0.6452122405,-0.6886878297,-0.9236830317,0.248063464,0.8695880041,0.5149300872,0.03442833333,0.0058,across paths,0.2234,0.344,0.6808,0.05267691793,2.791913896,0.07206923994,4.022135662,0.1439770231,14.73486482,0.2202915681,53.61326002,0.2428427279,77.3256597,0.8616,0.4842,0.1862,0.0178,1.179220639,1.066600798,1.279317486,1.361024105,1.304399519,1.419409616,2.538087694,2.468350345,2.606991888
LEAPS_95_50_TSY200,20,63,5000,0.1826046117,0.09757403841,110.637372,-0.6721471598,-0.8167911331,-0.8555411198,-0.9772701575,0.4025979255,0.7520771546,0.3135903689,0.08044333333,0.023,across paths,0.134,0.1726,0.2966,0.03081616339,1.834954306,0.06068901703,3.249087812,0.1778371556,26.40614833,0.3083592402,216.0431039,0.3464664779,383.6287758,0.9996,0.9644,0.763,0.2454,2.301295855,2.063101678,2.512644387,0.9788334189,0.9023418767,1.060469837,3.275939927,3.096751969,3.450351456
SP500_1X,20,126,2000,0.1121034882,0.03890151191,10.39957636,-0.3994140212,-0.5442537557,-0.5895446906,-0.8636850755,0.1813320024,0.9233515396,0.5961252059,0.02567083333,0.0055,across paths,0,0.845,0.8525,0.04808333368,2.558093249,0.06186365586,3.321813026,0.1138796148,8.645005758,0.1613419954,19.91602294,0.1722594593,24.01457779,0.4985,0.1815,0.046,0.0035,,,,,,,,,
