variant,cell,family,underlying,regime,moneyness,premium_budget,maturity_months,roll_months,cagr,terminal_multiple,annualized_volatility,max_drawdown,mean_delta_exposure,delta_exposure_sd,mean_option_weight,mean_treasury_weight,gross_notional,option_turnover_per_year,cost_drag_bps,theta_burden_per_year,vega_per_nav,mean_entry_years,mean_exit_years,mean_held_years,rolls,mean_premium_fraction_of_nav,mean_exit_premium_ratio,cohort_10y_min_cagr,cohort_20y_min_cagr,cohort_20y_median_cagr,cohort_30y_min_cagr,cohort_30y_median_cagr,cagr_per_volatility_point,delta_exposure_p5,delta_exposure_p50,delta_exposure_p95,sessions_after_major_loss,min_exposure_after_loss,mean_exposure_after_loss,recovery_exposure,recovery_exposure_ratio,underexposed_recovery,1987_crash,1987_crash_trough,1987_crash_mean_delta,1987_crash_min_delta,1987_crash_recovery_delta,2000_2002_bust,2000_2002_bust_trough,2000_2002_bust_mean_delta,2000_2002_bust_min_delta,2000_2002_bust_recovery_delta,2008_2009_gfc,2008_2009_gfc_trough,2008_2009_gfc_mean_delta,2008_2009_gfc_min_delta,2008_2009_gfc_recovery_delta,2020_covid,2020_covid_trough,2020_covid_mean_delta,2020_covid_min_delta,2020_covid_recovery_delta,2022_rates,2022_rates_trough,2022_rates_mean_delta,2022_rates_min_delta,2022_rates_recovery_delta
SPX_90_40_15M_R6,SPX_90_40,SPX,SP500_1X,15m/6m,0.9,0.4,15,6,0.1751745037,629.3790992,0.3213949078,-0.6116232312,2.062642113,0.4547978228,0.4109632489,0.5890367511,2.651678864,0.8014811767,197.3139481,-0.07697181399,0.7090112407,1.24705681,0.7473292959,0.4997444095,80,0.4,1.240526712,-0.04253898695,0.08975816387,0.1498239236,0.1495934677,0.1711012909,0.01242143228,1.346405221,2.051149148,2.774311169,2338,0.14072278,1.680579014,2.02195748,0.9802754764,False,-0.374271883,-0.4936652691,1.675143665,0.5778229866,1.370189103,-0.5985550598,-0.5982031402,1.548878829,0.3799011281,1.754711631,-0.55728766,-0.5722822541,1.517167547,0.14072278,1.443059044,-0.4347595296,-0.4541469698,1.849716132,0.809261657,1.775396928,-0.6032762126,-0.6018506194,1.802218652,1.268346606,2.021412618
SPX_90_40_15M_R12,SPX_90_40,SPX,SP500_1X,15m/12m,0.9,0.4,15,12,0.1874887137,954.2515336,0.327565258,-0.6340885113,2.110294157,0.5250616691,0.4224252774,0.5775747226,2.687868879,0.4007405884,103.698164,-0.07305424884,0.4982413127,1.248596851,0.2491444216,0.9995261412,40,0.4,1.533521829,-0.03571715331,0.1017751381,0.1532120318,0.1598189119,0.1809989341,0.01107177368,1.12898057,2.103721935,2.870947472,2463,0.01691493935,1.632619272,2.183298286,1.034594291,False,-0.3511530808,-0.4721785754,1.553928657,0.5778229866,1.255209598,-0.5837550389,-0.5822329661,1.553981551,0.01691493935,1.878333944,-0.535760757,-0.5514844637,1.262132698,0.14072278,1.03781505,-0.4097677816,-0.4541469698,1.81049516,0.6523758267,1.860226,-0.626224318,-0.6248811869,1.906698812,1.138651693,2.182244232
SPX_90_40_18M_R6,SPX_90_40,SPX,SP500_1X,18m/6m,0.9,0.4,18,6,0.1608575853,385.8061565,0.3002142217,-0.6586727775,1.935202549,0.4229730036,0.406787235,0.593212765,2.528415314,0.8114996914,198.5195748,-0.06933929401,0.8023194417,1.495880549,0.9992813142,0.4965776865,81,0.4,1.207576516,-0.05835579534,0.06765953512,0.1290562145,0.134384026,0.1531331679,0.01096655633,1.28794714,1.917486225,2.621690802,2878,0.1853072168,1.667340846,1.416410658,0.7319185574,True,-0.3775593522,-0.4974864654,1.62454075,0.7073960278,1.366189028,-0.6382686406,-0.6585661118,1.434407903,0.8067744218,1.524866156,-0.5772332392,-0.5837798154,1.50764797,0.1853072168,1.337582896,-0.2967916533,-0.3571098647,1.432607134,0.5438409102,1.525897576,-0.5563277658,-0.5535637291,1.725133118,0.9250663553,1.888898867
SPX_90_40_18M_R12,SPX_90_40,SPX,SP500_1X,18m/12m,0.9,0.4,18,12,0.180844882,762.7415875,0.3033136777,-0.6007162652,1.957164251,0.4849949593,0.4080200164,0.5919799836,2.549144234,0.4107591031,106.1571304,-0.06871983474,0.631806541,1.491594464,0.4982888433,0.9951403149,41,0.4,1.49572797,-0.03318585879,0.09253734129,0.1489728533,0.1550749621,0.1742479762,0.01099159709,1.165544562,1.976738943,2.733144278,2323,0.1475320432,1.513082877,2.084616085,1.065120663,False,-0.3511861907,-0.4766711494,1.561781167,0.6205499836,1.277394517,-0.5772831631,-0.5878949217,1.339414124,0.1714033629,1.678629283,-0.5057955098,-0.5235869365,1.314141683,0.1475320432,1.081686753,-0.3836935497,-0.430447506,1.692065633,0.6437126212,1.677333665,-0.592356607,-0.590605745,1.807984989,1.158787015,2.083960329
SPX_90_40_24M_R6,SPX_90_40,SPX,SP500_1X,24m/6m,0.9,0.4,24,6,0.1536591524,300.9620534,0.272583064,-0.6108324142,1.73793793,0.3851151101,0.4085654989,0.5914345011,2.329372431,0.791462662,192.1283958,-0.05449579686,0.9114655225,2.000433204,1.49756928,0.5029221292,79,0.4,1.193720684,-0.04352074422,0.06878219316,0.1256082023,0.1291113514,0.1471196343,0.009147533745,1.163423384,1.714947022,2.384014351,2050,0.265275396,1.535892201,1.276033704,0.7342228292,True,-0.3327933655,-0.4693150466,1.481300026,0.7950043818,1.215837815,-0.5851456132,-0.6108324142,1.284591434,0.7962247418,1.366224608,-0.5299997368,-0.5363793759,1.367807502,0.265275396,1.197743612,-0.2681257802,-0.3259211841,1.329487513,0.601582229,1.373500131,-0.5323442462,-0.5290336684,1.559943872,0.9534354471,1.681576197
SPX_90_40_24M_R12,SPX_90_40,SPX,SP500_1X,24m/12m,0.9,0.4,24,12,0.1705758423,538.1781422,0.2813253544,-0.5694170252,1.782971358,0.4202597925,0.4270990222,0.5729009778,2.355872336,0.4007405884,102.9043847,-0.05186815533,0.7414746482,2.004928131,0.9993155373,1.005844258,40,0.4,1.444556882,-0.01392206617,0.0972783642,0.1503509627,0.1493255886,0.1705916157,0.009110836087,1.148128551,1.759712777,2.479565673,2008,0.09546293612,1.400636359,1.554506943,0.8718631041,False,-0.4745459128,-0.5574688873,1.741461756,1.527681945,1.297765194,-0.5269786226,-0.566061564,1.241957785,0.3615218821,1.307417243,-0.483464752,-0.4915755704,1.318215594,0.09546293612,1.364674458,-0.2681257802,-0.3259211841,1.329487513,0.601582229,1.443362274,-0.542821689,-0.5400226809,1.328230314,0.9174209639,1.682632976
SPX_90_40_30M_R12,SPX_90_40,SPX,SP500_1X,30m/12m,0.9,0.4,30,12,0.1650468202,445.4827802,0.2556268805,-0.5446531915,1.615498209,0.3993444509,0.41007659,0.58992341,2.205421619,0.4007405884,102.2785506,-0.04490801053,0.8712541818,2.490759754,1.497604381,0.9950332579,40,0.4,1.408431805,-0.01068487678,0.0878334923,0.1394332898,0.1421995925,0.1590431906,0.008379231496,1.017483412,1.597588554,2.291599837,1336,0.3011683935,1.240300172,1.656078645,1.025119456,False,-0.2907844555,-0.4405554194,1.351654438,0.8158825782,1.10803491,-0.4927189371,-0.516444389,1.094070342,0.4745602848,1.301739871,-0.4313944095,-0.4453772173,1.122713699,0.3011683935,0.9415719012,-0.3040412128,-0.3494259613,1.407315677,0.7289176303,1.369622898,-0.5361422355,-0.5334194643,1.487135567,1.183535128,1.655860273
SPX_90_40_30M_R18,SPX_90_40,SPX,SP500_1X,30m/18m,0.9,0.4,30,18,0.1818593736,789.3469842,0.2701446152,-0.5514288309,1.674178002,0.419738157,0.4429571525,0.5570428475,2.231220849,0.2704998971,73.64630902,-0.03944628584,0.6899656554,2.489010571,0.9992102353,1.489706734,27,0.4,1.678002177,0.02311435723,0.114243303,0.1682017878,0.160750583,0.1844721318,0.008628861105,1.021550756,1.652248194,2.380175295,1306,0.1155756136,1.305007927,1.30070219,0.7769198908,False,-0.4657655557,-0.5514288309,1.714096506,1.493060338,1.256935113,-0.4188981855,-0.4755218836,1.033830743,0.1854256601,1.145770701,-0.3771228584,-0.3847248129,1.044063981,0.05868007607,1.342288783,-0.3194684938,-0.3619000169,1.45212631,0.7594057551,1.443667708,-0.5403349956,-0.5397499889,1.776437686,1.579421258,1.84743008
SPX_90_45_15M_R6,SPX_90_45,SPX,SP500_1X,15m/6m,0.9,0.45,15,6,0.1825129604,806.9644762,0.3617324515,-0.6719252963,2.311965713,0.501578309,0.4595018856,0.5404981144,2.852463828,0.9016663238,220.9328221,-0.08689791063,0.8000852729,1.24705681,0.7473292959,0.4997444095,80,0.45,1.240526712,-0.06404198261,0.0852489665,0.1516642369,0.1511347417,0.1763665516,0.0136642712,1.531715803,2.296026144,3.082313097,3205,0.1720235095,1.969845533,1.961821364,0.8485512361,False,-0.4153197739,-0.5365329884,1.891317003,0.6995548173,1.563633508,-0.6719252963,-0.6706042359,1.750282359,0.4618967583,1.961747718,-0.6236877179,-0.6320423528,1.744976511,0.1720235095,1.595876362,-0.4881099325,-0.4971296132,2.104708297,0.9717425628,1.93397919,-0.6322627423,-0.6318795767,2.060704685,1.503245022,2.243744982
SPX_90_45_15M_R12,SPX_90_45,SPX,SP500_1X,15m/12m,0.9,0.45,15,12,0.1961105594,1273.807983,0.3681872142,-0.6652060836,2.355991075,0.5709523125,0.4696721006,0.5303278994,2.886318975,0.4508331619,114.7994382,-0.08319491209,0.56449801,1.248596851,0.2491444216,0.9995261412,40,0.45,1.533521829,-0.05764226447,0.09868664789,0.1554259666,0.1624020656,0.1868573602,0.012154848,1.329396847,2.346139622,3.178531607,3145,0.02075610431,1.921025748,2.419437082,1.026929646,False,-0.3891251326,-0.5126470772,1.736591313,0.6995548173,1.461023216,-0.6550350029,-0.6536612425,1.761025012,0.02075610431,2.09016897,-0.6062497376,-0.6149915189,1.478005213,0.1720235095,1.19449284,-0.4634036155,-0.4971296132,2.062157059,0.7872854769,2.072394288,-0.6581599928,-0.657803811,2.194939745,1.367460019,2.418616362
SPX_90_45_18M_R6,SPX_90_45,SPX,SP500_1X,18m/6m,0.9,0.45,18,6,0.169225125,513.9328784,0.3381716331,-0.717844334,2.171162473,0.4646816211,0.4557852986,0.5442147014,2.715377175,0.9129371528,223.0460465,-0.07819541632,0.9043341474,1.495880549,0.9992813142,0.4965776865,81,0.45,1.207576516,-0.07969091856,0.06371812311,0.130873443,0.1376347316,0.1594904845,0.01211151551,1.459422021,2.138381205,2.932086818,3542,0.2261477551,1.914120416,1.614728689,0.7437161928,True,-0.4188864448,-0.5406811618,1.837046223,0.8530896296,1.538791682,-0.7030118226,-0.7169024468,1.636004266,0.9603362356,1.72553888,-0.6410765272,-0.6473764951,1.730458463,0.2261477551,1.493787042,-0.3483938864,-0.3978968518,1.652957987,0.655863459,1.711074106,-0.5857040834,-0.5841399533,1.947495103,1.108925739,2.102886768
SPX_90_45_18M_R12,SPX_90_45,SPX,SP500_1X,18m/12m,0.9,0.45,18,12,0.1899168778,1035.339175,0.3413777484,-0.6557961295,2.191488384,0.5246617718,0.4554854487,0.5445145513,2.736002936,0.4621039909,117.9030207,-0.07806185535,0.7157440875,1.491594464,0.4982888433,0.9951403149,41,0.45,1.49572797,-0.05366417943,0.08947167827,0.1512142114,0.1575135605,0.1812431568,0.01207563462,1.358610513,2.203830029,3.031154209,2954,0.180265048,1.775838756,1.875045173,0.8556035188,False,-0.3919643948,-0.5200958424,1.773642296,0.7499026947,1.470926924,-0.6495534944,-0.6543509601,1.539539959,0.2097763982,1.883719961,-0.5763750213,-0.5868660096,1.52785276,0.180265048,1.218846211,-0.437008669,-0.4729464388,1.931800372,0.7760814598,1.869897137,-0.621445788,-0.6207717991,2.059765674,1.387487647,2.32287774
SPX_90_45_24M_R6,SPX_90_45,SPX,SP500_1X,24m/6m,0.9,0.45,24,6,0.1618627398,399.37107,0.3064971015,-0.6702314759,1.94947615,0.4241017093,0.4577867801,0.5422132199,2.49168937,0.8903954948,216.0467029,-0.06138329709,1.026269676,2.000433204,1.49756928,0.5029221292,79,0.45,1.193720684,-0.06230956753,0.06584592142,0.128323724,0.1344586092,0.1532796777,0.01008645795,1.31572302,1.914030836,2.670589037,2927,0.3222067654,1.699036789,1.452795577,0.7452235703,True,-0.3701034681,-0.510451422,1.672463596,0.9517691124,1.369018924,-0.6512760153,-0.6700170577,1.461950366,0.9422930409,1.544866172,-0.593551444,-0.5998140484,1.567400937,0.3222067654,1.337845289,-0.3168667139,-0.3635182097,1.531849161,0.7210211007,1.540151589,-0.5593455426,-0.557266916,1.759859631,1.135082952,1.870315547
SPX_90_45_24M_R12,SPX_90_45,SPX,SP500_1X,24m/12m,0.9,0.45,24,12,0.1800112741,741.536103,0.313998112,-0.6370992815,1.990717675,0.4590862413,0.4756257333,0.5243742667,2.515091942,0.4508331619,114.6485314,-0.05840800168,0.8347675159,2.004928131,0.9993155373,1.005844258,40,0.45,1.444556882,-0.03070332312,0.09629203952,0.1540798253,0.1535311984,0.1773118649,0.009996765246,1.30654356,1.947511032,2.77369533,2448,0.1168459131,1.667648313,1.732115995,0.8700962556,False,-0.5047950787,-0.5865943425,1.889708644,1.720622618,1.453445863,-0.5988863175,-0.6283802436,1.419706911,0.4384773516,1.475695229,-0.5479906188,-0.5558956943,1.510908284,0.1168459131,1.508404117,-0.3168667139,-0.3635182097,1.531849161,0.7210211007,1.621157928,-0.5709834281,-0.5690380256,1.536141623,1.09651667,1.874943522
SPX_90_45_30M_R12,SPX_90_45,SPX,SP500_1X,30m/12m,0.9,0.45,30,12,0.1744622035,614.3263671,0.2867791353,-0.5814134426,1.809112258,0.432242916,0.4585699273,0.5414300727,2.350542331,0.4508331619,114.1600449,-0.05070800074,0.9822863686,2.490759754,1.497604381,0.9950332579,40,0.45,1.408431805,-0.02613970931,0.08664441662,0.1427937119,0.1476829795,0.1661917476,0.009211834676,1.167260071,1.782484138,2.546623431,2052,0.3641331013,1.451172741,1.447613143,0.8001787267,False,-0.3244129614,-0.4796819676,1.525283268,0.9711890859,1.262798768,-0.5650174855,-0.5812101553,1.254303791,0.5727423605,1.46816199,-0.499177742,-0.5060602835,1.300297705,0.3641331013,1.066862157,-0.351900978,-0.3858787874,1.605394911,0.8666538143,1.525806019,-0.5599207693,-0.5583590136,1.686318077,1.391556523,1.844594572
SPX_90_45_30M_R18,SPX_90_45,SPX,SP500_1X,30m/18m,0.9,0.45,30,18,0.1925943702,1132.545605,0.2998994931,-0.5804460926,1.861596067,0.4547728257,0.4912298162,0.5087701838,2.370366251,0.3043123843,81.45383969,-0.04432506093,0.7743463138,2.489010571,0.9992102353,1.489706734,27,0.45,1.678002177,0.009431649569,0.1146922478,0.1742729738,0.165852558,0.1932218298,0.009459020247,1.18899275,1.826083723,2.648014245,1690,0.07190247278,1.469419058,1.450011596,0.7789077458,False,-0.4957359262,-0.5804460926,1.85980212,1.679866538,1.403035455,-0.4939028383,-0.5398826744,1.190836402,0.226316506,1.292106599,-0.4429300189,-0.4506577728,1.211175655,0.07190247278,1.473095174,-0.3675309309,-0.3985645386,1.652753694,0.9021397622,1.60945338,-0.560362828,-0.5607585464,1.962352177,1.750154058,2.014700658
