series,lag,switch_cost_bps,signal_source,strategy_return_source,average_equity_exposure,timing_cagr_difference,fee_equal_timing_cagr_difference,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,worst_rolling_20y_cagr,cohort_20y_count,cohort_20y_min_cagr,cohort_20y_median_cagr,worst_rolling_30y_cagr,cohort_30y_count,cohort_30y_min_cagr,cohort_30y_median_cagr,switch_count,switches_per_year
SP500_1X,LAG1,25,PRICE_ONLY,TOTAL_RETURN,1,0.009862394104,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1126109603,-0.5525024107,70.90685227,39.93429158,0.1834804905,0.503182502,2243,2007-10-09,2009-03-09,2012-04-02,True,1120,1637,2008,-0.3699761113,1995,0.3757620118,-0.4751914483,-0.08198823669,-0.04562063179,0.0393487443,240,0.04788163336,0.08783863295,0.08754543031,120,0.0933527571,0.1030718628,0,0
UPRO_SMA_TO_SP500,LAG2,0,PRICE_ONLY,TOTAL_RETURN,2.514663485,0.04654038074,0.04406105034,1986-09-26,1986-09-29,2026-09-02,10059,0.1907646498,-0.7329279136,1066.731032,39.93429158,0.377018683,0.5707563519,2863,1999-07-16,2002-10-09,2007-05-18,True,1682,2863,2000,-0.4619522097,1995,1.22788602,-0.541049496,-0.1445556152,-0.09780544068,0.08358870511,240,0.08848370485,0.1563549575,0.1459609602,120,0.1502009958,0.1828338407,261,6.535736323
UPRO_SMA_TO_SP500,LAG2,25,PRICE_ONLY,TOTAL_RETURN,2.514663485,0.0272181948,0.0247388644,1986-09-26,1986-09-29,2026-09-02,10059,0.1714424639,-0.75410237,555.0383186,39.93429158,0.3769749479,0.5273566194,5017,1999-07-16,2002-10-09,2013-04-10,True,3836,5017,2000,-0.4895045875,1995,1.22788602,-0.54900495,-0.1627763701,-0.1185623481,0.0633026528,240,0.06810601239,0.1358319929,0.1268091874,120,0.1309783617,0.162505766,261,6.535736323
VOL_BINARY,LAG2,0,PRICE_ONLY,TOTAL_RETURN,2.607913311,0.02173653715,0.01973559456,1986-09-26,1986-09-29,2026-09-02,10059,0.1654025877,-0.865934415,451.5138655,39.93429158,0.3890107803,0.5096019428,5793,1998-07-17,2002-10-09,2014-05-27,True,4248,5793,2008,-0.60045874,1995,1.22788602,-0.7090499796,-0.2947049322,-0.1649465306,0.03173701143,240,0.03448521772,0.09845858025,0.1209480213,120,0.1215723563,0.1403802132,211,5.283679556
VOL_BINARY,LAG2,25,PRICE_ONLY,TOTAL_RETURN,2.607913311,0.006424706231,0.004423763648,1986-09-26,1986-09-29,2026-09-02,10059,0.1500907568,-0.8894944055,266.252633,39.93429158,0.388967799,0.4755997859,6006,1998-07-17,2009-03-09,2014-12-26,True,2118,6006,2008,-0.6190159294,1995,1.22788602,-0.7155356612,-0.3166053629,-0.1810857666,0.01559661596,240,0.01830402694,0.08208647731,0.1033199676,120,0.1039328874,0.1237258969,211,5.283679556
REL_VOL,LAG2,0,PRICE_ONLY,TOTAL_RETURN,2.215826623,0.01144120246,0.007453603,1986-09-26,1986-09-29,2026-09-02,10059,0.1548959827,-0.9590645577,314.4888358,39.93429158,0.3765169535,0.489284163,6935,2000-07-14,2009-03-09,2019-07-10,True,3775,6935,2008,-0.6226035103,1995,0.9583288065,-0.7791759994,-0.3125535232,-0.24872975,-0.008211877876,240,-0.001708842065,0.05735486906,0.08276509201,120,0.08553184756,0.1082234131,495,12.39536199
REL_VOL,LAG2,25,PRICE_ONLY,TOTAL_RETURN,2.215826623,-0.02384179523,-0.0278293947,1986-09-26,1986-09-29,2026-09-02,10059,0.119612985,-0.9681294232,91.09465396,39.93429158,0.3766195196,0.4068111767,7343,2000-07-14,2009-03-09,2020-08-21,True,4183,7343,2008,-0.639230234,1995,0.8720519259,-0.7867856109,-0.3368945917,-0.2736826397,-0.04104308163,240,-0.03475004476,0.02595642358,0.04958747634,120,0.05226945417,0.07497867028,495,12.39536199
EFFICIENCY,LAG2,0,PRICE_ONLY,TOTAL_RETURN,1.281340093,-0.004784652038,-0.01334442042,1986-09-26,1986-09-29,2026-09-02,10059,0.1124367813,-0.5539316045,70.46491195,39.93429158,0.2233565717,0.4492320996,2250,2007-06-04,2009-03-09,2013-08-01,True,1606,2250,2008,-0.3699761113,1995,0.9614367153,-0.4751914483,-0.08935312935,-0.04053948689,0.02670276372,240,0.03513183127,0.08894826384,0.08397737773,120,0.086747231,0.1014434564,370,9.265220074
EFFICIENCY,LAG2,25,PRICE_ONLY,TOTAL_RETURN,1.281340093,-0.03028746967,-0.03884723805,1986-09-26,1986-09-29,2026-09-02,10059,0.08693396368,-0.5572687607,27.9092089,39.93429158,0.2234769762,0.3452703344,2759,2007-06-04,2009-03-09,2014-12-23,True,2115,2759,2008,-0.3699761113,1995,0.8750229115,-0.4751914483,-0.1047244232,-0.056725943,0.004585716632,240,0.01283320672,0.0642372601,0.06027367509,120,0.06298295903,0.07679735092,370,9.265220074
TREND_QUALITY,LAG2,0,PRICE_ONLY,TOTAL_RETURN,2.36713391,-0.004199474656,-0.007440332739,1986-09-26,1986-09-29,2026-09-02,10059,0.1401277482,-0.7874252071,188.1041154,39.93429158,0.3999662594,0.4622822577,4598,1987-08-25,1987-10-26,1996-01-31,True,3019,3081,2000,-0.4022624047,2013,1.18798752,-0.7574408567,-0.1858061737,-0.08626787897,0.04788322415,240,0.05482638241,0.1339584928,0.1100902936,120,0.1141976083,0.1575889679,73,1.828002879
TREND_QUALITY,LAG2,25,PRICE_ONLY,TOTAL_RETURN,2.36713391,-0.009404473125,-0.01264533121,1986-09-26,1986-09-29,2026-09-02,10059,0.1349227497,-0.7874252071,156.6896518,39.93429158,0.3999634747,0.4508309297,4970,1987-08-25,1987-10-26,1996-02-06,True,3025,3087,2000,-0.4067342384,2013,1.18798752,-0.7586463749,-0.1910885751,-0.09128518367,0.04160692391,240,0.0485084961,0.1292329125,0.1047313611,120,0.1088188479,0.1520171316,73,1.828002879
LOW_CHURN,LAG2,0,PRICE_ONLY,TOTAL_RETURN,1.744209166,-0.01577430635,-0.02214261344,1986-09-26,1986-09-29,2026-09-02,10059,0.1188010854,-0.824498061,88.49356399,39.93429158,0.3550016508,0.4171825855,5615,1999-08-25,2009-03-09,2015-01-08,True,2131,5615,2008,-0.5032230848,1995,1.080836476,-0.6802852337,-0.1968145677,-0.1468119343,-0.0002111638007,240,0.01024652185,0.08931501183,0.06712395318,120,0.06907077378,0.1086932048,542,13.57229535
LOW_CHURN,LAG2,25,PRICE_ONLY,TOTAL_RETURN,1.744209166,-0.05314518577,-0.05951349286,1986-09-26,1986-09-29,2026-09-02,10059,0.08143020596,-0.869054153,22.787981,39.93429158,0.3551150109,0.3214595898,7719,1999-08-25,2009-03-09,2020-10-12,True,4235,7719,2008,-0.5057038645,1995,1.044693812,-0.6950264131,-0.227947626,-0.1724625638,-0.03197478763,240,-0.02160879585,0.05307964877,0.03382163995,120,0.03588054569,0.07091071893,542,13.57229535
AO,LAG2,0,PRICE_ONLY,TOTAL_RETURN,2.304901084,0.003984918586,0.000447043152,1986-09-26,1986-09-29,2026-09-02,10059,0.1480722233,-0.7508215821,248.2149321,39.93429158,0.3671600343,0.4765363587,5017,1999-07-16,2003-03-31,2013-04-10,True,3663,5017,2022,-0.4681921727,1995,1.177859162,-0.5590310431,-0.1540943467,-0.1084714056,0.03905420904,240,0.04349735392,0.1092682602,0.1033938148,120,0.1055936539,0.1352714829,423,10.59240025
AO,LAG2,25,PRICE_ONLY,TOTAL_RETURN,2.304901084,-0.02605524412,-0.02959311955,1986-09-26,1986-09-29,2026-09-02,10059,0.1180320606,-0.8038116058,86.09668857,39.93429158,0.3673755956,0.4042533845,5597,1999-07-16,2009-03-09,2014-11-11,True,2073,5597,2022,-0.4800388875,1995,1.156162104,-0.5699100074,-0.1783064243,-0.1322403265,0.01248072951,240,0.01541134091,0.07890701062,0.07262255468,120,0.07476104511,0.104105107,423,10.59240025
UPRO_ALWAYS,LAG2,0,PRICE_ONLY,TOTAL_RETURN,3,0,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1370317119,-0.9820109229,168.7478963,39.93429158,0.5504594435,0.4614668241,6733,2000-03-23,2009-03-09,2018-08-29,True,3460,6733,2008,-0.8597747321,1995,1.22788602,-0.9227273643,-0.3916285461,-0.3093660093,-0.05366050292,240,-0.03187310567,0.06090215039,0.07348140906,120,0.07745327156,0.1244216884,0,0
UPRO_ALWAYS,LAG2,25,PRICE_ONLY,TOTAL_RETURN,3,0,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1370317119,-0.9820109229,168.7478963,39.93429158,0.5504594435,0.4614668241,6733,2000-03-23,2009-03-09,2018-08-29,True,3460,6733,2008,-0.8597747321,1995,1.22788602,-0.9227273643,-0.3916285461,-0.3093660093,-0.05366050292,240,-0.03187310567,0.06090215039,0.07348140906,120,0.07745327156,0.1244216884,0,0
SP500_1X,LAG2,0,PRICE_ONLY,TOTAL_RETURN,1,0.009862394104,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1126109603,-0.5525024107,70.90685227,39.93429158,0.1834804905,0.503182502,2243,2007-10-09,2009-03-09,2012-04-02,True,1120,1637,2008,-0.3699761113,1995,0.3757620118,-0.4751914483,-0.08198823669,-0.04562063179,0.0393487443,240,0.04788163336,0.08783863295,0.08754543031,120,0.0933527571,0.1030718628,0,0
SP500_1X,LAG2,25,PRICE_ONLY,TOTAL_RETURN,1,0.009862394104,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1126109603,-0.5525024107,70.90685227,39.93429158,0.1834804905,0.503182502,2243,2007-10-09,2009-03-09,2012-04-02,True,1120,1637,2008,-0.3699761113,1995,0.3757620118,-0.4751914483,-0.08198823669,-0.04562063179,0.0393487443,240,0.04788163336,0.08783863295,0.08754543031,120,0.0933527571,0.1030718628,0,0
