series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,worst_rolling_20y_cagr,cohort_20y_count,cohort_20y_min_cagr,cohort_20y_median_cagr,worst_rolling_30y_cagr,cohort_30y_count,cohort_30y_min_cagr,cohort_30y_median_cagr,switch_count,switches_per_year,average_reserve_weight,median_reserve_weight,fraction_reserve_zero,fraction_reserve_at_cap,fraction_reserve_above_cap,average_risky_exposure,average_effective_equity_exposure,average_leverage,average_total_safe_asset_weight,average_risky_sleeve_leverage,fraction_at_1x,fraction_at_2x,fraction_at_3x,fraction_sleeve_at_1x,fraction_sleeve_at_2x,fraction_sleeve_at_3x,reserve_accumulation_trades,reserve_deployment_trades,reserve_rebalance_sell_trades,leverage_state_trades,traded_transition_days,total_charged_transitions,reserve_turnover,risky_sleeve_turnover,net_asset_turnover,sum_dollar_costs,direct_log_cost_drag,direct_wealth_cost_drag,total_trading_cost_drag,cost_cagr_drag,rolling_20y_min_terminal_multiple,rolling_20y_median_terminal_multiple,rolling_30y_min_terminal_multiple,rolling_30y_median_terminal_multiple
HWM_GRID,UPRO,LAG1,0,staged,0.1,0.15,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1819259547,-0.7519149389,792.2112334,39.93429158,0.3674551799,0.5554036937,5047,1999-07-16,2009-03-09,2013-05-10,True,1523,5047,2000,-0.4860916445,1995,1.189832521,-0.5396321429,-0.17107526,-0.1178955068,0.04560355348,240,0.0562602185,0.1359590239,0.1372732446,120,0.14128955,0.1633075896,0,0,0.01772748007,0.001015972033,0.4500447361,0.001192961527,0.01540908639,0.9822725199,2.468425745,2.468425745,0.01772748007,2.514862312,0.1452430659,0,0.3048016701,0.2425688438,0,0.7574311562,602,107,0,261,903,0,1.95004794,258.0572819,259.4214583,0,-0,0,0,4.440892099e-16,2.988260601,12.80183734,52.71737693,93.52487241
HWM_GRID,UPRO,LAG1,0,staged,0.15,0.05,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1820583233,-0.7536884825,795.7620556,39.93429158,0.3727963631,0.5531898737,5051,1999-07-16,2009-03-09,2013-05-14,True,1527,5051,2000,-0.4865048302,1995,1.215152793,-0.5396321429,-0.1755722179,-0.1184802334,0.045687645,240,0.05643831008,0.1371862148,0.1373633883,120,0.1415069819,0.1641627916,0,0,0.005980994316,0.0002392876067,0.4531265533,0,0,0.9940190057,2.499248938,2.499248938,0.005980994316,2.514862312,0.1452430659,0,0.3133512278,0.2425688438,0,0.7574311562,595,107,0,261,896,0,0.659253561,259.9873357,260.445044,0,-0,0,0,-8.881784197e-16,2.998353518,13.08118526,53.01952696,95.64961219
HWM_GRID,UPRO,LAG1,0,staged,0.15,0.1,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1820497952,-0.7528001483,795.5328212,39.93429158,0.3700561118,0.5544424146,5051,1999-07-16,2009-03-09,2013-05-14,True,1527,5051,2000,-0.4862972153,1995,1.202466519,-0.5396321429,-0.1730216271,-0.1181868173,0.04564522924,240,0.05634872095,0.1366704143,0.1373851427,120,0.1414649506,0.1637954059,0,0,0.01192490817,0.000593219758,0.4520330053,0,0,0.9880750918,2.483691463,2.483691463,0.01192490817,2.514862312,0.1452430659,0,0.3067899394,0.2425688438,0,0.7574311562,598,107,0,261,899,0,1.316560304,258.9904204,259.9069703,0,-0,0,0,-4.440892099e-16,2.993272226,12.9630813,52.96098873,94.70909205
HWM_GRID,UPRO,LAG1,0,staged,0.15,0.15,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1820221301,-0.7519136386,794.7896242,39.93429158,0.3673902927,0.5556566319,5047,1999-07-16,2009-03-09,2013-05-10,True,1523,5047,2000,-0.4860913435,1995,1.189832521,-0.5396321429,-0.1705316985,-0.117895084,0.04560353662,240,0.05626020148,0.1361436149,0.1373964272,120,0.1414131676,0.163433592,0,0,0.01783312352,0.001015972277,0.4500447361,0,0.00178944229,0.9821668765,2.468188407,2.468188407,0.01783312352,2.514862312,0.1452430659,0,0.3048016701,0.2425688438,0,0.7574311562,602,107,0,261,903,0,1.971833428,258.0086616,259.3849876,0,-0,0,0,4.440892099e-16,2.988259638,12.84350707,52.88895491,93.82926557
HWM_GRID,UPRO,LAG1,0,staged,0.2,0.05,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1820583233,-0.7536884825,795.7620556,39.93429158,0.3727963631,0.5531898737,5051,1999-07-16,2009-03-09,2013-05-14,True,1527,5051,2000,-0.4865048302,1995,1.215152793,-0.5396321429,-0.1755722179,-0.1184802334,0.045687645,240,0.05643831008,0.1371862148,0.1373633883,120,0.1415069819,0.1641627916,0,0,0.005980994316,0.0002392876067,0.4531265533,0,0,0.9940190057,2.499248938,2.499248938,0.005980994316,2.514862312,0.1452430659,0,0.3133512278,0.2425688438,0,0.7574311562,595,107,0,261,896,0,0.659253561,259.9873357,260.445044,0,-0,0,0,-8.881784197e-16,2.998353518,13.08118526,53.01952696,95.64961219
HWM_GRID,UPRO,LAG1,0,staged,0.2,0.1,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1820497952,-0.7528001483,795.5328212,39.93429158,0.3700561118,0.5544424146,5051,1999-07-16,2009-03-09,2013-05-14,True,1527,5051,2000,-0.4862972153,1995,1.202466519,-0.5396321429,-0.1730216271,-0.1181868173,0.04564522924,240,0.05634872095,0.1366704143,0.1373851427,120,0.1414649506,0.1637954059,0,0,0.01192490817,0.000593219758,0.4520330053,0,0,0.9880750918,2.483691463,2.483691463,0.01192490817,2.514862312,0.1452430659,0,0.3067899394,0.2425688438,0,0.7574311562,598,107,0,261,899,0,1.316560304,258.9904204,259.9069703,0,-0,0,0,-4.440892099e-16,2.993272226,12.9630813,52.96098873,94.70909205
HWM_GRID,UPRO,LAG1,0,staged,0.2,0.15,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1820221301,-0.7519136386,794.7896242,39.93429158,0.3673902927,0.5556566319,5047,1999-07-16,2009-03-09,2013-05-10,True,1523,5047,2000,-0.4860913435,1995,1.189832521,-0.5396321429,-0.1705316985,-0.117895084,0.04560353662,240,0.05626020148,0.1361436149,0.1373964272,120,0.1414131676,0.163433592,0,0,0.01783312352,0.001015972277,0.4500447361,0,0,0.9821668765,2.468188407,2.468188407,0.01783312352,2.514862312,0.1452430659,0,0.3048016701,0.2425688438,0,0.7574311562,602,107,0,261,903,0,1.971833428,258.0086616,259.3849876,0,-0,0,0,4.440892099e-16,2.988259638,12.84350707,52.88895491,93.82926557
HWM_RESERVE_HOLD_ONLY,UPRO,LAG1,0,hold,0.15,0.1,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1659101012,-0.6522432156,459.4329537,39.93429158,0.3173870209,0.5454300503,5043,1999-07-16,2002-10-09,2013-05-06,True,3862,5043,2000,-0.4187805911,1995,1.07188575,-0.4665465716,-0.1306252197,-0.08694811064,0.04384730104,240,0.05252761878,0.1272308526,0.125498074,120,0.1292956058,0.1494902055,0,0,0.1585374322,0.1384404701,0.0002982403817,0,0.4305596978,0.8414625678,2.141080038,2.141080038,0.1585374322,2.514862312,0.0002982403817,0,0,0.2425688438,0,0.7574311562,600,0,0,261,860,0,0.6123311094,213.6529539,214.2646477,0,-0,0,0,-8.881784197e-16,2.784005024,10.97331997,38.39736639,65.35490093
ASYMMETRIC_RESERVE_BAND_HOLD_ONLY,UPRO,LAG1,0,hold,0.2,0.1,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1704474574,-0.7018300294,536.5196154,39.93429158,0.3381321487,0.5437341194,5045,1999-07-16,2002-10-09,2013-05-08,True,3864,5045,2000,-0.4529776472,1995,1.091997116,-0.5010021984,-0.1534788974,-0.101808009,0.0451320508,240,0.05461524246,0.1295263203,0.1293804336,120,0.1333087677,0.1539680589,0,0,0.100372244,0.09750882708,0,0,0.009941346058,0.899627756,2.275953365,2.275953365,0.100372244,2.514862312,0,0,0,0.2425688438,0,0.7574311562,7,0,0,261,268,0,0.3532134963,231.4782836,231.8314971,0,-0,0,0,6.661338148e-16,2.896548994,11.42697929,42.70924146,73.46430563
MATCHED_FIXED_FOR_HWM_RESERVE,UPRO,LAG1,10,none,0,0,quarterly,1986-09-26,1986-09-29,2026-09-02,10059,0.1743444488,-0.7754884388,612.6801581,39.93429158,0.3756207632,0.53447942,5130,1999-07-16,2009-03-09,2013-08-01,True,1606,5130,2000,-0.4973863742,1995,1.22788602,-0.5464941926,-0.1857157931,-0.1269360811,0.03786139606,240,0.04857852629,0.1295680102,0.1296957195,120,0.133875574,0.1565359833,0,0,0,0,1,,,1,2.514862312,2.514862312,0,2.514862312,0.2425688438,0,0.7574311562,0.2425688438,0,0.7574311562,0,0,0,261,261,261,0,261,261,12.42072908,0.2611305871,0.2298196625,0.2298196625,0.007704207311,2.582374307,11.43954659,43.3547504,78.53021113
