series,event,signal_close,delayed_execution_close,waiting_session_leveraged_return,immediate_riskoff_return,additional_loss_simple,additional_loss_relative_wealth
SSO_SMA_TO_SP500,1987,1987-10-16,1987-10-19,-0.4100184923,-0.2046380761,0.2053804162,0.2582225903
SSO_SMA_TO_SP500,2000_2002,2000-02-18,2000-02-22,0.008283924335,0.004534077845,-0.00374984649,-0.003732921135
SSO_SMA_TO_SP500,2000_2002,2000-02-24,2000-02-25,-0.02968517971,-0.0147437276,0.01494145211,0.01516504134
SSO_SMA_TO_SP500,2000_2002,2000-03-07,2000-03-08,0.01636669155,0.008281096919,-0.008085594636,-0.008019186971
SSO_SMA_TO_SP500,2000_2002,2000-04-14,2000-04-17,0.06554656344,0.03308320181,-0.03246336163,-0.03142376294
SSO_SMA_TO_SP500,2000_2002,2000-05-23,2000-05-24,0.03655047143,0.01838395908,-0.01816651235,-0.01783856883
SSO_SMA_TO_SP500,2000_2002,2000-05-25,2000-05-26,-0.005131856501,-0.002455954887,0.002675901614,0.002682489688
SSO_SMA_TO_SP500,2000_2002,2000-09-25,2000-09-26,-0.0166495254,-0.008215067116,0.008434458288,0.008504321863
SSO_SMA_TO_SP500,2000_2002,2000-09-29,2000-10-02,-0.001054493224,-0.0001956598541,0.0008588333701,0.0008590014422
SSO_SMA_TO_SP500,2000_2002,2001-12-06,2001-12-07,-0.01514610628,-0.007528218665,0.007617887615,0.00767567175
SSO_SMA_TO_SP500,2000_2002,2001-12-31,2002-01-02,0.01161298751,0.005886440482,-0.005726547027,-0.005693035314
SSO_SMA_TO_SP500,2000_2002,2002-01-09,2002-01-10,0.002392950067,0.001239503953,-0.001153446114,-0.001152018183
SSO_SMA_TO_SP500,2000_2002,2002-03-25,2002-03-26,0.01190471851,0.005995527064,-0.005909191448,-0.005873973878
SSO_SMA_TO_SP500,2000_2002,2002-04-03,2002-04-04,0.00161987838,0.0008539403318,-0.0007659380487,-0.0007652845414
SSO_SMA_TO_SP500,2007_2009,2007-08-03,2007-08-06,0.04779284357,0.02417134188,-0.02362150169,-0.02306401354
SSO_SMA_TO_SP500,2007_2009,2007-08-14,2007-08-15,-0.02742463772,-0.01363040105,0.01379423667,0.01398485586
SSO_SMA_TO_SP500,2007_2009,2007-08-28,2007-08-29,0.04417439328,0.02217967,-0.02199472328,-0.02151747283
SSO_SMA_TO_SP500,2007_2009,2007-11-09,2007-11-12,-0.02045867946,-0.009985669638,0.01047300982,0.01057864467
SSO_SMA_TO_SP500,2007_2009,2007-11-14,2007-11-15,-0.02649300882,-0.01316375327,0.01332925555,0.01350705914
SSO_SMA_TO_SP500,2007_2009,2007-12-03,2007-12-04,-0.01323542154,-0.006536070737,0.006699350798,0.00674342631
SSO_SMA_TO_SP500,2007_2009,2007-12-14,2007-12-17,-0.03046060201,-0.01499704758,0.01546355443,0.01569899297
SSO_SMA_TO_SP500,2007_2009,2007-12-27,2007-12-28,0.002771142729,0.001462072506,-0.001309070223,-0.001307159062
SSO_SMA_TO_SP500,2007_2009,2008-05-20,2008-05-21,-0.03206206007,-0.01598452889,0.01607753117,0.01633869756
SSO_SMA_TO_SP500,2020,2020-02-27,2020-02-28,-0.01623162388,-0.008075005245,0.008156618639,0.008223019565
SSO_SMA_TO_SP500,2020,2020-03-03,2020-03-04,0.0844329396,0.04225741539,-0.04217552422,-0.04046555447
SSO_SMA_TO_SP500,2020,2020-03-05,2020-03-06,-0.03411199882,-0.01702199827,0.01709000055,0.01738594406
SSO_SMA_TO_SP500,2022,2022-01-21,2022-01-24,0.005423765381,0.002771802782,-0.002651962599,-0.0026446322
SSO_SMA_TO_SP500,2022,2022-01-25,2022-01-26,-0.003013361966,-0.001486707619,0.001526654347,0.001528927415
SSO_SMA_TO_SP500,2022,2022-02-11,2022-02-14,-0.007656554491,-0.003768357154,0.003888197337,0.003902904876
SSO_SMA_TO_SP500,2022,2022-02-17,2022-02-18,-0.01407748566,-0.007018769465,0.007058716193,0.007108609887
SSO_SMA_TO_SP500,2022,2022-04-11,2022-04-12,-0.006814512468,-0.003383810648,0.00343070182,0.003442350081
SSO_SMA_TO_SP500,2022,2022-08-17,2022-08-18,0.004740849132,0.00242164793,-0.002319201202,-0.002313598481
SSO_SMA_TO_SP500,2022,2022-12-05,2022-12-06,-0.02886747222,-0.01436167941,0.01450579281,0.01471715588
SSO_SMA_TO_SP500,2022,2022-12-14,2022-12-15,-0.04984562573,-0.02485075617,0.02499486956,0.02563184017
SSO_SMA_TO_TBILL,1987,1987-10-16,1987-10-19,-0.4100184923,0.0005879119051,0.4106064042,0.4103651457
SSO_SMA_TO_TBILL,2000_2002,2000-02-18,2000-02-22,0.008283924335,0.0006290185341,-0.007654905801,-0.00765009375
SSO_SMA_TO_TBILL,2000_2002,2000-02-24,2000-02-25,-0.02968517971,0.0001586466511,0.02984382636,0.02983909248
SSO_SMA_TO_TBILL,2000_2002,2000-03-07,2000-03-08,0.01636669155,0.0001597901929,-0.01620690136,-0.01620431207
SSO_SMA_TO_TBILL,2000_2002,2000-04-14,2000-04-17,0.06554656344,0.0004777312336,-0.06506883221,-0.06503776164
SSO_SMA_TO_TBILL,2000_2002,2000-05-23,2000-05-24,0.03655047143,0.0001646528644,-0.03638581857,-0.03637982853
SSO_SMA_TO_TBILL,2000_2002,2000-05-25,2000-05-26,-0.005131856501,0.0001600761151,0.005291932616,0.00529108564
SSO_SMA_TO_TBILL,2000_2002,2000-09-25,2000-09-26,-0.0166495254,0.0001689469808,0.01681847238,0.01681563143
SSO_SMA_TO_TBILL,2000_2002,2000-09-29,2000-10-02,-0.001054493224,0.0005120840452,0.001566577269,0.001565775461
SSO_SMA_TO_TBILL,2000_2002,2001-12-06,2001-12-07,-0.01514610628,4.798641203e-05,0.01519409269,0.01519336362
SSO_SMA_TO_TBILL,2000_2002,2001-12-31,2002-01-02,0.01161298751,9.541469607e-05,-0.01151757281,-0.01151647397
SSO_SMA_TO_TBILL,2000_2002,2002-01-09,2002-01-10,0.002392950067,4.602529718e-05,-0.00234692477,-0.002346816757
