series,horizon_years,cohorts,first_entry,last_entry,min_cagr,median_cagr,max_cagr,min_terminal_multiple,median_terminal_multiple,window,rebalance,spread_bps
TQQQ_100,30,120,1986-09-30,1996-08-30,0.03963849675,0.09865412026,0.1476747007,3.209916158,16.82240429,common,monthly,50
UPRO40_TMF60,20,240,1986-09-30,2006-08-31,0.08598870908,0.1381775973,0.1828906825,5.208376466,13.31364644,common,monthly,50
UPRO40_TMF60,30,120,1986-09-30,1996-08-30,0.1039893944,0.1528326986,0.190261242,19.45386311,71.30026519,common,monthly,50
UPRO50_LT50,20,240,1986-09-30,2006-08-31,0.06141846314,0.1059897582,0.1544137691,3.294069488,7.499744525,common,monthly,50
UPRO50_LT50,30,120,1986-09-30,1996-08-30,0.1118062463,0.1292600776,0.1491645774,24.04010165,38.35476175,common,monthly,50
UPRO55_TMF45,20,240,1986-09-30,2006-08-31,0.09004471838,0.1342765829,0.1842812103,5.609011096,12.42737305,common,monthly,50
UPRO55_TMF45,30,120,1986-09-30,1996-08-30,0.1200360164,0.1544799888,0.1919468473,29.99349283,74.43595612,common,monthly,50
UPRO60_TMF40,20,240,1986-09-30,2006-08-31,0.08413806075,0.1331577045,0.1851871372,5.031434561,12.18457185,common,monthly,50
UPRO60_TMF40,30,120,1986-09-30,1996-08-30,0.1232111371,0.1544408993,0.1909100232,32.65209924,74.32951161,common,monthly,50
UPRO_100,20,240,1986-09-30,2006-08-31,-0.03187310567,0.06090215039,0.1679665647,0.5231734517,3.262170035,common,monthly,50
UPRO_100,30,120,1986-09-30,1996-08-30,0.07745327156,0.1244216884,0.1515133044,9.375569906,33.73584136,common,monthly,50
CLASSIC_60_40,20,240,1986-09-30,2006-08-31,0.06886790778,0.09006865519,0.11451733,3.788617456,5.612120507,common,annual,50
CLASSIC_60_40,30,120,1986-09-30,1996-08-30,0.08448616766,0.09746934151,0.1061922475,11.39642748,16.28653427,common,annual,50
LONG_TREASURY_100,20,240,1986-09-30,2006-08-31,0.02808018938,0.07640321423,0.1041382145,1.74022606,4.360144127,common,annual,50
LONG_TREASURY_100,30,120,1986-09-30,1996-08-30,0.04580558248,0.07645978078,0.08851062262,3.83408562,9.120592564,common,annual,50
NASDAQ100_100,20,240,1986-09-30,2006-08-31,0.03688980808,0.1181901885,0.1703152388,2.06372637,9.339284376,common,annual,50
NASDAQ100_100,30,120,1986-09-30,1996-08-30,0.1228274544,0.1387550428,0.1548630243,32.31912299,49.30713683,common,annual,50
SP500_100,20,240,1986-09-30,2006-08-31,0.04788163336,0.08783863295,0.1226043042,2.548264871,5.387530213,common,annual,50
SP500_100,30,120,1986-09-30,1996-08-30,0.0933527571,0.1030718628,0.1107476051,14.5499732,18.97715059,common,annual,50
SSO60_LT40,20,240,1986-09-30,2006-08-31,0.07836475293,0.1147703127,0.142811898,4.52182431,8.78693332,common,annual,50
SSO60_LT40,30,120,1986-09-30,1996-08-30,0.1119220175,0.1266979162,0.14139525,24.11531671,35.84000544,common,annual,50
SSO_100,20,240,1986-09-30,2006-08-31,0.02327785523,0.09036078653,0.1588077093,1.584424368,5.642300758,common,annual,50
SSO_100,30,120,1986-09-30,1996-08-30,0.1010207013,0.128313937,0.1450451639,17.944103,37.4211359,common,annual,50
TQQQ50_LT50,20,240,1986-09-30,2006-08-31,0.1090977109,0.215562005,0.2604526582,7.932246085,49.62032983,common,annual,50
TQQQ50_LT50,30,120,1986-09-30,1996-08-30,0.1980416774,0.2320526206,0.2666632699,226.0816,523.7693405,common,annual,50
TQQQ50_TMF50,20,240,1986-09-30,2006-08-31,0.1816968463,0.2635343596,0.3468378341,28.19171718,107.584119,common,annual,50
TQQQ50_TMF50,30,120,1986-09-30,1996-08-30,0.2320186993,0.2691568684,0.3304345743,523.1702427,1275.980106,common,annual,50
TQQQ_100,20,240,1986-09-30,2006-08-31,-0.1653034601,-0.01655356655,0.3040407844,0.02695083743,0.7161678404,common,annual,50
TQQQ_100,30,120,1986-09-30,1996-08-30,0.03963849675,0.09865412026,0.1476747007,3.209916158,16.82240429,common,annual,50
UPRO40_TMF60,20,240,1986-09-30,2006-08-31,0.1105573858,0.1676883654,0.2264222053,8.148346044,22.20951662,common,annual,50
UPRO40_TMF60,30,120,1986-09-30,1996-08-30,0.1244139028,0.167817687,0.2096969392,33.71754287,105.1042648,common,annual,50
UPRO50_LT50,20,240,1986-09-30,2006-08-31,0.09009149447,0.1296704779,0.1612200875,5.613826946,11.45606815,common,annual,50
UPRO50_LT50,30,120,1986-09-30,1996-08-30,0.1262657593,0.1471873988,0.1661331776,35.42396093,61.55844872,common,annual,50
UPRO55_TMF45,20,240,1986-09-30,2006-08-31,0.1311569792,0.1684826934,0.227152419,11.76136123,22.51380801,common,annual,50
UPRO55_TMF45,30,120,1986-09-30,1996-08-30,0.1444564778,0.1772427609,0.2159374683,57.28734145,133.6538619,common,annual,50
UPRO60_TMF40,20,240,1986-09-30,2006-08-31,0.1283543877,0.1692982452,0.2239041312,11.19207058,22.83000248,common,annual,50
UPRO60_TMF40,30,120,1986-09-30,1996-08-30,0.1486883464,0.1817960425,0.2161891704,63.99541584,150.1207934,common,annual,50
UPRO_100,20,240,1986-09-30,2006-08-31,-0.03187310567,0.06090215039,0.1679665647,0.5231734517,3.262170035,common,annual,50
UPRO_100,30,120,1986-09-30,1996-08-30,0.07745327156,0.1244216884,0.1515133044,9.375569906,33.73584136,common,annual,50
