strategy,family,underlying,moneyness,premium_budget,classification,family_classification,family_sensitivities_held,dominated_by,dominated_by_same_family,on_growth_frontier,on_robust_frontier,sensitivities_held,sensitivities_tested,failed_sensitivities,median_cagr,p5_cagr,median_max_drawdown,prob_drawdown_worse_than_60,mean_delta_exposure,lattice_neighbours,neighbours_on_frontier,neighbour_support,family_neighbours_on_frontier,family_neighbour_support,median_cagr_at_plus_3,median_cagr_move_when_dearer,median_cagr_move_when_cheaper,p5_cagr_at_plus_3,p5_cagr_move_when_dearer,p5_cagr_move_when_cheaper
NDX_85_40,NDX LEAPS,NASDAQ100_1X,0.85,0.4,conditional frontier,conditional frontier,4,,,True,False,4,7,block_21:baseline;iv_premium:iv_0;iv_premium:iv_6,0.1733071103,0.07302843365,-0.5902840289,0.4605333333,1.229130477,4,4,1,4,1,0.1735003702,-0.01521247343,0.01701730343,0.07430932332,-0.009789815892,0.01038722427
NDX_85_45,NDX LEAPS,NASDAQ100_1X,0.85,0.45,conditional frontier,conditional frontier,3,,,True,False,3,7,block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m,0.1811744348,0.06933845685,-0.6419456426,0.6576666667,1.373705528,4,4,1,4,1,0.1823517282,-0.01675000965,0.01762041366,0.07165737329,-0.01074086757,0.01065328496
NDX_85_50,NDX LEAPS,NASDAQ100_1X,0.85,0.5,conditional frontier,conditional frontier,4,,,True,False,4,7,block_21:baseline;iv_premium:iv_0;iv_premium:iv_6,0.1875819765,0.06415350055,-0.6905847755,0.8192666667,1.517454764,3,3,1,3,1,0.1880380945,-0.01742047509,0.01882938479,0.06678878728,-0.01015518458,0.01074326365
NDX_90_20,NDX LEAPS,NASDAQ100_1X,0.9,0.2,dominated,dominated,1,NDX_80_25,NDX_80_25,False,False,1,7,block_126:baseline;block_21:baseline;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1315856043,0.06986405444,-0.3931971215,0.02053333333,0.6823400966,3,0,0,0,0,0.1315526639,-0.01039866344,0.01175090023,0.0696873938,-0.007027685421,0.008460086742
NDX_90_25,NDX LEAPS,NASDAQ100_1X,0.9,0.25,dominated,dominated,1,NDX_80_30,NDX_80_30,False,False,1,7,block_126:baseline;block_21:baseline;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1451832176,0.07227189946,-0.4476307576,0.066,0.8424301037,4,2,0.5,2,0.5,0.1451667848,-0.01246898964,0.01465741591,0.07255680099,-0.007594410866,0.009030777786
NDX_90_30,NDX LEAPS,NASDAQ100_1X,0.9,0.3,conditional frontier,conditional frontier,4,,,True,False,4,7,block_21:baseline;iv_premium:iv_6;roll_interval:roll_18m,0.1574274902,0.07302756986,-0.5037628338,0.1778,1.000251589,4,2,0.5,2,0.5,0.1568785807,-0.01398763913,0.01671008861,0.07305421854,-0.009162048009,0.01081421899
NDX_90_35,NDX LEAPS,NASDAQ100_1X,0.9,0.35,robust frontier,robust frontier,5,,,True,False,5,7,block_21:baseline;iv_premium:iv_6,0.1677196291,0.07204411697,-0.5604909628,0.3522666667,1.15594307,4,3,0.75,3,0.75,0.1675249899,-0.01607630606,0.01883020772,0.07275568661,-0.01045367802,0.01265927276
NDX_90_40,NDX LEAPS,NASDAQ100_1X,0.9,0.4,robust frontier,robust frontier,5,,,True,False,5,7,block_21:baseline;iv_premium:iv_6,0.1766454377,0.06957313551,-0.6155432493,0.5628,1.310255625,4,3,0.75,3,0.75,0.1774982146,-0.01831464004,0.02114229639,0.07137526878,-0.01134625023,0.01250743432
NDX_90_45,NDX LEAPS,NASDAQ100_1X,0.9,0.45,conditional frontier,conditional frontier,3,,,True,False,3,7,block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m,0.1842159481,0.06512205216,-0.6677647193,0.7512,1.463928255,4,3,0.75,3,0.75,0.1856086254,-0.01937917736,0.02163823656,0.0674906443,-0.01168192295,0.01283223395
NDX_90_50,NDX LEAPS,NASDAQ100_1X,0.9,0.5,conditional frontier,conditional frontier,2,,,True,False,2,7,block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m,0.1903280597,0.05903636099,-0.7159602631,0.8829333333,1.616596643,3,2,0.6666666667,2,0.6666666667,0.1907885942,-0.02073373211,0.02404348116,0.06164969854,-0.01224166469,0.01374996582
NDX_95_20,NDX LEAPS,NASDAQ100_1X,0.95,0.2,dominated,dominated,2,NDX_80_25,NDX_80_25,False,False,1,7,block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1345369692,0.0694309064,-0.4103477843,0.02866666667,0.7270332179,2,0,0,0,0,0.1345816383,-0.01216998471,0.0145192061,0.06948835038,-0.008207257313,0.009784452611
NDX_95_25,NDX LEAPS,NASDAQ100_1X,0.95,0.25,dominated,dominated,1,NDX_85_30,NDX_85_30,False,False,1,7,block_126:baseline;block_21:baseline;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1484092818,0.07100130819,-0.4680089184,0.09766666667,0.8968055778,3,0,0,0,0,0.1486686192,-0.01489190064,0.01733830199,0.07088521097,-0.008370861347,0.01098521877
NDX_95_30,NDX LEAPS,NASDAQ100_1X,0.95,0.3,dominated,dominated,1,NDX_85_35,NDX_85_35,False,False,1,7,block_126:baseline;block_21:baseline;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1605650192,0.07104064338,-0.5269021324,0.2394,1.063904808,3,1,0.3333333333,1,0.3333333333,0.1605157274,-0.017046407,0.02000147445,0.07108845092,-0.01089655659,0.01257181211
NDX_95_35,NDX LEAPS,NASDAQ100_1X,0.95,0.35,dominated,dominated,2,NDX_80_40,NDX_80_40,False,False,2,7,block_21:baseline;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1705333457,0.06911915835,-0.5849370695,0.4415333333,1.22871611,3,1,0.3333333333,1,0.3333333333,0.1706390589,-0.01904753827,0.02249180296,0.07056238109,-0.01217967757,0.01334505445
NDX_95_40,NDX LEAPS,NASDAQ100_1X,0.95,0.4,dominated,dominated,2,NDX_90_40,NDX_90_40,False,False,2,7,block_21:baseline;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.178948445,0.06505602172,-0.641293067,0.6576666667,1.392243376,3,1,0.3333333333,1,0.3333333333,0.1799539543,-0.0210336438,0.02491263856,0.06693251803,-0.01222759758,0.01503950218
NDX_95_45,NDX LEAPS,NASDAQ100_1X,0.95,0.45,dominated,dominated,2,NDX_80_50,NDX_80_50,False,False,2,7,block_21:baseline;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1860809566,0.05998229622,-0.6933065296,0.8289333333,1.554835265,3,1,0.3333333333,1,0.3333333333,0.1871478291,-0.02205138621,0.02668096928,0.06235808239,-0.01303703236,0.01520542731
NDX_95_50,NDX LEAPS,NASDAQ100_1X,0.95,0.5,dominated,dominated,1,NDX_90_50,NDX_90_50,False,False,1,7,block_126:baseline;block_21:baseline;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1916308515,0.05258554515,-0.741039444,0.9296666667,1.716753936,2,1,0.5,1,0.5,0.1923429946,-0.02373037126,0.02844782886,0.05645659905,-0.01405379505,0.01635081913
