series,lag,switch_cost_bps,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year
VOL_BINARY,LAG1,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2482341017,-0.4946195697,4.390367861,6.672142368,0.4131584157,0.6770992145,792,2020-02-19,2020-03-23,2021-04-01,True,374,407,2022,-0.3965785148,2021,0.8593603711,-0.4157635997,0.1857936709,,46,6.8943373
REL_VOL,LAG1,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3187208153,-0.4630408611,36.46741315,12.99931554,0.3520440384,0.8079948938,521,1987-08-25,1987-12-04,1989-01-27,True,420,521,1994,-0.02135327782,1995,0.8391718745,-0.2817701442,0.1115490645,0.2209781678,182,14.00073715
REL_VOL,LAG1,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.1864358424,-0.965058382,0.1269975678,10.00136893,0.4580653946,-0.2811322791,3653,1999-12-31,2009-03-09,,False,,,2008,-0.6188430959,2003,0.6184927469,-0.7810272517,-0.3220162586,-0.1864358424,112,11.19846701
REL_VOL,LAG1,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.198115261,-0.4280526077,6.093664529,9.998631075,0.3026251866,0.73138341,801,2011-04-29,2011-11-25,2012-03-15,True,111,321,2015,-0.07287389298,2019,0.595706677,-0.2449321034,0.02646164274,0.198115261,116,11.60158817
REL_VOL,LAG1,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2599075413,-0.4362457366,4.671689044,6.672142368,0.3836654502,0.7218280947,490,2022-08-16,2022-09-30,2023-12-19,True,445,490,2022,-0.324048557,2023,0.6026859979,-0.3555798316,0.1405817618,,82,12.28990562
REL_VOL,LAG1,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.2733058108,-0.4710450757,23.12349896,12.99931554,0.3519804135,0.7087219131,524,1987-08-25,1987-12-04,1989-01-30,True,423,524,1990,-0.05321972162,1995,0.7625509946,-0.2924258106,0.07703386034,0.1816062829,182,14.00073715
REL_VOL,LAG1,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.2089243762,-0.9733353012,0.09594905282,10.00136893,0.4581349315,-0.3422513186,3653,1999-12-31,2009-03-09,,False,,,2008,-0.6356354898,2003,0.6023684118,-0.7885730689,-0.346022271,-0.2089243762,112,11.19846701
REL_VOL,LAG1,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.1638220043,-0.4393919636,4.558011821,9.998631075,0.302698497,0.6351599256,809,2011-04-29,2011-11-25,2012-03-19,True,115,325,2015,-0.09579302222,2019,0.5446170306,-0.2744587349,-0.006406945716,0.1638220043,116,11.60158817
REL_VOL,LAG1,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2217388174,-0.4362457366,3.804802209,6.672142368,0.3836578148,0.6413316925,521,2022-08-16,2022-09-30,2024-01-19,True,476,521,2022,-0.3456904545,2023,0.5630666115,-0.376226097,0.1046118389,,82,12.28990562
EFFICIENCY,LAG1,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.2007637862,-0.3854129922,10.78683845,12.99931554,0.2182021012,0.6966789045,861,1987-08-25,1987-10-19,1990-01-02,True,806,861,1990,-0.03652257159,1995,0.8528071756,-0.2698206009,0.0322779039,0.1335544262,112,8.615838248
EFFICIENCY,LAG1,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0206026891,-0.5613715647,0.8120386415,10.00136893,0.2373169135,-0.08572930594,2467,2007-06-04,2009-03-09,,False,,,2008,-0.3699761113,2009,0.3065700186,-0.4751914483,-0.09875876636,-0.0206026891,72,7.199014509
