window,state,days,mean_realized_vol,median_realized_vol,p25_realized_vol,p75_realized_vol,share_highest_decile_days,fraction_state_days_in_highest_decile,mean_sp500_daily_return,mean_upro_daily_return,mean_sp500_daily_log_return,mean_upro_daily_log_return,annualized_approx_path_drag,annualized_exact_path_drag_log,annualized_financing_drag_log
20,above,7866,0.1259318576,0.11588724,0.09140892524,0.1517725649,0.1640159046,0.02097635393,0.0005005210232,0.001156368114,0.0004646036899,0.0008310996919,0.05415987357,0.05488006975,0.07802833289
20,below,2193,0.2620873373,0.22468914,0.1755687888,0.3001361214,0.8359840954,0.3834929321,0.000456715703,0.001047505828,0.000276696056,-0.0006425099467,0.2697774647,0.2894210928,0.07268493946
60,above,7866,0.1338322279,0.1231755575,0.1030964203,0.1573483804,0.2365805169,0.03025680142,0.0005005210232,0.001156368114,0.0004646036899,0.0008310996919,0.05415987357,0.05488006975,0.07802833289
60,below,2193,0.2566777583,0.2226343479,0.1799682876,0.286761682,0.7634194831,0.3502051984,0.000456715703,0.001047505828,0.000276696056,-0.0006425099467,0.2697774647,0.2894210928,0.07268493946
