strategy,horizon_years,block_days,paths,mean_cagr,sd_cagr,mean_terminal_wealth,median_terminal_wealth,median_max_drawdown,worst_max_drawdown,median_annualized_volatility,median_min_wealth,p5_min_wealth,prob_negative_10y,prob_negative_20y,negative_20y_basis,prob_below_sp500,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure_median,mean_delta_exposure_mean,min_exposure_after_loss_median,min_exposure_after_loss_mean,consecutive_poor_rolls_median,consecutive_poor_rolls_mean,depleted_roll_fraction_median,depleted_roll_fraction_mean,underexposed_recovery_median,underexposed_recovery_mean,rolls_median,rolls_mean,mean_delta_exposure_p5,paths_with_major_loss
SP500_1X,20,63,5000,0.1124509016,0.03782967873,10.44101945,8.56749408,-0.3877253433,-0.7886772753,0.1818148051,0.9211412831,0.6381517088,0.01892333333,0.0018,across paths,0,0.05038632973,2.672890853,0.06428365856,3.476545182,0.113378141,8.56749408,0.1599360013,19.4392972,0.1727436858,24.21375721,0.4376,0.1314,0.0282,0.001,,,,,,,,,,,,,,0
UPRO_SMA_TO_SP500,20,63,5000,0.1207599814,0.1011687408,54.22678905,8.970345887,-0.7465605818,-0.9893742006,0.4095267658,0.6494268943,0.1774332966,0.1982816667,0.1112,across paths,0.4696,-0.0342799258,0.4977659697,-0.006027366092,0.8861118861,0.1159390067,8.970345887,0.2502446712,87.07635872,0.2925166139,169.3256243,1,0.9924,0.9038,0.4884,,,,,,,,,,,,,,0
UPRO60_TMF40,20,63,5000,0.1562099063,0.07489406862,39.43335107,17.80980071,-0.6216529889,-0.9551984567,0.3198853176,0.7955387756,0.3575713231,0.06374666667,0.014,across paths,0.1672,0.035328255,2.002448392,0.06031368757,3.226170799,0.1548696094,17.80980071,0.2529636702,90.94307632,0.2825963083,145.1442138,0.9906,0.8984,0.5802,0.146,,,,,,,,,,,,,,0
LEAPS_80_25_TREASURY_ROLL_9M,20,63,5000,0.1189326545,0.03753965346,11.71621594,9.451148492,-0.3327459382,-0.694380772,0.1655949283,0.9294792394,0.720844117,0.009671666667,0.0006,across paths,0.3918,0.05895818343,3.144678286,0.07124546142,3.960772509,0.1188560877,9.451148492,0.1676105993,22.17995091,0.1822263737,28.44545414,0.1944,0.0332,0.0028,0,0.8738687739,0.8716647003,0.4831032818,0.4992394726,0,0.0686,0,0.01182727273,0,0.1710638298,23,23,0.803891299,3525
LEAPS_80_25_TREASURY,20,63,5000,0.1209098052,0.03844367231,12.25890067,9.725688153,-0.3379285886,-0.7261880101,0.1677146165,0.9288495919,0.7201349017,0.01036,0.0008,across paths,0.366,0.05917441864,3.157545923,0.07246840803,4.052193347,0.1204591217,9.725688153,0.1707685706,23.41106214,0.1848586376,29.73930532,0.2154,0.0362,0.0044,0,0.8932524923,0.8910686645,0.4815108086,0.4982342315,0,0.0978,0,0.01931578947,0,0.1765028822,20,20,0.8199764592,3643
LEAPS_80_25_TREASURY_ROLL_18M,20,63,5000,0.1229836629,0.03946656057,12.85977333,10.03883092,-0.3459788123,-0.7232235282,0.1699763498,0.9285204319,0.7107838659,0.01076666667,0.0004,across paths,0.3294,0.0595346563,3.179094073,0.07242289779,4.048756029,0.1222358983,10.03883092,0.1738953815,24.69380563,0.1887934685,31.77812114,0.2414,0.0458,0.0044,0,0.9086997958,0.9052565271,0.4724470896,0.4926530554,0,0.1206,0,0.04378461538,0,0.1940063091,14,14,0.8223293363,3804
LEAPS_85_30_TREASURY_ROLL_9M,20,63,5000,0.133664273,0.04725855264,17.16023444,12.03657073,-0.3920184551,-0.780996518,0.2048823506,0.905530851,0.6593826467,0.01676166667,0.0016,across paths,0.1796,0.05823895705,3.10223654,0.07325359644,4.111942723,0.1324659102,12.03657073,0.1949641459,35.24500018,0.2128803956,47.46347471,0.4538,0.1184,0.0188,0.0004,1.146490072,1.143474097,0.4895745982,0.537333258,0,0.1002,0,0.01648181818,0,0.2001299545,23,23,1.046481097,4617
LEAPS_85_30_TREASURY,20,63,5000,0.1361413446,0.04882109909,18.32762725,12.44928797,-0.4005432031,-0.8012865876,0.2087666716,0.9034387301,0.6539855822,0.01806,0.0014,across paths,0.1546,0.05913847757,3.155403917,0.07425518159,4.189374248,0.1343765115,12.44928797,0.1990428506,37.73063371,0.2172541495,51.00647534,0.5028,0.138,0.0224,0.0008,1.176782813,1.173786257,0.4763642926,0.5228400993,0,0.1344,0,0.02514736842,0,0.2091880342,20,20,1.069552713,4680
LEAPS_85_30_TREASURY_ROLL_18M,20,63,5000,0.1385495942,0.05066909527,19.58989634,13.00043046,-0.415305503,-0.8100798138,0.2126033186,0.9023996681,0.6464889296,0.02003166667,0.001,across paths,0.135,0.05828079296,3.104692544,0.07384770582,4.157706936,0.1368361716,13.00043046,0.2034156872,40.58012405,0.2226093953,55.68709868,0.572,0.172,0.0318,0.0002,1.198140934,1.193901897,0.4432169101,0.4914115142,0,0.1742,0.07692307692,0.05855384615,0,0.2130872483,14,14,1.073945675,4768
LEAPS_95_50_TREASURY_ROLL_9M,20,63,5000,0.1715332719,0.09147586643,80.12186555,22.19665594,-0.6338323391,-0.9586066486,0.3859495233,0.7699227282,0.3513241565,0.08015333333,0.0218,across paths,0.1476,0.0288097428,1.764824807,0.05796161466,3.086016317,0.1676545478,22.19665594,0.2891719544,160.7744303,0.3271391319,287.2960386,0.9986,0.9348,0.6288,0.1584,2.225391398,2.221616574,0.7225982815,0.75685684,0,0.1738,0,0.02870909091,0,0.1936,23,23,2.014113896,5000
