variant,horizon_years,paths,block_days,cell,family,regime,underlying,moneyness,premium_budget,maturity_months,roll_months,mean_cagr,median_max_drawdown,worst_max_drawdown,prob_negative_cagr,prob_below_index,prob_below_canonical,cagr_p5,cagr_p10,cagr_p50,cagr_p90,cagr_p95,terminal_wealth_p5,terminal_wealth_p50,terminal_wealth_p95,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,min_exposure_after_loss,underexposed_recovery,delta_p5,delta_p50,delta_p95,mean_option_weight,recovery_exposure_ratio
SPX_90_30_15M_R12,20,5000,63,SPX_90_30,SPX,15m/12m,SP500_1X,0.9,0.3,15,12,0.1501237707,-0.4951073705,-0.8925889822,0.0058,0.1324,0.276,0.04722066951,0.06790524044,0.1474839641,0.234249011,0.2593176959,2.516310003,15.66507589,100.6251032,0.4806,0.1704,0.012,1.55532666,0.2167229331,0.1872869461,0.9386008628,1.608266543,1.995679708,0.3189837045,0.9543790413
SPX_90_30_18M_R6,20,5000,63,SPX_90_30,SPX,18m/6m,SP500_1X,0.9,0.3,18,6,0.1378464181,-0.4471258762,-0.8504406717,0.0048,0.1822,0.6228,0.04848492235,0.06599750338,0.1362470935,0.2112594318,0.2338584615,2.577767848,12.86636264,66.88165855,0.294,0.0808,0.0042,1.410091667,0.3939505206,0.1746644978,0.9767582251,1.434423441,1.785156882,0.3086178945,0.9281936213
SPX_90_30_18M_R12,20,5000,63,SPX_90_30,SPX,18m/12m,SP500_1X,0.9,0.3,18,12,0.1457976815,-0.4669121511,-0.8703091582,0.004,0.137,0.3334,0.04976737258,0.06887632682,0.1438127956,0.2236743161,0.2483790226,2.6415661,14.69261208,84.51411505,0.3568,0.1018,0.0056,1.45206113,0.3267908559,0.2089462019,0.8997779589,1.493391414,1.867649679,0.318338382,0.9266262897
SPX_90_30_24M_R6,20,5000,63,SPX_90_30,SPX,24m/6m,SP500_1X,0.9,0.3,24,6,0.1330889462,-0.414737481,-0.813003273,0.0024,0.2066,0.832,0.05139363908,0.06824060318,0.1316043826,0.1988200391,0.2191102947,2.72462606,11.85475047,52.58477447,0.185,0.0386,0.0012,1.264650428,0.4613190697,0.1873042389,0.8784371034,1.278809988,1.617126814,0.3091684714,0.9264042567
SPX_90_30_24M_R12,20,5000,63,SPX_90_30,SPX,24m/12m,SP500_1X,0.9,0.3,24,12,0.1402301259,-0.4265831841,-0.8285976701,0.0022,0.1456,0,0.05547337679,0.07236491197,0.1380204172,0.2091701239,0.230461539,2.944053301,13.27397789,63.29375585,0.2122,0.0426,0.0014,1.295600151,0.4298501041,0.228330245,0.8282325109,1.32060366,1.684713003,0.3189069788,0.9122217767
SPX_90_30_30M_R12,20,5000,63,SPX_90_30,SPX,30m/12m,SP500_1X,0.9,0.3,30,12,0.1356347086,-0.4011271632,-0.7806817006,0.0014,0.1688,0.6712,0.05659099972,0.07233446208,0.1339192573,0.2001631705,0.2198707919,3.007032623,12.34931223,53.24474659,0.1322,0.0238,0.0002,1.192719589,0.4834140647,0.2467174926,0.7731294295,1.208323083,1.557033977,0.31846673,0.9025096845
SPX_90_30_30M_R18,20,5000,63,SPX_90_30,SPX,30m/18m,SP500_1X,0.9,0.3,30,18,0.138606469,-0.4156631591,-0.7855872998,0.0014,0.1508,0.566,0.05731674688,0.07266105093,0.1368251019,0.2048333884,0.2260247132,3.048614574,12.99789722,58.88226249,0.167,0.031,0.0008,1.219710261,0.4554188035,0.2596153846,0.7446123807,1.244611229,1.606681403,0.3273775452,0.9010024664
SPX_90_35_15M_R6,20,5000,63,SPX_90_35,SPX,15m/6m,SP500_1X,0.9,0.35,15,6,0.1508103158,-0.528241155,-0.9062707043,0.0098,0.1524,0.4718,0.03972642992,0.06133249047,0.1476176982,0.2422837305,0.2702978255,2.179625467,15.70163028,119.7046719,0.609,0.2592,0.0296,1.753182977,0.3734028225,0.1536,1.234555249,1.791742232,2.175787112,0.3581681429,0.9376682455
SPX_90_35_15M_R12,20,5000,63,SPX_90_35,SPX,15m/12m,SP500_1X,0.9,0.35,15,12,0.1596308692,-0.5536045898,-0.9287456471,0.0114,0.1296,0.311,0.04110166042,0.06468082504,0.1563220899,0.2561384784,0.2864017272,2.238013918,18.26319314,154.0041068,0.7138,0.3344,0.0484,1.799726812,0.2217949566,0.1702,1.136291562,1.85651789,2.28176148,0.3674994671,0.9541124902
SPX_90_35_18M_R6,20,5000,63,SPX_90_35,SPX,18m/6m,SP500_1X,0.9,0.35,18,6,0.1469557092,-0.4997206369,-0.8935802326,0.0072,0.1508,0.6324,0.04374713797,0.06533895733,0.1448932719,0.2318471,0.2578226324,2.354539736,14.97269802,98.26256693,0.4994,0.1782,0.0192,1.638612375,0.4339926507,0.1645620365,1.159662963,1.669198766,2.044488828,0.3580234159,0.9293912682
