variant,horizon_years,paths,block_days,cell,family,regime,underlying,moneyness,premium_budget,maturity_months,roll_months,mean_cagr,median_max_drawdown,worst_max_drawdown,prob_negative_cagr,prob_below_index,prob_below_canonical,cagr_p5,cagr_p10,cagr_p50,cagr_p90,cagr_p95,terminal_wealth_p5,terminal_wealth_p50,terminal_wealth_p95,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,min_exposure_after_loss,underexposed_recovery,delta_p5,delta_p50,delta_p95,mean_option_weight,recovery_exposure_ratio
NDX_80_35_24M_R12,30,5000,63,NDX_80_35,NDX,24m/12m,NASDAQ100_1X,0.8,0.35,24,12,0.1617817858,-0.5120213771,-0.9129693848,0.0004,0.2726,0,0.07675655873,0.09402019482,0.1596552202,0.2318071747,0.2517674359,9.195381563,85.10492533,843.0299275,0.553,0.1968,0.0166,1.013716809,0.278209246,0.1158,0.6739633361,1.040011616,1.254548444,0.3704928197,0.9441906321
NDX_80_40_15M_R6,30,5000,63,NDX_80_40,NDX,15m/6m,NASDAQ100_1X,0.8,0.4,15,6,0.1750932461,-0.6235532181,-0.9603318192,0.0018,0.1518,0.3744,0.06756637859,0.08979383982,0.171523738,0.2631673324,0.2925242424,7.110260694,115.5119497,2204.517114,0.9022,0.5916,0.1342,1.309224178,0.3023086122,0.0318,0.9952713083,1.335655675,1.550160921,0.4087040526,0.9480665905
NDX_80_40_15M_R12,30,5000,63,NDX_80_40,NDX,15m/12m,NASDAQ100_1X,0.8,0.4,15,12,0.1826115106,-0.6368154036,-0.972404431,0.0022,0.1086,0.223,0.07097246408,0.09382778805,0.1790877941,0.2754158838,0.3024068698,7.823298734,140.1142376,2770.506221,0.9358,0.6416,0.1588,1.323507171,0.1249225688,0.081,0.9073441546,1.362446798,1.591457225,0.4181745599,0.966330419
NDX_80_40_24M_R12,30,5000,63,NDX_80_40,NDX,24m/12m,NASDAQ100_1X,0.8,0.4,24,12,0.1715354619,-0.5651013793,-0.9372186145,0.0006,0.1422,0,0.07635648112,0.09575695465,0.1688352775,0.2504609012,0.2736167805,9.093428698,107.8182053,1416.795121,0.759,0.3602,0.0482,1.15000893,0.3169718318,0.1012,0.7956908016,1.178667009,1.400993363,0.4190150153,0.9439334128
NDX_85_20_15M_R6,30,5000,63,NDX_85_20,NDX,15m/6m,NASDAQ100_1X,0.85,0.2,15,6,0.1333562326,-0.4074263499,-0.8352901435,0.0002,0.7408,0.2946,0.06815412623,0.0831033719,0.132155263,0.1850946262,0.2014925712,7.228644659,41.42414006,246.4573884,0.165,0.0336,0.0014,0.7294765261,0.2177251096,0.08817340067,0.4600074495,0.740393961,0.9559418106,0.2107926029,0.9586266286
NDX_85_20_15M_R12,30,5000,63,NDX_85_20,NDX,15m/12m,NASDAQ100_1X,0.85,0.2,15,12,0.1397701455,-0.4254426819,-0.8605452927,0,0.6722,0.1404,0.07104894137,0.08608494119,0.1386766433,0.1949554135,0.2115469359,7.840076441,49.21410384,316.4618737,0.2154,0.045,0.002,0.7549101461,0.1273002641,0.1642066421,0.3735358622,0.78386873,1.009717876,0.2223414335,0.9599963915
NDX_85_20_24M_R12,30,5000,63,NDX_85_20,NDX,24m/12m,NASDAQ100_1X,0.85,0.2,24,12,0.1292217147,-0.3758061245,-0.801458955,0,0.774,0,0.07046966613,0.08304788849,0.1285815621,0.1767493726,0.1907700497,7.7138549,37.6756226,188.339271,0.0934,0.0128,0.0002,0.6383761499,0.2351944302,0.168715847,0.3529309242,0.6468104973,0.8800266931,0.2204955376,0.9493137153
NDX_85_25_15M_R6,30,5000,63,NDX_85_25,NDX,15m/6m,NASDAQ100_1X,0.85,0.25,15,6,0.1477167186,-0.4699179907,-0.883520661,0.0002,0.5584,0.3046,0.07001327305,0.08716257723,0.1462002775,0.2100847271,0.2294743559,7.615794189,59.96480413,491.7112504,0.3722,0.1106,0.0076,0.9058656013,0.2055243117,0.08192771084,0.5916127487,0.9220407271,1.159872382,0.2610449252,0.9510197914
NDX_85_25_15M_R12,30,5000,63,NDX_85_25,NDX,15m/12m,NASDAQ100_1X,0.85,0.25,15,12,0.1546871458,-0.490263291,-0.9069719054,0.0002,0.4304,0.162,0.07322445537,0.09021295935,0.1528636528,0.2214605703,0.2410299682,8.332183668,71.35476941,651.0231743,0.457,0.1448,0.0098,0.9318905336,0.0911847008,0.1470588235,0.4869276602,0.972730767,1.212057845,0.2728129114,0.9625512811
NDX_85_25_24M_R12,30,5000,63,NDX_85_25,NDX,24m/12m,NASDAQ100_1X,0.85,0.25,24,12,0.143060865,-0.4266116607,-0.8525261653,0,0.634,0,0.07414618121,0.08818893269,0.1420765821,0.1997959851,0.2161639917,8.549574541,53.81902304,354.7158385,0.2148,0.0456,0.0018,0.7888266114,0.2360361491,0.1603427173,0.456332824,0.8039980989,1.053555959,0.2714799996,0.9439783856
NDX_85_30_15M_R6,30,5000,63,NDX_85_30,NDX,15m/6m,NASDAQ100_1X,0.85,0.3,15,6,0.1603352636,-0.5346100936,-0.922613677,0.0008,0.3214,0.3278,0.07041517789,0.08880827159,0.1578032577,0.2340527997,0.2574072641,7.702083288,81.12041197,964.7508019,0.6424,0.2584,0.0324,1.080808911,0.2085391009,0.07182873149,0.7304038711,1.10215692,1.357549785,0.3106167199,0.9482278068
NDX_85_30_15M_R12,30,5000,63,NDX_85_30,NDX,15m/12m,NASDAQ100_1X,0.85,0.3,15,12,0.1676349852,-0.5556739371,-0.9403063625,0.0008,0.2298,0.1902,0.07203264897,0.09179284638,0.1649279435,0.2459391352,0.2688004287,8.059021534,97.51303602,1264.56469,0.7132,0.3254,0.0408,1.106243747,0.07459845098,0.1284,0.60947699,1.154726793,1.411173271,0.3218554661,0.96977033
NDX_85_30_24M_R12,30,5000,63,NDX_85_30,NDX,24m/12m,NASDAQ100_1X,0.85,0.3,24,12,0.1555079057,-0.480981748,-0.892951501,0.0004,0.4036,0,0.07571886639,0.09154239127,0.1537531793,0.2212265734,0.2412098673,8.93319799,73.02513419,653.8604316,0.4168,0.1216,0.0068,0.9374511821,0.2368725044,0.1428571429,0.5666539195,0.9593772681,1.218011322,0.3214309882,0.9422335372
NDX_85_35_15M_R6,30,5000,63,NDX_85_35,NDX,15m/6m,NASDAQ100_1X,0.85,0.35,15,6,0.1711995251,-0.5972389025,-0.9536293476,0.0012,0.199,0.3514,0.06815962728,0.08889658826,0.168096909,0.2561089888,0.2841857803,7.229761612,105.7934318,1815.450565,0.851,0.4888,0.0956,1.254487081,0.224228504,0.0586,0.8765560235,1.280529573,1.552606844,0.3596746412,0.9460957972
NDX_85_35_15M_R12,30,5000,63,NDX_85_35,NDX,15m/12m,NASDAQ100_1X,0.85,0.35,15,12,0.1786500222,-0.6172325807,-0.9627302403,0.0018,0.1506,0.225,0.06951694357,0.0914181641,0.1751556102,0.2687540029,0.2954289791,7.510523148,126.7527249,2358.102216,0.9026,0.5644,0.1168,1.277861021,0.07357728543,0.11,0.7449531696,1.328676175,1.609393392,0.3698300038,0.9701583317
NDX_85_35_24M_R12,30,5000,63,NDX_85_35,NDX,24m/12m,NASDAQ100_1X,0.85,0.35,24,12,0.1666051211,-0.5358954249,-0.9233486409,0.0006,0.2144,0,0.07598923976,0.09354727151,0.1640205053,0.2426553039,0.2646211374,9.000805802,95.25971852,1145.388404,0.6592,0.2648,0.0276,1.084194323,0.2524069895,0.1304,0.6844613501,1.11181179,1.379017805,0.3704784433,0.9397261791
NDX_85_40_15M_R6,30,5000,63,NDX_85_40,NDX,15m/6m,NASDAQ100_1X,0.85,0.4,15,6,0.1802814613,-0.657017974,-0.9730078669,0.004,0.1582,0.3932,0.06400666038,0.0865463266,0.1761906993,0.277030296,0.3091132327,6.43232159,130.1453848,3232.068128,0.959,0.7096,0.2056,1.427462772,0.2632229285,0.0474,1.030416665,1.455066911,1.74662942,0.4081696923,0.9450997237
NDX_85_40_15M_R12,30,5000,63,NDX_85_40,NDX,15m/12m,NASDAQ100_1X,0.85,0.4,15,12,0.1877353482,-0.6762224597,-0.9774435,0.0034,0.1308,0.2686,0.06537140598,0.08876525424,0.1832615643,0.2899556018,0.3208665567,6.684497397,155.783977,4226.047217,0.9768,0.7674,0.2468,1.448359635,0.07974186177,0.0912,0.8924896192,1.496172807,1.807704474,0.4168230583,0.9679667451
NDX_85_40_24M_R12,30,5000,63,NDX_85_40,NDX,24m/12m,NASDAQ100_1X,0.85,0.4,24,12,0.1763750507,-0.5898923716,-0.9459453283,0.0012,0.1274,0,0.07446044445,0.09491553008,0.1732214028,0.2621150048,0.2881759739,8.624933177,120.6408227,1992.537624,0.8388,0.457,0.0726,1.229421401,0.2905131955,0.1112,0.8110296113,1.25982169,1.538071419,0.4187294093,0.9412097316
NDX_90_20_15M_R6,30,5000,63,NDX_90_20,NDX,15m/6m,NASDAQ100_1X,0.9,0.2,15,6,0.1374236216,-0.4296558793,-0.8518509637,0.0002,0.696,0.3092,0.06681845092,0.08298252675,0.1360389299,0.1937348127,0.2118310768,6.96232216,45.90629616,318.6961614,0.2324,0.0534,0.0026,0.7940744409,0.1833219266,0.1062001228,0.467317404,0.8011200584,1.086294164,0.2109700636,0.9537376749
NDX_90_20_15M_R12,30,5000,63,NDX_90_20,NDX,15m/12m,NASDAQ100_1X,0.9,0.2,15,12,0.1444023231,-0.4524798733,-0.8719880104,0.0002,0.6078,0.1694,0.07001683112,0.08484475299,0.1428596572,0.2056106528,0.2239233402,7.616555095,54.93721372,429.2859104,0.3068,0.0748,0.0032,0.8262843811,0.08119052893,0.1850583971,0.354671554,0.8555499449,1.158443275,0.2225693767,0.9601730938
NDX_90_20_24M_R12,30,5000,63,NDX_90_20,NDX,24m/12m,NASDAQ100_1X,0.9,0.2,24,12,0.1328531502,-0.391625047,-0.8120280295,0,0.745,0,0.0704204835,0.08302637159,0.1318125988,0.1843004066,0.1989351923,7.703228923,41.04963816,231.195433,0.124,0.0194,0.0006,0.6823078198,0.2160033946,0.189359392,0.3548963627,0.6879601805,0.9723796123,0.2210293472,0.9437127415
NDX_90_25_15M_R6,30,5000,63,NDX_90_25,NDX,15m/6m,NASDAQ100_1X,0.9,0.25,15,6,0.1519808474,-0.4980949026,-0.9018989332,0.0006,0.4768,0.3266,0.06846269939,0.0855452189,0.1500274742,0.2204199564,0.2427254047,7.291557902,66.27192821,678.2417049,0.4894,0.1672,0.0144,0.9853833946,0.1742111769,0.1009009009,0.602267089,0.997533952,1.315112224,0.2610250752,0.9504015245
NDX_90_25_15M_R12,30,5000,63,NDX_90_25,NDX,15m/12m,NASDAQ100_1X,0.9,0.25,15,12,0.1593744097,-0.5232936399,-0.9166705415,0.0006,0.3582,0.1986,0.06896593945,0.08807613076,0.1570067251,0.2335864387,0.2549633358,7.395297991,79.46268401,910.0518923,0.5978,0.2246,0.0204,1.018410048,0.05445030601,0.1666,0.4639288448,1.061638242,1.389196491,0.272521465,0.9645896122
NDX_90_25_24M_R12,30,5000,63,NDX_90_25,NDX,24m/12m,NASDAQ100_1X,0.9,0.25,24,12,0.1470419601,-0.4461872825,-0.8644180136,0.0002,0.5716,0,0.07350161686,0.08798689373,0.1455986484,0.2079813836,0.2258995531,8.396986316,59.02766341,450.576476,0.2788,0.0662,0.0034,0.8423815283,0.2126476569,0.1768858411,0.4589760655,0.8554379553,1.16144995,0.2718439886,0.9418500756
NDX_90_30_15M_R6,30,5000,63,NDX_90_30,NDX,15m/6m,NASDAQ100_1X,0.9,0.3,15,6,0.1645082379,-0.5661779786,-0.9419833426,0.0012,0.2822,0.3542,0.06718568123,0.08651593551,0.1613585038,0.2450483608,0.2714100129,7.034582812,88.93619364,1344.967061,0.761,0.3676,0.0548,1.174840592,0.1766219297,0.0876,0.7458524515,1.192992083,1.535573269,0.3103432377,0.9490644514
NDX_90_30_15M_R12,30,5000,63,NDX_90_30,NDX,15m/12m,NASDAQ100_1X,0.9,0.3,15,12,0.172031263,-0.592691022,-0.9469801527,0.0018,0.2154,0.2358,0.06737315749,0.08862498239,0.168705902,0.2585026293,0.2834556708,7.071752773,107.4607337,1784.741416,0.8368,0.4704,0.0786,1.2077229,0.04485820064,0.1414,0.5838349386,1.260738035,1.613595303,0.3209676689,0.9705798574
NDX_90_30_24M_R12,30,5000,63,NDX_90_30,NDX,24m/12m,NASDAQ100_1X,0.9,0.3,24,12,0.1596666785,-0.50376422,-0.9035100201,0.0004,0.3306,0,0.07397699618,0.09099725541,0.1572447273,0.2307144558,0.2520905185,8.509260236,79.95454699,849.5823978,0.5158,0.1732,0.0142,1.000580089,0.2108990089,0.1592,0.5712810143,1.020887258,1.34110056,0.3214506385,0.9404965648
NDX_90_35_15M_R6,30,5000,63,NDX_90_35,NDX,15m/6m,NASDAQ100_1X,0.9,0.35,15,6,0.1750021212,-0.631429323,-0.9670370762,0.0034,0.2024,0.3948,0.06354635671,0.08548154634,0.1709927759,0.2674813244,0.2988225255,6.349351535,113.9515844,2550.645786,0.923,0.6218,0.1492,1.36311545,0.1931262812,0.079,0.8976746786,1.386106136,1.752168716,0.3591093644,0.9478921211
NDX_90_35_15M_R12,30,5000,63,NDX_90_35,NDX,15m/12m,NASDAQ100_1X,0.9,0.35,15,12,0.1824277718,-0.6561676452,-0.9676720114,0.0032,0.1702,0.2826,0.0636675804,0.08661934495,0.1780887063,0.2820301629,0.3115466736,6.371100348,136.5957594,3417.260492,0.9614,0.7034,0.19,1.394306167,0.04298382415,0.1198,0.7157681715,1.450966172,1.835263865,0.3683144541,0.9709932999
NDX_90_35_24M_R12,30,5000,63,NDX_90_35,NDX,24m/12m,NASDAQ100_1X,0.9,0.35,24,12,0.1707811707,-0.5602523336,-0.9323504342,0.0006,0.1862,0,0.07451713459,0.09272026397,0.1675249899,0.2523024139,0.2778323877,8.638594475,104.2503977,1564.45377,0.7458,0.3452,0.0446,1.156139567,0.2289439824,0.1444,0.6915599326,1.183398603,1.515086531,0.3702054936,0.9409013701
NDX_90_40_15M_R6,30,5000,63,NDX_90_40,NDX,15m/6m,NASDAQ100_1X,0.9,0.4,15,6,0.1834389391,-0.6913092422,-0.9819427998,0.0056,0.18,0.4352,0.05717375539,0.08212072253,0.178619403,0.2887072337,0.3254114344,5.301813236,138.4539438,4684.776525,0.9842,0.8164,0.2914,1.550063733,0.2282292557,0.0668,1.057360149,1.575670337,1.966183624,0.4073362123,0.9494455865
NDX_90_40_15M_R12,30,5000,63,NDX_90_40,NDX,15m/12m,NASDAQ100_1X,0.9,0.4,15,12,0.1905761789,-0.7147047443,-0.9818533637,0.0062,0.1636,0.334,0.05762649706,0.08216537389,0.1847739568,0.3033114617,0.3386864704,5.370355486,161.8698404,6317.424247,0.9936,0.8752,0.3708,1.579204854,0.04585249074,0.1052,0.8618687863,1.634003427,2.055663216,0.4147544208,0.9703026542
NDX_90_40_24M_R12,30,5000,63,NDX_90_40,NDX,24m/12m,NASDAQ100_1X,0.9,0.4,24,12,0.1804151149,-0.6148083349,-0.9533589162,0.0022,0.129,0,0.07167602679,0.09353293613,0.1766332632,0.2725925911,0.3010897982,7.978971655,131.6225655,2687.667983,0.9028,0.5668,0.1104,1.310583093,0.2652121204,0.1254,0.8210723064,1.341043989,1.687051537,0.4181323354,0.9416136894
SPX_80_25_15M_R6,30,5000,63,SPX_80_25,SPX,15m/6m,SP500_1X,0.8,0.25,15,6,0.1217679027,-0.3831865804,-0.7512504862,0,0.317,0.404,0.06832283072,0.07914127238,0.1209793516,0.1656693315,0.1775734616,7.262975539,30.76070716,134.8147696,0.106,0.016,0.0002,0.9849595859,0.3871066312,0.09476417135,0.7571128891,1.004981648,1.158335384,0.2589443809,0.9480395295
SPX_80_25_15M_R12,30,5000,63,SPX_80_25,SPX,15m/12m,SP500_1X,0.8,0.25,15,12,0.1279743564,-0.3936561421,-0.7875040827,0,0.2078,0.116,0.07200647168,0.08395355842,0.127347875,0.1731497798,0.1857581866,8.053108682,36.45942215,165.9530536,0.123,0.0194,0.0006,1.002704059,0.3461557536,0.1372798642,0.7266973469,1.027977321,1.195098971,0.2693595592,0.956964184
SPX_80_25_18M_R6,30,5000,63,SPX_80_25,SPX,18m/6m,SP500_1X,0.8,0.25,18,6,0.1187617791,-0.3734669859,-0.7522599361,0,0.3778,0.6916,0.06701865306,0.07721106903,0.1179745684,0.160387452,0.1722242813,7.001626588,28.38076059,117.6023192,0.0866,0.0124,0.0002,0.9435116381,0.4057968919,0.1048387097,0.7162733049,0.9607657816,1.124560822,0.2584417439,0.9405853937
SPX_80_25_18M_R12,30,5000,63,SPX_80_25,SPX,18m/12m,SP500_1X,0.8,0.25,18,12,0.1250244849,-0.379456476,-0.7766123716,0,0.2554,0.2254,0.07133883315,0.08200090355,0.1244001165,0.1685526812,0.1804502642,7.90399107,33.70514266,145.0539107,0.097,0.0146,0.0002,0.9617123835,0.3871765995,0.1700281935,0.6823183622,0.9854546964,1.162730036,0.2683907629,0.9423801897
SPX_80_25_24M_R6,30,5000,63,SPX_80_25,SPX,24m/6m,SP500_1X,0.8,0.25,24,6,0.1147691993,-0.3579788281,-0.7235626854,0,0.4588,0.9354,0.06589076875,0.07544161468,0.1140568474,0.1540417134,0.1651855687,6.782955566,25.54375837,98.16210673,0.0606,0.0066,0,0.8760604115,0.4325774614,0.1173371648,0.6532477955,0.8883754469,1.066463338,0.258395412,0.9380750705
SPX_80_25_24M_R12,30,5000,63,SPX_80_25,SPX,24m/12m,SP500_1X,0.8,0.25,24,12,0.1206014259,-0.3632403868,-0.7261880101,0,0.3376,0,0.07014075547,0.08073378531,0.1201350522,0.1611110032,0.1726321753,7.643062994,30.07316107,118.8362349,0.0618,0.0068,0,0.8930707881,0.4294402278,0.1755442334,0.620963225,0.9106894695,1.104967692,0.2678817686,0.9352656388
SPX_80_25_30M_R12,30,5000,63,SPX_80_25,SPX,30m/12m,SP500_1X,0.8,0.25,30,12,0.1172984109,-0.3490344038,-0.7090808427,0,0.4082,0.733,0.06902649666,0.07839322821,0.11684052,0.1563697916,0.1673740148,7.407877191,27.52964184,103.8466934,0.0468,0.0038,0,0.8407281096,0.4400150076,0.1961947121,0.5817196388,0.8542495536,1.058116261,0.267064019,0.9215212035
SPX_80_25_30M_R18,30,5000,63,SPX_80_25,SPX,30m/18m,SP500_1X,0.8,0.25,30,18,0.1194350811,-0.3562812083,-0.6986890028,0,0.3628,0.5968,0.0698355441,0.07974756634,0.1185892713,0.1594246704,0.1703841817,7.577935605,28.85267714,112.1881141,0.055,0.0058,0,0.8555254296,0.4377340514,0.2060505002,0.5637506988,0.8735975055,1.08648933,0.2756111756,0.9249238692
SPX_80_30_15M_R6,30,5000,63,SPX_80_30,SPX,15m/6m,SP500_1X,0.8,0.3,15,6,0.131907613,-0.4306985536,-0.8213080825,0,0.149,0.4134,0.07032428029,0.08267417476,0.1312070245,0.1831962531,0.1963872588,7.682485406,40.39579072,216.9002161,0.2278,0.0512,0.0018,1.177572996,0.4011544422,0.09103840683,0.9221399288,1.201323493,1.368864687,0.3090771425,0.9433284655
SPX_80_30_15M_R12,30,5000,63,SPX_80_30,SPX,15m/12m,SP500_1X,0.8,0.3,15,12,0.1388841156,-0.4439489677,-0.8534959268,0,0.0834,0.1314,0.07472236075,0.08782836982,0.1378678862,0.1917516245,0.2064596134,8.688231621,48.17614473,278.9300172,0.2664,0.0616,0.0012,1.194553883,0.3372736184,0.1281117183,0.8939881815,1.222394902,1.405742544,0.3197010853,0.9523141799
SPX_80_30_18M_R6,30,5000,63,SPX_80_30,SPX,18m/6m,SP500_1X,0.8,0.3,18,6,0.1285175637,-0.4188087965,-0.8211707155,0,0.1918,0.6984,0.06908659822,0.08114809315,0.1279163077,0.177444914,0.1897452793,7.420382252,37.01500825,183.5368336,0.1856,0.0408,0.0014,1.128326594,0.4339909046,0.1024220033,0.8717159671,1.14920358,1.328169991,0.3085758811,0.9332514399
SPX_80_30_18M_R12,30,5000,63,SPX_80_30,SPX,18m/12m,SP500_1X,0.8,0.3,18,12,0.1355829912,-0.425802751,-0.8430832981,0,0.1092,0.2326,0.07425972878,0.08605357129,0.1346661842,0.1863372268,0.1995583703,8.576724895,44.27091506,234.8279285,0.204,0.0438,0.001,1.145988078,0.4045644177,0.1694811801,0.8392083,1.173727551,1.363893052,0.3187165822,0.9343047077
SPX_80_30_24M_R6,30,5000,63,SPX_80_30,SPX,24m/6m,SP500_1X,0.8,0.3,24,6,0.1240152579,-0.3974243404,-0.7947610225,0,0.2646,0.9402,0.06816004747,0.07946223974,0.1231493073,0.1693520577,0.1811887364,7.229846892,32.59821772,147.8012362,0.1276,0.0228,0.0008,1.047495103,0.4707121013,0.1187683284,0.7943470416,1.063433852,1.258830543,0.3086120167,0.9274463882
SPX_80_30_24M_R12,30,5000,63,SPX_80_30,SPX,24m/12m,SP500_1X,0.8,0.3,24,12,0.1307017454,-0.4038651949,-0.7723653091,0,0.1576,0,0.07285277153,0.08462146798,0.1302143178,0.1776359074,0.190291154,8.246043692,39.34566768,186.0800217,0.1346,0.0222,0.0008,1.064129455,0.4542878673,0.1782157676,0.7617451398,1.086590767,1.292947702,0.3184282663,0.9267342504
SPX_80_30_30M_R12,30,5000,63,SPX_80_30,SPX,30m/12m,SP500_1X,0.8,0.3,30,12,0.1269596996,-0.3854320503,-0.7814082974,0,0.2156,0.732,0.07231109845,0.08267075691,0.1259811362,0.1718444608,0.1838179197,8.122048654,35.15636668,157.996592,0.1,0.0138,0.0002,1.001956155,0.4806040729,0.1970117396,0.712493969,1.020078626,1.236221698,0.3177289242,0.9095275387
SPX_80_30_30M_R18,30,5000,63,SPX_80_30,SPX,30m/18m,SP500_1X,0.8,0.3,30,18,0.1292652228,-0.3941914214,-0.7715312692,0,0.1712,0.6028,0.07335585369,0.08446270834,0.1284490567,0.1749268114,0.1872158544,8.362843305,37.54314033,172.1839509,0.1082,0.0152,0.0002,1.016969855,0.4660831193,0.2100716393,0.6938169685,1.040068705,1.262826219,0.3264542061,0.9152703646
SPX_80_35_15M_R6,30,5000,63,SPX_80_35,SPX,15m/6m,SP500_1X,0.8,0.35,15,6,0.1411494852,-0.4811698923,-0.8737608748,0.0002,0.0824,0.4278,0.07110007574,0.08449789984,0.1397829377,0.199367013,0.2152153036,7.85131386,50.66900355,346.5079253,0.4212,0.1276,0.0076,1.369511895,0.4404019611,0.08670404485,1.09074604,1.395606089,1.577882726,0.3588259896,0.9361935355
SPX_80_35_15M_R12,30,5000,63,SPX_80_35,SPX,15m/12m,SP500_1X,0.8,0.35,15,12,0.1487986159,-0.4941557873,-0.9010895066,0.0002,0.0442,0.149,0.07523666182,0.09040693311,0.1472580105,0.2097246967,0.2262296512,8.813839074,61.64738221,454.2298389,0.4712,0.1542,0.009,1.384847035,0.3434139011,0.1186237247,1.068457328,1.412863798,1.616621134,0.3692358663,0.9511460569
SPX_80_35_18M_R6,30,5000,63,SPX_80_35,SPX,18m/6m,SP500_1X,0.8,0.35,18,6,0.137456184,-0.4669687454,-0.8727548916,0.0004,0.1004,0.7084,0.07005281449,0.08364847625,0.1363240744,0.1929900527,0.2076631499,7.624247154,46.25326843,287.3999416,0.3504,0.0948,0.004,1.312473975,0.4741749935,0.09503717099,1.030483078,1.33607845,1.529368214,0.3583307274,0.9290498533
SPX_80_35_18M_R12,30,5000,63,SPX_80_35,SPX,18m/12m,SP500_1X,0.8,0.35,18,12,0.1452342846,-0.4736933597,-0.8916378103,0.0004,0.0492,0.2488,0.07492802206,0.08892199349,0.1440238226,0.2033159802,0.2188388685,8.738252428,56.64114776,378.8842164,0.3776,0.1084,0.0046,1.32839865,0.4235147138,0.156638588,1.00174385,1.357767255,1.563689926,0.3683446473,0.9310813738
SPX_80_35_24M_R6,30,5000,63,SPX_80_35,SPX,24m/6m,SP500_1X,0.8,0.35,24,6,0.1325529333,-0.4415346747,-0.8494113025,0,0.135,0.9442,0.06957295372,0.08215136685,0.131493503,0.1845055803,0.1983430136,7.522329921,40.70384075,227.7938924,0.2492,0.0592,0.0018,1.218233004,0.522207417,0.1155555556,0.9389024415,1.237530126,1.447523094,0.3584705005,0.9226487004
SPX_80_35_24M_R12,30,5000,63,SPX_80_35,SPX,24m/12m,SP500_1X,0.8,0.35,24,12,0.1400432095,-0.4470021168,-0.8258638846,0,0.0718,0,0.07471026331,0.08779310066,0.1390796082,0.1933074281,0.2080414306,8.68529823,49.73932045,290.1130292,0.2656,0.0582,0.002,1.233599765,0.4892487662,0.1704614145,0.9072402069,1.259430626,1.477892249,0.368251125,0.9219675805
SPX_80_35_30M_R12,30,5000,63,SPX_80_35,SPX,30m/12m,SP500_1X,0.8,0.35,30,12,0.135936984,-0.4260983077,-0.8375630816,0,0.0964,0.734,0.07458786627,0.08648361131,0.1348459464,0.1867756934,0.2007680748,8.655688113,44.48182262,242.0376413,0.1872,0.0378,0.0008,1.161715047,0.5293262053,0.192175147,0.8475961822,1.183542231,1.410140489,0.3676885146,0.9045487026
SPX_80_35_30M_R18,30,5000,63,SPX_80_35,SPX,30m/18m,SP500_1X,0.8,0.35,30,18,0.1383741831,-0.435484389,-0.8287911756,0,0.075,0.6104,0.07504973916,0.08824951492,0.1370852349,0.1902000098,0.2040830369,8.767984628,47.19184808,262.9078563,0.2188,0.0448,0.0008,1.176186909,0.5031409486,0.2056981208,0.8305478912,1.20237203,1.434935046,0.3764167401,0.9118249106
SPX_85_25_15M_R6,30,5000,63,SPX_85_25,SPX,15m/6m,SP500_1X,0.85,0.25,15,6,0.1272002953,-0.4124241895,-0.8071009608,0,0.2266,0.378,0.06697035227,0.07900758413,0.1264761599,0.1771992541,0.1906401713,6.992123714,35.62304216,187.723946,0.1754,0.0356,0.0012,1.117472546,0.3274467793,0.1304706854,0.8017781537,1.142028819,1.366976086,0.2592959291,0.9407605576
SPX_85_25_15M_R12,30,5000,63,SPX_85_25,SPX,15m/12m,SP500_1X,0.85,0.25,15,12,0.1342378218,-0.4290789167,-0.8471088234,0,0.1416,0.1428,0.07050332563,0.08403309255,0.1332402866,0.1866505151,0.2011272482,7.721134741,42.63188402,244.2190639,0.2186,0.0484,0.0014,1.146747316,0.2539789179,0.1727439397,0.7458126602,1.183507573,1.42256341,0.2699518988,0.9506743705
SPX_85_25_18M_R6,30,5000,63,SPX_85_25,SPX,18m/6m,SP500_1X,0.85,0.25,18,6,0.1236350928,-0.3980456401,-0.801668717,0,0.2842,0.6392,0.06659209488,0.07786777659,0.1228566679,0.1702207126,0.1831514524,6.918137625,32.34435982,155.3498293,0.135,0.026,0.001,1.056901313,0.3655726343,0.1427065767,0.7562640505,1.076275749,1.307784243,0.2587774461,0.9339047303
SPX_85_25_18M_R12,30,5000,63,SPX_85_25,SPX,18m/12m,SP500_1X,0.85,0.25,18,12,0.1305192039,-0.4090462845,-0.8285986241,0,0.1816,0.2404,0.07025896573,0.08231493096,0.1295819495,0.1800652978,0.1938113369,7.66843283,38.69054005,203.3183356,0.1644,0.0308,0.0008,1.085025369,0.3209043688,0.1971918233,0.7055875521,1.116003881,1.362779302,0.2689996161,0.9327211295
SPX_85_25_24M_R6,30,5000,63,SPX_85_25,SPX,24m/6m,SP500_1X,0.85,0.25,24,6,0.1190186858,-0.3769519872,-0.7660212915,0,0.3758,0.9094,0.06594597345,0.07649480382,0.1180966094,0.1621460284,0.1737633934,6.793502979,28.4738574,122.3241369,0.0884,0.0126,0.0002,0.9645302965,0.4073017231,0.1542211389,0.6854735449,0.9770447227,1.213703803,0.2587757752,0.9306911133
