treasury_share,moneyness,premium_budget,duration_exposure,mean_delta_exposure,cagr,max_drawdown,cohort_20y_min_cagr,cohort_30y_min_cagr,dot_com_return,rates_shock_2022
0.25,0.9,0.45,0.1375,1.994631954,0.16722293,-0.6912678166,0.06807884958,0.1270623809,-0.6582775559,-0.4095317035
0.25,0.9,0.55,0.1125,2.405484183,0.1839675429,-0.7863848032,0.06435490179,0.1352746664,-0.7595914555,-0.4805409103
0.25,0.9,0.65,0.0875,2.813550471,0.195752259,-0.8735105509,0.05510222305,0.139043703,-0.8387631073,-0.5501293168
0.25,0.95,0.25,0.1875,1.276826975,0.1254629295,-0.4435927165,0.0579598204,0.1001633482,-0.3973090515,-0.2758936543
0.25,0.95,0.35,0.1625,1.74977306,0.1510477969,-0.5956899446,0.06104564213,0.1147969941,-0.5559650459,-0.3545243929
0.25,0.95,0.45,0.1375,2.210258584,0.1717672269,-0.7189314276,0.05942788669,0.1254383883,-0.6829392243,-0.4315066716
0.25,0.95,0.55,0.1125,2.66321486,0.187322208,-0.8177344531,0.05261234163,0.131716848,-0.7825298655,-0.506860436
0.25,0.95,0.65,0.0875,3.113717303,0.1970884472,-0.9007862492,0.03975415867,0.1329635525,-0.8586721738,-0.5806023548
0.25,1,0.25,0.1875,1.411040064,0.1288970913,-0.4836336206,0.05146942578,0.0990492023,-0.417598205,-0.2869498244
0.25,1,0.35,0.1625,1.92974481,0.1540061955,-0.6212054654,0.05135629666,0.1118925294,-0.5783135348,-0.369660879
0.25,1,0.45,0.1375,2.434397019,0.1734045806,-0.7442099643,0.04618407877,0.1201359447,-0.7050299188,-0.4505331995
0.25,1,0.55,0.1125,2.931156204,0.1868039718,-0.8548227277,0.03542520395,0.1234279707,-0.8026729538,-0.5295892844
0.25,1,0.65,0.0875,3.426276365,0.1935152685,-0.9256284405,0.01817071116,0.1210692789,-0.8757250397,-0.6068472522
0.25,1.05,0.25,0.1875,1.548162323,0.1309234541,-0.5237954822,0.0420835449,0.09613612676,-0.4361114026,-0.2963562995
0.25,1.05,0.35,0.1625,2.112711911,0.1546510309,-0.6439647826,0.03779936377,0.1061789885,-0.5984313875,-0.3825014232
0.25,1.05,0.45,0.1375,2.661860878,0.171743756,-0.7921679059,0.02818982307,0.1109555269,-0.7246042401,-0.4666255698
0.25,1.05,0.55,0.1125,3.203221912,0.1819444848,-0.8888371607,0.01269080747,0.1101557719,-0.8201847625,-0.5487539113
0.25,1.05,0.65,0.0875,3.74443006,0.1845050606,-0.9468329027,-0.009668469252,0.1030635453,-0.8901979047,-0.6289060464
0.5,0.8,0.25,0.375,0.9180190573,0.1149586644,-0.3469417426,0.07373723549,0.1028660886,-0.2878703473,-0.2952954888
