iv_premium,moneyness,premium_budget,safe_asset,mean_implied_vol,mean_delta_exposure,total_exposure,cagr,max_drawdown,cohort_10y_min_cagr
0,0.85,0.15,TBILL_3M_1X,0.1724913094,0.6847589675,1.534758968,0.08929553511,-0.2614877358,0.008771142198
0,0.85,0.15,LONG_TREASURY_1X,0.1724913094,0.6812526855,1.531252685,0.1127045733,-0.4370313958,0.05819133432
0,0.85,0.2,TBILL_3M_1X,0.1724913094,0.9020106132,1.702010613,0.1064784723,-0.3538610622,0.00180017587
0,0.85,0.2,LONG_TREASURY_1X,0.1724913094,0.8977385058,1.697738506,0.1290472314,-0.4570019198,0.05000821482
0,0.85,0.25,TBILL_3M_1X,0.1724913094,1.114878592,1.864878592,0.1227096742,-0.4372198216,-0.006200334634
0,0.85,0.25,LONG_TREASURY_1X,0.1724913094,1.110023227,1.860023227,0.1444309049,-0.4798862618,0.0396089874
0,0.85,0.3,TBILL_3M_1X,0.1724913094,1.323925807,2.023925807,0.1379892871,-0.5122097881,-0.01676713099
0,0.85,0.3,LONG_TREASURY_1X,0.1724913094,1.318661666,2.018661666,0.1588529314,-0.5049306815,0.02809930147
0,0.85,0.4,TBILL_3M_1X,0.1724913094,1.732598593,2.332598593,0.1656451838,-0.6420732638,-0.04112968916
0,0.85,0.4,LONG_TREASURY_1X,0.1724913094,1.727012914,2.327012914,0.1847542357,-0.5590739525,0.001542532444
0,0.85,0.5,TBILL_3M_1X,0.1724913094,2.131885703,2.631885703,0.1892410777,-0.744119498,-0.07022429281
0,0.85,0.5,LONG_TREASURY_1X,0.1724913094,2.126594471,2.626594471,0.2065278672,-0.6863032465,-0.0302161621
0,0.85,0.6,TBILL_3M_1X,0.1724913094,2.525592667,2.925592667,0.2083588452,-0.8226775326,-0.1048064809
0,0.85,0.6,LONG_TREASURY_1X,0.1724913094,2.521139994,2.921139994,0.2237304079,-0.7861840593,-0.06805728228
0,0.9,0.15,TBILL_3M_1X,0.1724913094,0.7888445933,1.638844593,0.09721686286,-0.290317568,0.00712599694
0,0.9,0.15,LONG_TREASURY_1X,0.1724913094,0.7841766794,1.634176679,0.1203733704,-0.4449320924,0.05715392134
0,0.9,0.2,TBILL_3M_1X,0.1724913094,1.036959973,1.836959973,0.1164441368,-0.3778302268,-0.0005812733059
0,0.9,0.2,LONG_TREASURY_1X,0.1724913094,1.031355491,1.831355491,0.1387337757,-0.467655682,0.04834569151
0,0.9,0.25,TBILL_3M_1X,0.1724913094,1.279339422,2.029339422,0.1344629461,-0.46406438,-0.009365946509
0,0.9,0.25,LONG_TREASURY_1X,0.1724913094,1.27304404,2.02304404,0.1558932821,-0.4924363859,0.03736685938
0,0.9,0.3,TBILL_3M_1X,0.1724913094,1.516787973,2.216787973,0.1512873632,-0.5431273411,-0.02014826623
0,0.9,0.3,LONG_TREASURY_1X,0.1724913094,1.510026516,2.210026516,0.1718584125,-0.5185309195,0.02508348784
0,0.9,0.4,TBILL_3M_1X,0.1724913094,1.979723275,2.579723275,0.1813350096,-0.6743582437,-0.04645781936
0,0.9,0.4,LONG_TREASURY_1X,0.1724913094,1.972649522,2.572649522,0.2001658601,-0.5938402733,-0.00334958924
0,0.9,0.5,TBILL_3M_1X,0.1724913094,2.430990435,2.930990435,0.2063998902,-0.774742342,-0.07794987965
0,0.9,0.5,LONG_TREASURY_1X,0.1724913094,2.424369319,2.924369319,0.2234347531,-0.7209414222,-0.03744860536
0,0.9,0.6,TBILL_3M_1X,0.1724913094,2.875598298,3.275598298,0.2260118907,-0.8499093154,-0.1154446625
0,0.9,0.6,LONG_TREASURY_1X,0.1724913094,2.870127447,3.270127447,0.2411651322,-0.8175342555,-0.07815322363
0,0.95,0.15,TBILL_3M_1X,0.1724913094,0.9079393489,1.757939349,0.1058236468,-0.3331671487,0.004475298188
0,0.95,0.15,LONG_TREASURY_1X,0.1724913094,0.9018857738,1.751885774,0.1286685759,-0.4516459302,0.05484806767
0,0.95,0.2,TBILL_3M_1X,0.1724913094,1.190523107,1.990523107,0.1270769118,-0.405335128,-0.004290024296
0,0.95,0.2,LONG_TREASURY_1X,0.1724913094,1.183361127,1.983361127,0.1490382723,-0.476797421,0.04509112403
0,0.95,0.25,TBILL_3M_1X,0.1724913094,1.465661252,2.215661252,0.1467831908,-0.4912342252,-0.01421698486
0,0.95,0.25,LONG_TREASURY_1X,0.1724913094,1.457701209,2.207701209,0.1678864353,-0.5142825028,0.03333563328
0,0.95,0.3,TBILL_3M_1X,0.1724913094,1.73451376,2.43451376,0.1649838697,-0.5717851703,-0.02559012819
0,0.95,0.3,LONG_TREASURY_1X,0.1724913094,1.726026969,2.426026969,0.1852393123,-0.5591261547,0.01994952889
0,0.95,0.4,TBILL_3M_1X,0.1724913094,2.25729411,2.85729411,0.1969154426,-0.7032187352,-0.05440616306
0,0.95,0.4,LONG_TREASURY_1X,0.1724913094,2.248480338,2.848480338,0.2154657347,-0.6299482103,-0.01097276343
0,0.95,0.5,TBILL_3M_1X,0.1724913094,2.765921631,3.265921631,0.222746873,-0.8013735216,-0.08879968783
0,0.95,0.5,LONG_TREASURY_1X,0.1724913094,2.757676909,3.257676909,0.239534482,-0.752265181,-0.04795181463
0,0.95,0.6,TBILL_3M_1X,0.1724913094,3.266933061,3.666933061,0.2419716205,-0.8728318284,-0.1296209582
0,0.95,0.6,LONG_TREASURY_1X,0.1724913094,3.260108693,3.660108693,0.2568999968,-0.844124613,-0.0919693843
0,1,0.15,TBILL_3M_1X,0.1724913094,1.040368033,1.890368033,0.1150077196,-0.380527083,0.000464642438
0,1,0.15,LONG_TREASURY_1X,0.1724913094,1.03274892,1.88274892,0.1374965318,-0.457165969,0.05100808263
0,1,0.2,TBILL_3M_1X,0.1724913094,1.360004555,2.160004555,0.1381190868,-0.4563433997,-0.009787189485
0,1,0.2,LONG_TREASURY_1X,0.1724913094,1.351125827,2.151125827,0.1597303137,-0.5088730616,0.03982070929
0,1,0.25,TBILL_3M_1X,0.1724913094,1.670114765,2.420114765,0.1592429877,-0.5178189781,-0.02126826439
0,1,0.25,LONG_TREASURY_1X,0.1724913094,1.660340868,2.410340868,0.1800206877,-0.5637792041,0.02685093729
0,1,0.3,TBILL_3M_1X,0.1724913094,1.972369353,2.672369353,0.1784698178,-0.5975772576,-0.03401415183
0,1,0.3,LONG_TREASURY_1X,0.1724913094,1.962004463,2.662004463,0.1984323061,-0.6088200376,0.01192594355
0,1,0.4,TBILL_3M_1X,0.1724913094,2.558743686,3.158743686,0.2113970506,-0.7285866261,-0.06588862135
0,1,0.4,LONG_TREASURY_1X,0.1724913094,2.547993465,3.147993465,0.2297194908,-0.6783212604,-0.02228274422
0,1,0.5,TBILL_3M_1X,0.1724913094,3.128588409,3.628588409,0.2369053914,-0.8241474184,-0.1038213086
0,1,0.5,LONG_TREASURY_1X,0.1724913094,3.118447065,3.618447065,0.2535085835,-0.7792228025,-0.06282077978
0,1,0.6,TBILL_3M_1X,0.1724913094,3.690352187,4.090352187,0.2544781518,-0.8953812094,-0.1484651186
0,1,0.6,LONG_TREASURY_1X,0.1724913094,3.681813872,4.081813872,0.2692319216,-0.8662940427,-0.1106867774
0,1.05,0.15,TBILL_3M_1X,0.1724913094,1.183651209,2.033651209,0.1247623078,-0.431411118,-0.005118215912
0,1.05,0.15,LONG_TREASURY_1X,0.1724913094,1.174386848,2.024386848,0.1468770479,-0.4883847018,0.04536765887
0,1.05,0.2,TBILL_3M_1X,0.1724913094,1.541473949,2.341473949,0.1494109954,-0.5095165926,-0.01734259194
0,1.05,0.2,LONG_TREASURY_1X,0.1724913094,1.530843319,2.330843319,0.1706909362,-0.5587333489,0.03219805428
0,1.05,0.25,TBILL_3M_1X,0.1724913094,1.887335331,2.637335331,0.1715149629,-0.5712174439,-0.03084172533
0,1.05,0.25,LONG_TREASURY_1X,0.1724913094,1.875727284,2.625727284,0.1920193084,-0.6137505442,0.01750173338
0,1.05,0.3,TBILL_3M_1X,0.1724913094,2.22361366,2.92361366,0.1912448679,-0.621190741,-0.0456464317
0,1.05,0.3,LONG_TREASURY_1X,0.1724913094,2.211338796,2.911338796,0.2109943412,-0.6579557128,0.000544603047
0,1.05,0.4,TBILL_3M_1X,0.1724913094,2.874815615,3.474815615,0.2239347906,-0.7505916113,-0.08143299306
0,1.05,0.4,LONG_TREASURY_1X,0.1724913094,2.862016672,3.462016672,0.2421460979,-0.7245848054,-0.03784060786
0,1.05,0.5,TBILL_3M_1X,0.1724913094,3.507586187,4.007586187,0.247698881,-0.8481397085,-0.1236042379
0,1.05,0.5,LONG_TREASURY_1X,0.1724913094,3.495311462,3.995311462,0.2642461525,-0.8021237949,-0.08267972495
0,1.05,0.6,TBILL_3M_1X,0.1724913094,4.132730246,4.532730246,0.2620420302,-0.923097161,-0.1725935322
0,1.05,0.6,LONG_TREASURY_1X,0.1724913094,4.122102542,4.522102542,0.2767360972,-0.8845449604,-0.134957071
0,1.1,0.15,TBILL_3M_1X,0.1724913094,1.335166669,2.185166669,0.1352004216,-0.4844840863,-0.01225203887
0,1.1,0.15,LONG_TREASURY_1X,0.1724913094,1.324337372,2.174337372,0.1569577636,-0.5379998071,0.03790915157
0,1.1,0.2,TBILL_3M_1X,0.1724913094,1.73066283,2.53066283,0.1609303602,-0.5632170961,-0.02691218751
0,1.1,0.2,LONG_TREASURY_1X,0.1724913094,1.718427784,2.518427784,0.1819422911,-0.6087121453,0.02222184782
0,1.1,0.25,TBILL_3M_1X,0.1724913094,2.111464777,2.861464777,0.1834417312,-0.6237580322,-0.04286677846
0,1.1,0.25,LONG_TREASURY_1X,0.1724913094,2.098186402,2.848186402,0.2037745213,-0.6625595538,0.00521492868
0,1.1,0.3,TBILL_3M_1X,0.1724913094,2.480874995,3.180874995,0.2030241987,-0.6717590943,-0.06031159609
0,1.1,0.3,LONG_TREASURY_1X,0.1724913094,2.46683138,3.16683138,0.222693035,-0.7049326428,-0.01416047637
0,1.1,0.4,TBILL_3M_1X,0.1724913094,3.19533608,3.79533608,0.2340196797,-0.7849652873,-0.1010082484
0,1.1,0.4,LONG_TREASURY_1X,0.1724913094,3.18050617,3.78050617,0.252292506,-0.7673492358,-0.05755698323
0,1.1,0.5,TBILL_3M_1X,0.1724913094,3.890221117,4.390221117,0.2544343623,-0.8868631834,-0.1479925304
0,1.1,0.5,LONG_TREASURY_1X,0.1724913094,3.875647303,4.375647303,0.2711138638,-0.8213979026,-0.1073821369
0,1.1,0.6,TBILL_3M_1X,0.1724913094,4.579166409,4.979166409,0.2638209908,-0.947097691,-0.2017980797
0,1.1,0.6,LONG_TREASURY_1X,0.1724913094,4.5660782,4.9660782,0.2786342091,-0.9170296114,-0.1645768263
0.03,0.7,0.15,TBILL_3M_1X,0.2024913094,0.4485184254,1.298518425,0.06842146852,-0.2094443262,0.009917439512
0.03,0.7,0.15,LONG_TREASURY_1X,0.2024913094,0.4471295726,1.297129573,0.09218102431,-0.4069150917,0.03446953927
0.03,0.7,0.2,TBILL_3M_1X,0.2024913094,0.5935397664,1.393539766,0.07967364653,-0.2787365708,0.003981923097
0.03,0.7,0.2,LONG_TREASURY_1X,0.2024913094,0.5917454069,1.391745407,0.1026423697,-0.4174054002,0.0503350737
0.03,0.7,0.25,TBILL_3M_1X,0.2024913094,0.7366662993,1.486666299,0.09045537357,-0.3442472989,-0.003614324789
0.03,0.7,0.25,LONG_TREASURY_1X,0.2024913094,0.7345122561,1.484512256,0.1126015086,-0.430800998,0.04091104311
0.03,0.7,0.3,TBILL_3M_1X,0.2024913094,0.8780896265,1.578089626,0.1007584655,-0.4061010756,-0.01261282661
0.03,0.7,0.3,LONG_TREASURY_1X,0.2024913094,0.8756278837,1.575627884,0.122050622,-0.4460167854,0.03074492577
0.03,0.7,0.4,TBILL_3M_1X,0.2024913094,1.156560695,1.756560695,0.1198793779,-0.5226425247,-0.0326965694
0.03,0.7,0.4,LONG_TREASURY_1X,0.2024913094,1.153654368,1.753654368,0.1393672424,-0.4775672684,0.008031212963
0.03,0.7,0.5,TBILL_3M_1X,0.2024913094,1.43039768,1.93039768,0.1368970066,-0.6218880053,-0.0558407019
0.03,0.7,0.5,LONG_TREASURY_1X,0.2024913094,1.42728356,1.92728356,0.1544391458,-0.5632375317,-0.01820675551
0.03,0.7,0.6,TBILL_3M_1X,0.2024913094,1.701084205,2.101084205,0.1515868772,-0.7305118203,-0.0825147296
0.03,0.7,0.6,LONG_TREASURY_1X,0.2024913094,1.697991935,2.097991935,0.1670060993,-0.6617194163,-0.04857535558
0.03,0.75,0.15,TBILL_3M_1X,0.2024913094,0.5017817489,1.351781749,0.07235823284,-0.2186018096,0.008744471967
0.03,0.75,0.15,LONG_TREASURY_1X,0.2024913094,0.4999539727,1.349953973,0.09603128892,-0.4157297998,0.04001250084
0.03,0.75,0.2,TBILL_3M_1X,0.2024913094,0.6634088793,1.463408879,0.08472347809,-0.2923687363,0.002279750561
0.03,0.75,0.2,LONG_TREASURY_1X,0.2024913094,0.6610946046,1.461094605,0.1075910638,-0.4290372874,0.0492255337
0.03,0.75,0.25,TBILL_3M_1X,0.2024913094,0.8226896121,1.572689612,0.09652180311,-0.3674054425,-0.005513296752
0.03,0.75,0.25,LONG_TREASURY_1X,0.2024913094,0.8199631176,1.569963118,0.1185581544,-0.4450708408,0.03933376621
0.03,0.75,0.3,TBILL_3M_1X,0.2024913094,0.9798783001,1.6798783,0.1077453406,-0.4363262086,-0.01511668439
0.03,0.75,0.3,LONG_TREASURY_1X,0.2024913094,0.9768178621,1.676817862,0.1289246785,-0.4634020568,0.02862001346
0.03,0.75,0.4,TBILL_3M_1X,0.2024913094,1.288942567,1.888942567,0.1284147986,-0.5572486718,-0.03665988316
0.03,0.75,0.4,LONG_TREASURY_1X,0.2024913094,1.285455935,1.885455935,0.1477998958,-0.4997973777,0.004557771765
0.03,0.75,0.5,TBILL_3M_1X,0.2024913094,1.592481155,2.092481155,0.1465732127,-0.6593978576,-0.06163222728
0.03,0.75,0.5,LONG_TREASURY_1X,0.2024913094,1.588886036,2.088886036,0.1640444188,-0.5972694368,-0.02340019547
0.03,0.75,0.6,TBILL_3M_1X,0.2024913094,1.892409142,2.292409142,0.1619540157,-0.7595818961,-0.09056911899
