series,regime,entry_close,episode_end,episode_max_drawdown,episode_terminal_multiple,episode_peak,episode_trough,recovery_date,recovery_days_from_peak,recovery_days_from_trough,recovered,end_relative_to_pre_episode_all_time_peak,pre_episode_peak_first_regained,kind,window
SP500_100,1987,1986-12-31,1987-12-31,-0.330641561406,1.04841093567,1987-08-25,1987-10-19,1989-05-17,631,576,True,0.926624654086,1987-01-22,static,common
SP500_100,2000_2002,1999-12-31,2002-12-31,-0.474141187691,0.623914137963,2000-09-01,2002-10-09,2006-10-23,2243,1475,True,0.623914137963,2000-03-21,static,common
SP500_100,2007_2009,2006-12-29,2009-12-31,-0.552502410697,0.84052645474,2007-10-09,2009-03-09,2012-04-02,1637,1120,True,0.835550136006,2007-01-12,static,common
SP500_100,2020,2019-12-31,2020-12-31,-0.337904636519,1.18398831565,2020-02-19,2020-03-23,2020-08-10,173,140,True,1.18084232629,2020-01-02,static,common
SP500_100,2022,2021-12-31,2022-12-30,-0.244916398001,0.818891111137,2022-01-03,2022-10-12,2023-12-13,709,427,True,0.814413199997,2022-01-03,static,common
NASDAQ100_100,1987,1986-12-31,1987-12-31,-0.399349868958,1.10498215303,1987-10-05,1987-10-26,1989-05-26,599,578,True,1.04111139455,1987-01-07,static,common
NASDAQ100_100,2000_2002,1999-12-31,2002-12-31,-0.828728190357,0.265965131699,2000-03-27,2002-10-07,2014-11-26,5357,4433,True,0.265965131699,2000-01-03,static,common
NASDAQ100_100,2007_2009,2006-12-29,2009-12-31,-0.534198516079,1.07713114479,2007-10-31,2008-11-20,2010-12-08,1134,748,True,0.408555624944,2014-11-26,static,common
NASDAQ100_100,2020,2019-12-31,2020-12-31,-0.279686169275,1.48877121448,2020-02-19,2020-03-20,2020-06-03,105,75,True,1.48118095178,2020-01-02,static,common
NASDAQ100_100,2022,2021-12-31,2022-12-30,-0.347805077118,0.676168725681,2022-01-03,2022-10-14,2023-12-12,708,424,True,0.666096830464,2023-12-12,static,common
LONG_TREASURY_100,1987,1986-12-31,1987-12-31,-0.153024306343,0.970258119938,1987-03-05,1987-10-16,1988-03-03,364,139,True,0.961936881879,1987-01-06,static,common
LONG_TREASURY_100,2000_2002,1999-12-31,2002-12-31,-0.0964757970187,1.4785581669,2001-11-07,2002-03-14,2002-08-02,268,141,True,1.30766438884,2000-09-01,static,common
LONG_TREASURY_100,2007_2009,2006-12-29,2009-12-31,-0.265363724781,1.16056867658,2008-12-30,2009-06-10,2011-08-18,961,799,True,1.12456608834,2007-08-30,static,common
LONG_TREASURY_100,2020,2019-12-31,2020-12-31,-0.157245616499,1.18329999223,2020-03-09,2020-03-18,2020-04-21,43,34,True,1.09456976835,2020-02-20,static,common
LONG_TREASURY_100,2022,2021-12-31,2022-12-30,-0.365634064397,0.688687118896,2021-12-31,2022-10-24,,,,False,0.608508467872,,static,common
CLASSIC_60_40,1987,1986-12-31,1987-12-31,-0.227995839928,1.03794645921,1987-08-25,1987-10-19,1989-01-24,518,463,True,0.962515859986,1987-01-22,static,common
CLASSIC_60_40,2000_2002,1999-12-31,2002-12-31,-0.2413615096,0.909732949586,2000-09-01,2002-07-23,2004-01-08,1224,534,True,0.909732949586,2000-02-08,static,common
CLASSIC_60_40,2007_2009,2006-12-29,2009-12-31,-0.301441868699,1.00194209629,2007-12-06,2009-03-09,2010-09-13,1012,553,True,0.993870046707,2007-02-02,static,common
CLASSIC_60_40,2020,2019-12-31,2020-12-31,-0.17607110204,1.2185986951,2020-02-20,2020-03-18,2020-05-26,96,69,True,1.21051438897,2020-01-02,static,common
CLASSIC_60_40,2022,2021-12-31,2022-12-30,-0.273182664247,0.765704206362,2021-12-31,2022-10-20,2024-08-20,963,670,True,0.761950640241,2024-09-11,static,common
SSO_100,1987,1986-12-31,1987-12-31,-0.60802722656,0.888702970988,1987-08-25,1987-12-04,1991-04-17,1331,1230,True,0.685083317883,1987-02-04,static,common
SSO_100,2000_2002,1999-12-31,2002-12-31,-0.789128896475,0.281643899488,2000-03-23,2002-10-09,2014-09-05,5279,4349,True,0.281643899488,2000-03-21,static,common
SSO_100,2007_2009,2006-12-29,2009-12-31,-0.845311584565,0.480830701075,2007-10-09,2009-03-09,2013-10-22,2205,1688,True,0.308419836621,2014-09-05,static,common
SSO_100,2020,2019-12-31,2020-12-31,-0.591543490715,1.21758687663,2020-02-19,2020-03-23,2020-09-02,196,163,True,1.21068088936,2020-01-02,static,common
SSO_100,2022,2021-12-31,2022-12-30,-0.465873285265,0.613399930485,2022-01-03,2022-10-12,2024-02-22,780,498,True,0.606651894641,2022-01-03,static,common
UPRO_100,1987,1986-12-31,1987-12-31,-0.80656322202,0.626714548474,1987-08-25,1987-12-04,1994-01-28,2348,2247,True,0.418402677838,1987-02-04,static,common
UPRO_100,2000_2002,1999-12-31,2002-12-31,-0.924559720435,0.110782911126,2000-03-23,2002-10-09,2018-08-29,6733,5803,True,0.110782911126,2000-03-23,static,common
UPRO_100,2007_2009,2006-12-29,2009-12-31,-0.957218632719,0.213609687437,2007-07-13,2009-03-09,2015-05-18,2866,2261,True,0.0726977349743,2018-08-29,static,common
UPRO_100,2020,2019-12-31,2020-12-31,-0.766830123294,1.10660051656,2020-02-19,2020-03-23,2021-01-07,323,290,True,1.09705304259,2020-01-02,static,common
UPRO_100,2022,2021-12-31,2022-12-30,-0.637050395091,0.436818992279,2022-01-03,2022-10-12,2024-06-12,891,609,True,0.429623603751,2022-01-03,static,common
TQQQ_100,1987,1986-12-31,1987-12-31,-0.837813522186,0.777999597927,1987-10-05,1987-12-04,1992-01-14,1562,1502,True,0.641819165789,1987-01-07,static,common
TQQQ_100,2000_2002,1999-12-31,2002-12-31,-0.999549764809,0.00122222279892,2000-03-27,2002-10-07,,,,False,0.00122222279892,2000-01-03,static,common
TQQQ_100,2007_2009,2006-12-29,2009-12-31,-0.950562617663,0.430518322446,2007-10-31,2009-03-09,2013-10-18,2179,1684,True,0.000905640168767,,static,common
