series,regime,entry_close,episode_end,episode_max_drawdown,episode_terminal_multiple,episode_peak,episode_trough,recovery_date,recovery_days_from_peak,recovery_days_from_trough,recovered,end_relative_to_pre_episode_all_time_peak,pre_episode_peak_first_regained,kind,window
TQQQ_100,2020,2019-12-31,2020-12-31,-0.698724694797,2.11233581649,2020-02-19,2020-03-20,2020-07-10,142,112,True,0.0826500382918,,static,common
TQQQ_100,2022,2021-12-31,2022-12-30,-0.807789092425,0.213013188134,2022-01-03,2022-12-28,2024-07-05,914,555,True,0.0322411062765,,static,common
SSO60_LT40,1987,1986-12-31,1987-12-31,-0.391975945231,1.00191112933,1987-08-25,1987-10-19,1989-06-09,654,599,True,0.855746051395,1987-01-28,static,common
SSO60_LT40,2000_2002,1999-12-31,2002-12-31,-0.503444285146,0.606138913164,2000-04-07,2002-07-23,2006-09-26,2363,1526,True,0.606138913164,2000-03-17,static,common
SSO60_LT40,2007_2009,2006-12-29,2009-12-31,-0.590640321226,0.788780775798,2007-10-09,2009-03-09,2011-10-27,1479,962,True,0.778834594383,2007-01-24,static,common
SSO60_LT40,2020,2019-12-31,2020-12-31,-0.322801334582,1.31646627357,2020-02-19,2020-03-18,2020-06-08,110,82,True,1.30542248905,2020-01-02,static,common
SSO60_LT40,2022,2021-12-31,2022-12-30,-0.403283981041,0.648543084964,2021-12-31,2022-10-14,2024-07-16,928,641,True,0.643182973706,2024-09-13,static,common
UPRO50_LT50,1987,1986-12-31,1987-12-31,-0.450423578559,0.987431524851,1987-08-25,1987-10-19,1989-07-27,702,647,True,0.804248648825,1987-02-02,static,common
UPRO50_LT50,2000_2002,1999-12-31,2002-12-31,-0.593186674767,0.508101646937,2000-03-23,2002-10-09,2006-11-22,2435,1505,True,0.508101646937,2000-03-21,static,common
UPRO50_LT50,2007_2009,2006-12-29,2009-12-31,-0.672535216825,0.693883987346,2007-10-09,2009-03-09,2012-01-18,1562,1045,True,0.682330301682,2007-02-01,static,common
UPRO50_LT50,2020,2019-12-31,2020-12-31,-0.369557608987,1.39888747418,2020-02-19,2020-03-18,2020-06-05,107,79,True,1.38395935428,2020-01-02,static,common
UPRO50_LT50,2022,2021-12-31,2022-12-30,-0.485019526444,0.566197367658,2021-12-31,2022-10-14,2024-11-08,1043,756,True,0.560105418782,2024-11-29,static,common
UPRO55_TMF45,1987,1986-12-31,1987-12-31,-0.532746810362,0.911906467557,1987-08-25,1987-10-19,1989-07-19,694,639,True,0.72455275809,1987-02-04,static,common
UPRO55_TMF45,2000_2002,1999-12-31,2002-12-31,-0.59322514028,0.593536723379,2000-04-07,2002-07-23,2005-02-04,1764,927,True,0.569981725219,2000-03-21,static,common
UPRO55_TMF45,2007_2009,2006-12-29,2009-12-31,-0.654378975344,0.737853692897,2007-10-29,2009-03-09,2011-02-16,1206,709,True,0.711829435325,2007-02-16,static,common
UPRO55_TMF45,2020,2019-12-31,2020-12-31,-0.444381573689,1.66322996093,2020-03-06,2020-03-18,2020-06-02,88,76,True,1.62981949857,2020-01-02,static,common
UPRO55_TMF45,2022,2021-12-31,2022-12-30,-0.67618696013,0.360529242642,2021-12-31,2022-10-20,,,,False,0.355077928016,,static,common
UPRO60_TMF40,1987,1986-12-31,1987-12-31,-0.560363177747,0.904208213271,1987-08-25,1987-10-19,1989-07-27,702,647,True,0.705074361406,1987-02-04,static,common
UPRO60_TMF40,2000_2002,1999-12-31,2002-12-31,-0.646342713658,0.50975209864,2000-04-07,2002-07-23,2006-10-04,2371,1534,True,0.497710072746,2000-03-21,static,common
UPRO60_TMF40,2007_2009,2006-12-29,2009-12-31,-0.706861056132,0.684622893149,2007-10-29,2009-03-09,2011-04-26,1275,778,True,0.663453495078,2007-02-14,static,common
UPRO60_TMF40,2020,2019-12-31,2020-12-31,-0.452423952722,1.64529938203,2020-03-06,2020-03-18,2020-06-02,88,76,True,1.61464396902,2020-01-02,static,common
UPRO60_TMF40,2022,2021-12-31,2022-12-30,-0.668425945463,0.368841935128,2021-12-31,2022-10-14,,,,False,0.363250970025,,static,common
UPRO40_TMF60,1987,1986-12-31,1987-12-31,-0.484410634721,0.907663801307,1987-03-23,1987-10-19,1989-06-08,808,598,True,0.76095478269,1987-01-22,static,common
UPRO40_TMF60,2000_2002,1999-12-31,2002-12-31,-0.399657885833,0.90245880223,2000-04-07,2002-07-23,2003-06-04,1153,316,True,0.808773550645,2000-03-23,static,common
UPRO40_TMF60,2007_2009,2006-12-29,2009-12-31,-0.486666231059,0.877252793847,2008-12-30,2009-03-09,2010-08-16,594,525,True,0.831700213948,2007-05-04,static,common
UPRO40_TMF60,2020,2019-12-31,2020-12-31,-0.432287510833,1.66648470153,2020-03-09,2020-03-18,2020-06-08,91,82,True,1.60429897211,2020-01-03,static,common
UPRO40_TMF60,2022,2021-12-31,2022-12-30,-0.699149740226,0.335911141387,2021-12-31,2022-10-20,,,,False,0.330761767828,,static,common
TQQQ50_LT50,1987,1986-12-31,1987-12-31,-0.426934155577,1.13594813412,1987-08-26,1987-10-27,1989-06-07,651,589,True,1.02437512157,1987-01-07,static,common
TQQQ50_LT50,2000_2002,1999-12-31,2002-12-31,-0.900645693905,0.175540576451,2000-03-27,2002-10-07,2014-05-27,5174,4250,True,0.175540576451,2000-01-03,static,common
TQQQ50_LT50,2007_2009,2006-12-29,2009-12-31,-0.657617205787,1.04961377311,2007-10-31,2009-03-09,2010-10-25,1090,595,True,0.281191955234,2014-05-27,static,common
TQQQ50_LT50,2020,2019-12-31,2020-12-31,-0.378874733208,1.86717736266,2020-02-19,2020-03-18,2020-06-01,103,75,True,1.84001299211,2020-01-02,static,common
TQQQ50_LT50,2022,2021-12-31,2022-12-30,-0.601068432166,0.413788351806,2022-01-03,2022-12-28,2024-12-04,1066,707,True,0.398871713342,2024-12-16,static,common
TQQQ50_TMF50,1987,1986-12-31,1987-12-31,-0.493508796978,1.05257266924,1987-03-26,1987-10-20,1989-06-07,804,596,True,0.938041796448,1987-01-07,static,common
TQQQ50_TMF50,2000_2002,1999-12-31,2002-12-31,-0.866624562699,0.251730266233,2000-03-27,2002-08-05,2011-09-14,4188,3327,True,0.251730266233,2000-01-03,static,common
TQQQ50_TMF50,2007_2009,2006-12-29,2009-12-31,-0.590269767323,1.24496214476,2007-11-02,2008-11-17,2010-04-13,893,512,True,0.480711226276,2011-09-14,static,common
TQQQ50_TMF50,2020,2019-12-31,2020-12-31,-0.423465637386,2.19628520406,2020-03-06,2020-03-18,2020-04-29,54,42,True,2.14315503281,2020-01-02,static,common
TQQQ50_TMF50,2022,2021-12-31,2022-12-30,-0.766294692923,0.247724701768,2021-12-31,2022-11-09,,,,False,0.238028845701,,static,common
SP500_1X,1987,1986-12-31,1987-12-31,-0.330641561406,1.04841093567,1987-08-25,1987-10-19,1989-05-17,631,576,True,0.926624654086,1987-01-22,sma,common
SP500_1X,2000_2002,1999-12-31,2002-12-31,-0.474141187691,0.623914137963,2000-09-01,2002-10-09,2006-10-23,2243,1475,True,0.623914137963,2000-03-21,sma,common
SP500_1X,2007_2009,2006-12-29,2009-12-31,-0.552502410697,0.84052645474,2007-10-09,2009-03-09,2012-04-02,1637,1120,True,0.835550136006,2007-01-12,sma,common
SP500_1X,2020,2019-12-31,2020-12-31,-0.337904636519,1.18398831565,2020-02-19,2020-03-23,2020-08-10,173,140,True,1.18084232629,2020-01-02,sma,common
SP500_1X,2022,2021-12-31,2022-12-30,-0.244916398001,0.818891111137,2022-01-03,2022-10-12,2023-12-13,709,427,True,0.814413199997,2022-01-03,sma,common
SSO_ALWAYS,1987,1986-12-31,1987-12-31,-0.60802722656,0.888702970988,1987-08-25,1987-12-04,1991-04-17,1331,1230,True,0.685083317883,1987-02-04,sma,common
SSO_ALWAYS,2000_2002,1999-12-31,2002-12-31,-0.789128896475,0.281643899488,2000-03-23,2002-10-09,2014-09-05,5279,4349,True,0.281643899488,2000-03-21,sma,common
SSO_ALWAYS,2007_2009,2006-12-29,2009-12-31,-0.845311584565,0.480830701075,2007-10-09,2009-03-09,2013-10-22,2205,1688,True,0.308419836621,2014-09-05,sma,common
SSO_ALWAYS,2020,2019-12-31,2020-12-31,-0.591543490715,1.21758687663,2020-02-19,2020-03-23,2020-09-02,196,163,True,1.21068088936,2020-01-02,sma,common
SSO_ALWAYS,2022,2021-12-31,2022-12-30,-0.465873285265,0.613399930485,2022-01-03,2022-10-12,2024-02-22,780,498,True,0.606651894641,2022-01-03,sma,common
SSO_SMA_TO_SP500,1987,1986-12-31,1987-12-31,-0.448819840058,1.0799225313,1987-08-25,1987-10-19,1989-07-19,694,639,True,0.872115903083,1987-02-04,sma,common
SSO_SMA_TO_SP500,2000_2002,1999-12-31,2002-12-31,-0.595235590567,0.472658599361,2000-03-23,2002-10-09,2007-05-18,2612,1682,True,0.464315338804,2000-03-23,sma,common
SSO_SMA_TO_SP500,2007_2009,2006-12-29,2009-12-31,-0.625548480047,0.878847436116,2007-07-13,2009-03-09,2012-09-13,1889,1284,True,0.777324088589,2007-05-18,sma,common
SSO_SMA_TO_SP500,2020,2019-12-31,2020-12-31,-0.456749412221,1.24798260952,2020-02-19,2020-03-23,2020-09-01,195,162,True,1.24090422179,2020-01-02,sma,common
SSO_SMA_TO_SP500,2022,2021-12-31,2022-12-30,-0.348488317857,0.692029803681,2022-01-03,2022-10-12,2024-02-07,765,483,True,0.684416757626,2022-01-03,sma,common
SSO_SMA_TO_TBILL,1987,1986-12-31,1987-12-31,-0.307007107893,1.17070080521,1987-08-25,1987-10-16,1989-05-22,636,584,True,0.987833221446,1987-02-05,sma,common
SSO_SMA_TO_TBILL,2000_2002,1999-12-31,2002-12-31,-0.336112508432,0.671805901279,1999-12-31,2002-04-03,2004-01-21,1482,658,True,0.622015416516,2007-04-20,sma,common
SSO_SMA_TO_TBILL,2007_2009,2006-12-29,2009-12-31,-0.342123362247,1.23742548299,2007-07-13,2009-07-10,2009-10-14,824,96,True,1.15273961939,2007-04-20,sma,common
SSO_SMA_TO_TBILL,2020,2019-12-31,2020-12-31,-0.321711140057,1.1615657468,2020-02-19,2020-03-05,2020-12-01,286,271,True,1.15497750377,2020-01-02,sma,common
SSO_SMA_TO_TBILL,2022,2021-12-31,2022-12-30,-0.275286386575,0.735276477729,2022-01-03,2022-12-14,2024-02-22,780,435,True,0.727187673377,2022-01-03,sma,common
UPRO_ALWAYS,1987,1986-12-31,1987-12-31,-0.80656322202,0.626714548474,1987-08-25,1987-12-04,1994-01-28,2348,2247,True,0.418402677838,1987-02-04,sma,common
UPRO_ALWAYS,2000_2002,1999-12-31,2002-12-31,-0.924559720435,0.110782911126,2000-03-23,2002-10-09,2018-08-29,6733,5803,True,0.110782911126,2000-03-23,sma,common
UPRO_ALWAYS,2007_2009,2006-12-29,2009-12-31,-0.957218632719,0.213609687437,2007-07-13,2009-03-09,2015-05-18,2866,2261,True,0.0726977349743,2018-08-29,sma,common
UPRO_ALWAYS,2020,2019-12-31,2020-12-31,-0.766830123294,1.10660051656,2020-02-19,2020-03-23,2021-01-07,323,290,True,1.09705304259,2020-01-02,sma,common
UPRO_ALWAYS,2022,2021-12-31,2022-12-30,-0.637050395091,0.436818992279,2022-01-03,2022-10-12,2024-06-12,891,609,True,0.429623603751,2022-01-03,sma,common
UPRO_SMA_TO_SP500,1987,1986-12-31,1987-12-31,-0.550009909588,1.09392399154,1987-08-25,1987-10-19,1989-07-31,706,651,True,0.801945753863,1987-02-05,sma,common
UPRO_SMA_TO_SP500,2000_2002,1999-12-31,2002-12-31,-0.693616793635,0.348454226898,1999-12-31,2002-10-09,2013-03-11,4819,3806,True,0.320515374479,2013-05-03,sma,common
UPRO_SMA_TO_SP500,2007_2009,2006-12-29,2009-12-31,-0.693515188166,0.895929112305,2007-07-13,2009-03-09,2013-01-29,2027,1422,True,0.603601194732,2013-05-03,sma,common
UPRO_SMA_TO_SP500,2020,2019-12-31,2020-12-31,-0.557272556512,1.28290355899,2020-02-19,2020-03-23,2020-11-16,271,238,True,1.27183498623,2020-01-02,sma,common
UPRO_SMA_TO_SP500,2022,2021-12-31,2022-12-30,-0.440556011627,0.58187896664,2022-01-03,2022-10-12,2024-03-01,788,506,True,0.572294114984,2022-01-03,sma,common
UPRO_SMA_TO_TBILL,1987,1986-12-31,1987-12-31,-0.434232294923,1.18587922802,1987-08-25,1987-10-16,1989-07-19,694,642,True,0.908352496111,1987-02-17,sma,common
UPRO_SMA_TO_TBILL,2000_2002,1999-12-31,2002-12-31,-0.510567663565,0.495269960753,1999-12-31,2002-04-03,2007-07-13,2751,1927,True,0.429375227339,2010-03-17,sma,common
UPRO_SMA_TO_TBILL,2007_2009,2006-12-29,2009-12-31,-0.489157734507,1.26147664425,2007-07-13,2009-07-10,2009-11-16,857,129,True,0.887460949441,2010-03-17,sma,common
UPRO_SMA_TO_TBILL,2020,2019-12-31,2020-12-31,-0.449366924816,1.19406858654,2020-02-19,2020-06-11,2020-12-17,302,189,True,1.18376645982,2020-01-02,sma,common
UPRO_SMA_TO_TBILL,2022,2021-12-31,2022-12-30,-0.394425169332,0.618242039259,2022-01-03,2022-12-14,2024-03-20,807,462,True,0.60805820624,2022-01-03,sma,common
NASDAQ100_1X,1987,1986-12-31,1987-12-31,-0.399349868958,1.10498215303,1987-10-05,1987-10-26,1989-05-26,599,578,True,1.04111139455,1987-01-07,sma,common
NASDAQ100_1X,2000_2002,1999-12-31,2002-12-31,-0.828728190357,0.265965131699,2000-03-27,2002-10-07,2014-11-26,5357,4433,True,0.265965131699,2000-01-03,sma,common
NASDAQ100_1X,2007_2009,2006-12-29,2009-12-31,-0.534198516079,1.07713114479,2007-10-31,2008-11-20,2010-12-08,1134,748,True,0.408555624944,2014-11-26,sma,common
NASDAQ100_1X,2020,2019-12-31,2020-12-31,-0.279686169275,1.48877121448,2020-02-19,2020-03-20,2020-06-03,105,75,True,1.48118095178,2020-01-02,sma,common
NASDAQ100_1X,2022,2021-12-31,2022-12-30,-0.347805077118,0.676168725681,2022-01-03,2022-10-14,2023-12-12,708,424,True,0.666096830464,2023-12-12,sma,common
TQQQ_ALWAYS,1987,1986-12-31,1987-12-31,-0.837813522186,0.777999597927,1987-10-05,1987-12-04,1992-01-14,1562,1502,True,0.641819165789,1987-01-07,sma,common
TQQQ_ALWAYS,2000_2002,1999-12-31,2002-12-31,-0.999549764809,0.00122222279892,2000-03-27,2002-10-07,,,,False,0.00122222279892,2000-01-03,sma,common
TQQQ_ALWAYS,2007_2009,2006-12-29,2009-12-31,-0.950562617663,0.430518322446,2007-10-31,2009-03-09,2013-10-18,2179,1684,True,0.000905640168767,,sma,common
TQQQ_ALWAYS,2020,2019-12-31,2020-12-31,-0.698724694797,2.11233581649,2020-02-19,2020-03-20,2020-07-10,142,112,True,0.0826500382918,,sma,common
TQQQ_ALWAYS,2022,2021-12-31,2022-12-30,-0.807789092425,0.213013188134,2022-01-03,2022-12-28,2024-07-05,914,555,True,0.0322411062765,,sma,common
TQQQ_SMA_TO_NASDAQ,1987,1986-12-31,1987-12-31,-0.567839916078,1.30757572641,1987-10-05,1987-10-26,1991-04-02,1275,1254,True,1.19281330201,1987-01-08,sma,common
TQQQ_SMA_TO_NASDAQ,2000_2002,1999-12-31,2002-12-31,-0.974056028636,0.0457613118315,2000-03-27,2002-10-07,2020-02-04,7253,6329,True,0.0457613118315,2000-01-03,sma,common
TQQQ_SMA_TO_NASDAQ,2007_2009,2006-12-29,2009-12-31,-0.738778553644,1.27183836904,2007-10-31,2008-11-20,2012-03-19,1601,1215,True,0.05934689965,2020-02-04,sma,common
TQQQ_SMA_TO_NASDAQ,2020,2019-12-31,2020-12-31,-0.585534720948,2.22089573369,2020-02-19,2020-03-20,2020-07-08,140,110,True,1.87242652425,2020-02-04,sma,common
TQQQ_SMA_TO_NASDAQ,2022,2021-12-31,2022-12-30,-0.569957008938,0.455597040548,2022-01-03,2022-10-14,2023-12-13,709,425,True,0.426840320199,2023-12-18,sma,common
TQQQ_SMA_TO_TBILL,1987,1986-12-31,1987-12-31,-0.383231764204,1.43686175519,1987-10-05,1987-10-16,1991-04-02,1275,1264,True,1.375382047,1987-01-08,sma,common
TQQQ_SMA_TO_TBILL,2000_2002,1999-12-31,2002-12-31,-0.936505809927,0.10678076557,2000-03-27,2002-12-03,2018-07-13,6682,5701,True,0.10678076557,2000-01-03,sma,common
TQQQ_SMA_TO_TBILL,2007_2009,2006-12-29,2009-12-31,-0.631822281269,1.54507112704,2007-10-31,2009-05-22,2010-03-23,874,305,True,0.119901426483,2018-07-13,sma,common
TQQQ_SMA_TO_TBILL,2020,2019-12-31,2020-12-31,-0.549835054071,2.0493713645,2020-02-19,2020-03-11,2020-07-20,152,131,True,1.54997547556,2020-02-14,sma,common
TQQQ_SMA_TO_TBILL,2022,2021-12-31,2022-12-30,-0.458472896024,0.570562823099,2022-01-03,2022-04-05,2023-07-13,556,464,True,0.534549605091,2023-07-17,sma,common
SP500_1X,1987,1986-12-31,1987-12-31,-0.330641561406,1.04841093567,1987-08-25,1987-10-19,1989-05-17,631,576,True,0.926624654086,1987-01-22,sma,SP500_extended
SP500_1X,2000_2002,1999-12-31,2002-12-31,-0.474141187691,0.623914137963,2000-09-01,2002-10-09,2006-10-23,2243,1475,True,0.623914137963,2000-03-21,sma,SP500_extended
SP500_1X,2007_2009,2006-12-29,2009-12-31,-0.552502410697,0.84052645474,2007-10-09,2009-03-09,2012-04-02,1637,1120,True,0.835550136006,2007-01-12,sma,SP500_extended
SP500_1X,2020,2019-12-31,2020-12-31,-0.337904636519,1.18398831565,2020-02-19,2020-03-23,2020-08-10,173,140,True,1.18084232629,2020-01-02,sma,SP500_extended
SP500_1X,2022,2021-12-31,2022-12-30,-0.244916398001,0.818891111137,2022-01-03,2022-10-12,2023-12-13,709,427,True,0.814413199997,2022-01-03,sma,SP500_extended
SSO_ALWAYS,1987,1986-12-31,1987-12-31,-0.60802722656,0.888702970988,1987-08-25,1987-12-04,1991-04-17,1331,1230,True,0.680656072781,1987-02-04,sma,SP500_extended
SSO_ALWAYS,2000_2002,1999-12-31,2002-12-31,-0.789128896475,0.281643899488,2000-03-23,2002-10-09,2014-09-05,5279,4349,True,0.281643899488,2000-03-21,sma,SP500_extended
SSO_ALWAYS,2007_2009,2006-12-29,2009-12-31,-0.845311584565,0.480830701075,2007-10-09,2009-03-09,2013-10-22,2205,1688,True,0.308419836621,2014-09-05,sma,SP500_extended
SSO_ALWAYS,2020,2019-12-31,2020-12-31,-0.591543490715,1.21758687663,2020-02-19,2020-03-23,2020-09-02,196,163,True,1.21068088936,2020-01-02,sma,SP500_extended
SSO_ALWAYS,2022,2021-12-31,2022-12-30,-0.465873285265,0.613399930485,2022-01-03,2022-10-12,2024-02-22,780,498,True,0.606651894641,2022-01-03,sma,SP500_extended
SSO_SMA_TO_SP500,1987,1986-12-31,1987-12-31,-0.448819840058,1.0799225313,1987-08-25,1987-10-19,1989-07-19,694,639,True,0.861186340182,1987-02-05,sma,SP500_extended
SSO_SMA_TO_SP500,2000_2002,1999-12-31,2002-12-31,-0.595235590567,0.472658599361,2000-03-23,2002-10-09,2007-05-18,2612,1682,True,0.464315338804,2000-03-23,sma,SP500_extended
SSO_SMA_TO_SP500,2007_2009,2006-12-29,2009-12-31,-0.625548480047,0.878847436116,2007-07-13,2009-03-09,2012-09-13,1889,1284,True,0.777324088589,2007-05-18,sma,SP500_extended
SSO_SMA_TO_SP500,2020,2019-12-31,2020-12-31,-0.456749412221,1.24798260952,2020-02-19,2020-03-23,2020-09-01,195,162,True,1.24090422179,2020-01-02,sma,SP500_extended
SSO_SMA_TO_SP500,2022,2021-12-31,2022-12-30,-0.348488317857,0.692029803681,2022-01-03,2022-10-12,2024-02-07,765,483,True,0.684416757626,2022-01-03,sma,SP500_extended
SSO_SMA_TO_TBILL,1987,1986-12-31,1987-12-31,-0.307007107893,1.17070080521,1987-08-25,1987-10-16,1989-05-22,636,584,True,0.969402033786,1987-02-17,sma,SP500_extended
SSO_SMA_TO_TBILL,2000_2002,1999-12-31,2002-12-31,-0.336112508432,0.671805901279,1999-12-31,2002-04-03,2004-01-21,1482,658,True,0.622015416516,2007-04-20,sma,SP500_extended
SSO_SMA_TO_TBILL,2007_2009,2006-12-29,2009-12-31,-0.342123362247,1.23742548299,2007-07-13,2009-07-10,2009-10-14,824,96,True,1.15273961939,2007-04-20,sma,SP500_extended
SSO_SMA_TO_TBILL,2020,2019-12-31,2020-12-31,-0.321711140057,1.1615657468,2020-02-19,2020-03-05,2020-12-01,286,271,True,1.15497750377,2020-01-02,sma,SP500_extended
SSO_SMA_TO_TBILL,2022,2021-12-31,2022-12-30,-0.275286386575,0.735276477729,2022-01-03,2022-12-14,2024-02-22,780,435,True,0.727187673377,2022-01-03,sma,SP500_extended
UPRO_ALWAYS,1987,1986-12-31,1987-12-31,-0.80656322202,0.626714548474,1987-08-25,1987-12-04,1994-01-28,2348,2247,True,0.402484352987,1987-02-17,sma,SP500_extended
UPRO_ALWAYS,2000_2002,1999-12-31,2002-12-31,-0.924559720435,0.110782911126,2000-03-23,2002-10-09,2018-08-29,6733,5803,True,0.110782911126,2000-03-23,sma,SP500_extended
UPRO_ALWAYS,2007_2009,2006-12-29,2009-12-31,-0.957218632719,0.213609687437,2007-07-13,2009-03-09,2015-05-18,2866,2261,True,0.0726977349743,2018-08-29,sma,SP500_extended
UPRO_ALWAYS,2020,2019-12-31,2020-12-31,-0.766830123294,1.10660051656,2020-02-19,2020-03-23,2021-01-07,323,290,True,1.09705304259,2020-01-02,sma,SP500_extended
UPRO_ALWAYS,2022,2021-12-31,2022-12-30,-0.637050395091,0.436818992279,2022-01-03,2022-10-12,2024-06-12,891,609,True,0.429623603751,2022-01-03,sma,SP500_extended
