series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,start,end,sessions,reserve_cagr,no_reserve_total_return,no_reserve_cagr,cumulative_log_growth_foregone,transferred_to_reserve,fraction_positive_portfolio_gains_transferred,new_hwm_gains_recognized,next_named_stress,next_stress_3y_post_drawdown_relative_growth_benefit,next_stress_3y_carried_opportunity_cost,next_stress_3y_payback_ratio
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1987-01-08,1987-10-16,196,0.226360357642,0.169976405348,0.226360357642,0,0,0,0.777757854478,1987,2.22044604925e-16,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1988-06-01,1990-01-22,415,0.272514282983,0.485697720179,0.272514282983,0,0,0,0.229636627301,2000_2002,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1990-05-04,1990-08-06,64,-0.242563976192,-0.0690020605157,-0.242563976192,0,0,0,0,2000_2002,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1991-01-18,1991-11-22,215,0.41769578911,0.342219751806,0.41769578911,0,0,0,0,2000_2002,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1991-12-02,1992-10-05,213,0.217856518908,0.180808908355,0.217856518908,0,0,0,0.270761765515,2000_2002,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1992-10-13,1994-03-29,369,0.206700309746,0.314778366171,0.206700309746,0,0,0,1.03829517197,2000_2002,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1994-12-14,1996-07-23,405,0.662845079842,1.2643052715,0.662845079842,0,0,0,4.46722487728,2000_2002,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1996-07-25,1998-08-27,528,0.761675750256,2.26388225322,0.761675750256,0,0,0,23.0188676083,2000_2002,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1998-10-28,1999-09-23,227,0.527565497564,0.466365235256,0.527565497564,0,0,0,10.4050071348,2000_2002,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1999-10-28,2000-02-18,78,-0.1555164935,-0.0509502332653,-0.1555164935,0,0,0,0,2000_2002,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2000-05-30,2000-09-25,82,-0.067966635216,-0.0224829709302,-0.067966635216,0,0,0,0,2000_2002,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2003-04-14,2004-07-21,319,0.585402373898,0.795766121155,0.585402373898,0,0,0,0,2007_2009,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2004-10-27,2005-04-15,117,0.0580347034395,0.0266043683626,0.0580347034395,0,0,0,0,2007_2009,0,0,
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2005-04-29,2005-10-10,113,0.124822840216,0.054234337095,0.124822840216,0,0,0,0,2007_2009,0,0,
