series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,horizon_years,cohorts,min_terminal_multiple,median_terminal_multiple,min_cagr,median_cagr,cohort_kind
SP500_1X,UPRO,LAG1,10,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG1,10,none,0,0,none,20,240,0.5231734517,3.262170035,-0.03187310567,0.06090215039,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG1,10,none,0,0,none,30,120,9.375569906,33.73584136,0.07745327156,0.1244216884,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG1,10,none,0,0,none,20,240,2.422792726,9.761594616,0.0452331688,0.1206655542,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG1,10,none,0,0,none,30,120,29.14182949,48.59645275,0.1189611279,0.1381906724,inherited_policy_state
NO_RESERVE,UPRO,LAG1,25,staged,0.15,0.1,rule,20,240,2.058159501,9.240025723,0.03674977888,0.1175757595,inherited_policy_state
NO_RESERVE,UPRO,LAG1,25,staged,0.15,0.1,rule,30,120,32.00477284,57.66869242,0.1224617114,0.1446944516,inherited_policy_state
FIXED_90_10,UPRO,LAG1,25,staged,0.15,0.1,quarterly,20,240,2.212835829,8.651298006,0.04051287817,0.1139036668,inherited_policy_state
FIXED_90_10,UPRO,LAG1,25,staged,0.15,0.1,quarterly,30,120,28.8930467,49.0244767,0.1186414034,0.1385165981,inherited_policy_state
FIXED_85_15,UPRO,LAG1,25,staged,0.15,0.1,quarterly,20,240,2.271413261,8.325473986,0.04187305843,0.1117679473,inherited_policy_state
FIXED_85_15,UPRO,LAG1,25,staged,0.15,0.1,quarterly,30,120,27.11211967,44.62129704,0.1162717551,0.1349512085,inherited_policy_state
HWM_RESERVE,UPRO,LAG1,25,staged,0.15,0.1,rule,20,240,2.069561637,9.114921879,0.03703620386,0.1168142985,inherited_policy_state
HWM_RESERVE,UPRO,LAG1,25,staged,0.15,0.1,rule,30,120,32.34523284,57.42993607,0.1228576781,0.1445371605,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,25,staged,0.2,0.1,rule,20,240,2.038481457,8.545583025,0.03625189621,0.1132107368,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,25,staged,0.2,0.1,rule,30,120,30.2864059,51.60708335,0.1203756518,0.1404800499,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG1,25,drawdown,0.15,0.1,rule,20,240,2.61276506,9.783434081,0.04919211478,0.1207900654,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG1,25,drawdown,0.15,0.1,rule,30,120,33.92711248,59.01027385,0.1246461531,0.1455678008,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG1,25,drawdown,0.2,0.1,rule,20,240,2.369855892,9.610197113,0.04408557804,0.1197900414,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG1,25,drawdown,0.2,0.1,rule,30,120,32.34308472,54.40786622,0.1228551924,0.1424907256,inherited_policy_state
SP500_1X,UPRO,LAG1,25,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,UPRO,LAG1,25,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG1,25,none,0,0,none,20,240,0.5231734517,3.262170035,-0.03187310567,0.06090215039,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG1,25,none,0,0,none,30,120,9.375569906,33.73584136,0.07745327156,0.1244216884,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG1,25,none,0,0,none,20,240,1.916519215,7.797338188,0.03305566942,0.1081468495,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG1,25,none,0,0,none,30,120,21.41593895,35.2390804,0.1075309718,0.1260693282,inherited_policy_state
