series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,horizon_years,cohorts,min_terminal_multiple,median_terminal_multiple,min_cagr,median_cagr,cohort_kind
SSO_SMA_TO_TBILL,SSO,LAG1,0,none,0,0,none,30,120,20.71529526,29.00139261,0.1063037102,0.1187808743,inherited_policy_state
NO_RESERVE,SSO,LAG1,10,staged,0.15,0.1,rule,20,240,2.51605083,7.907117123,0.04721528029,0.1089210221,inherited_policy_state
NO_RESERVE,SSO,LAG1,10,staged,0.15,0.1,rule,30,120,25.15028126,39.0147715,0.11348054,0.1298834081,inherited_policy_state
FIXED_90_10,SSO,LAG1,10,staged,0.15,0.1,quarterly,20,240,2.507741339,7.207923326,0.04704208214,0.1038002097,inherited_policy_state
FIXED_90_10,SSO,LAG1,10,staged,0.15,0.1,quarterly,30,120,21.64526241,31.78769927,0.1079242396,0.1221952128,inherited_policy_state
FIXED_85_15,SSO,LAG1,10,staged,0.15,0.1,quarterly,20,240,2.491263003,6.818788294,0.04669699883,0.1007410522,inherited_policy_state
FIXED_85_15,SSO,LAG1,10,staged,0.15,0.1,quarterly,30,120,19.9522185,28.47245329,0.1049205795,0.1180833215,inherited_policy_state
HWM_RESERVE,SSO,LAG1,10,staged,0.15,0.1,rule,20,240,2.496001602,7.783428679,0.04679645443,0.1080469138,inherited_policy_state
HWM_RESERVE,SSO,LAG1,10,staged,0.15,0.1,rule,30,120,24.82689198,38.21553919,0.1130003226,0.1291043609,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,10,staged,0.2,0.1,rule,20,240,2.490443611,7.477863718,0.04667978286,0.1058311279,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,10,staged,0.2,0.1,rule,30,120,23.70516262,35.13658776,0.111286419,0.125947791,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG1,10,drawdown,0.15,0.1,rule,20,240,2.824645861,7.860183602,0.05329058041,0.1085760663,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG1,10,drawdown,0.15,0.1,rule,30,120,24.47632149,37.14350701,0.1124728635,0.1280527871,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG1,10,drawdown,0.2,0.1,rule,20,240,2.763478049,8.081440203,0.0521382294,0.1101315308,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG1,10,drawdown,0.2,0.1,rule,30,120,24.7605658,36.40524303,0.1129010845,0.1272796722,inherited_policy_state
SP500_1X,SSO,LAG1,10,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,SSO,LAG1,10,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
SSO_ALWAYS,SSO,LAG1,10,none,0,0,none,20,240,1.584424368,5.642300758,0.02327785523,0.09036078653,inherited_policy_state
SSO_ALWAYS,SSO,LAG1,10,none,0,0,none,30,120,17.944103,37.4211359,0.1010207013,0.128313937,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG1,10,none,0,0,none,20,240,2.410335535,6.512001176,0.04497012678,0.09820980891,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG1,10,none,0,0,none,30,120,16.87392887,23.59834273,0.09876632475,0.1111137966,inherited_policy_state
NO_RESERVE,SSO,LAG1,25,staged,0.15,0.1,rule,20,240,2.005299505,6.383296647,0.03540191131,0.09710128118,inherited_policy_state
NO_RESERVE,SSO,LAG1,25,staged,0.15,0.1,rule,30,120,18.5661094,28.52682016,0.1022719787,0.1181485115,inherited_policy_state
FIXED_90_10,SSO,LAG1,25,staged,0.15,0.1,quarterly,20,240,2.044983871,5.90546853,0.03641691981,0.0928538048,inherited_policy_state
FIXED_90_10,SSO,LAG1,25,staged,0.15,0.1,quarterly,30,120,16.47269692,24.01628001,0.09788530699,0.1117533484,inherited_policy_state
FIXED_85_15,SSO,LAG1,25,staged,0.15,0.1,quarterly,20,240,2.054876944,5.65376062,0.03666704062,0.09046477421,inherited_policy_state
FIXED_85_15,SSO,LAG1,25,staged,0.15,0.1,quarterly,30,120,15.41673638,21.88919476,0.09546357451,0.108318531,inherited_policy_state
HWM_RESERVE,SSO,LAG1,25,staged,0.15,0.1,rule,20,240,2.001930531,6.287085446,0.03531486622,0.09626843781,inherited_policy_state
HWM_RESERVE,SSO,LAG1,25,staged,0.15,0.1,rule,30,120,18.47128916,28.14906757,0.1020838729,0.117657571,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,25,staged,0.2,0.1,rule,20,240,1.987892995,6.044834607,0.03495067032,0.09413010375,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,25,staged,0.2,0.1,rule,30,120,17.51586824,25.74769352,0.1001346186,0.114335584,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG1,25,drawdown,0.15,0.1,rule,20,240,2.277822492,6.461458069,0.04201985407,0.09777846388,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG1,25,drawdown,0.15,0.1,rule,30,120,18.51659871,27.97004178,0.1021738748,0.1174197993,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG1,25,drawdown,0.2,0.1,rule,20,240,2.233389755,6.590539173,0.04099399907,0.09885477753,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG1,25,drawdown,0.2,0.1,rule,30,120,18.6746449,27.33311743,0.1024861565,0.1165513819,inherited_policy_state
SP500_1X,SSO,LAG1,25,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,SSO,LAG1,25,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
SSO_ALWAYS,SSO,LAG1,25,none,0,0,none,20,240,1.584424368,5.642300758,0.02327785523,0.09036078653,inherited_policy_state
SSO_ALWAYS,SSO,LAG1,25,none,0,0,none,30,120,17.944103,37.4211359,0.1010207013,0.128313937,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG1,25,none,0,0,none,20,240,1.909451424,5.244354372,0.03286487454,0.08638654397,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG1,25,none,0,0,none,30,120,12.40042361,17.34810293,0.08754245805,0.09977686209,inherited_policy_state
NO_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,20,240,1.372827218,4.467497499,0.01596978935,0.07771271231,inherited_policy_state
NO_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,30,120,11.18346892,16.86844482,0.08380451608,0.09874402142,inherited_policy_state
FIXED_90_10,SSO,LAG1,50,staged,0.15,0.1,quarterly,20,240,1.454692627,4.277248815,0.01891642203,0.07536540315,inherited_policy_state
FIXED_90_10,SSO,LAG1,50,staged,0.15,0.1,quarterly,30,120,10.44114102,15.0458344,0.08132617522,0.09455216668,inherited_policy_state
FIXED_85_15,SSO,LAG1,50,staged,0.15,0.1,quarterly,20,240,1.489917392,4.17323127,0.02013608376,0.07404753871,inherited_policy_state
FIXED_85_15,SSO,LAG1,50,staged,0.15,0.1,quarterly,30,120,10.02338955,14.13036815,0.0798554665,0.0922641001,inherited_policy_state
HWM_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,20,240,1.377655708,4.433878695,0.01614815931,0.07730610844,inherited_policy_state
HWM_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,30,120,11.21301687,16.79675588,0.08389984104,0.09858836136,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,50,staged,0.2,0.1,rule,20,240,1.364367231,4.237477949,0.01565582588,0.0748579436,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,50,staged,0.2,0.1,rule,30,120,10.56779259,15.39541773,0.08176083027,0.09539022707,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG1,50,drawdown,0.15,0.1,rule,20,240,1.593779446,4.638499042,0.02357910341,0.07973918194,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG1,50,drawdown,0.15,0.1,rule,30,120,11.65375352,17.38742412,0.0852935923,0.09985943899,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG1,50,drawdown,0.2,0.1,rule,20,240,1.564879652,4.712834234,0.02264299346,0.08059726732,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG1,50,drawdown,0.2,0.1,rule,30,120,11.64041666,16.79695288,0.08525217,0.09857531973,inherited_policy_state
SP500_1X,SSO,LAG1,50,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,SSO,LAG1,50,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
SSO_ALWAYS,SSO,LAG1,50,none,0,0,none,20,240,1.584424368,5.642300758,0.02327785523,0.09036078653,inherited_policy_state
SSO_ALWAYS,SSO,LAG1,50,none,0,0,none,30,120,17.944103,37.4211359,0.1010207013,0.128313937,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG1,50,none,0,0,none,20,240,1.290910493,3.646342963,0.01284747001,0.06681007636,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG1,50,none,0,0,none,30,120,7.164867792,10.30078205,0.06783865666,0.08083457867,inherited_policy_state
NO_RESERVE,SSO,LAG2,0,staged,0.15,0.1,rule,20,240,4.179811725,10.97021535,0.07413244751,0.1272161392,inherited_policy_state
NO_RESERVE,SSO,LAG2,0,staged,0.15,0.1,rule,30,120,34.57673707,59.43268159,0.1253573709,0.1458669051,inherited_policy_state
FIXED_90_10,SSO,LAG2,0,staged,0.15,0.1,quarterly,20,240,3.94886889,9.633491319,0.0710842563,0.1199111081,inherited_policy_state
FIXED_90_10,SSO,LAG2,0,staged,0.15,0.1,quarterly,30,120,28.97746214,46.46715457,0.1187501877,0.1365075609,inherited_policy_state
FIXED_85_15,SSO,LAG2,0,staged,0.15,0.1,quarterly,20,240,3.820548244,8.962357155,0.06931653985,0.1158725226,inherited_policy_state
FIXED_85_15,SSO,LAG2,0,staged,0.15,0.1,quarterly,30,120,26.34380502,40.73767779,0.1152026412,0.1315375383,inherited_policy_state
HWM_RESERVE,SSO,LAG2,0,staged,0.15,0.1,rule,20,240,4.150188652,10.82916308,0.07375053179,0.1264962346,inherited_policy_state
HWM_RESERVE,SSO,LAG2,0,staged,0.15,0.1,rule,30,120,34.23351394,58.015554,0.1249832308,0.1449525303,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,0,staged,0.2,0.1,rule,20,240,4.032228437,10.22097377,0.07220358849,0.123245186,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,0,staged,0.2,0.1,rule,30,120,32.40529028,52.65660496,0.1229271086,0.1412454952,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG2,0,drawdown,0.15,0.1,rule,20,240,4.560769381,10.69958611,0.07882724477,0.1257999438,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG2,0,drawdown,0.15,0.1,rule,30,120,33.28230659,55.23505355,0.1239270716,0.1430725973,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG2,0,drawdown,0.2,0.1,rule,20,240,4.389013729,10.75789913,0.07675859464,0.1261060722,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG2,0,drawdown,0.2,0.1,rule,30,120,33.07713715,53.6102641,0.1236954422,0.1419286285,inherited_policy_state
SP500_1X,SSO,LAG2,0,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,SSO,LAG2,0,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
SSO_ALWAYS,SSO,LAG2,0,none,0,0,none,20,240,1.584424368,5.642300758,0.02327785523,0.09036078653,inherited_policy_state
SSO_ALWAYS,SSO,LAG2,0,none,0,0,none,30,120,17.944103,37.4211359,0.1010207013,0.128313937,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG2,0,none,0,0,none,20,240,4.397008997,10.77398343,0.07684567012,0.1261992932,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG2,0,none,0,0,none,30,120,29.88406874,47.169244,0.1198764344,0.1370536882,inherited_policy_state
NO_RESERVE,SSO,LAG2,10,staged,0.15,0.1,rule,20,240,3.593729975,9.504027662,0.06604925772,0.1191594876,inherited_policy_state
NO_RESERVE,SSO,LAG2,10,staged,0.15,0.1,rule,30,120,28.24962122,48.32796914,0.1178019958,0.1379871684,inherited_policy_state
FIXED_90_10,SSO,LAG2,10,staged,0.15,0.1,quarterly,20,240,3.44691198,8.442673815,0.06382822753,0.1125448026,inherited_policy_state
FIXED_90_10,SSO,LAG2,10,staged,0.15,0.1,quarterly,30,120,24.15731075,38.49239549,0.1119865031,0.1293947599,inherited_policy_state
FIXED_85_15,SSO,LAG2,10,staged,0.15,0.1,quarterly,20,240,3.360182507,7.923552373,0.06247358943,0.1090208394,inherited_policy_state
FIXED_85_15,SSO,LAG2,10,staged,0.15,0.1,quarterly,30,120,22.18411344,34.13557692,0.1088326923,0.1248818363,inherited_policy_state
HWM_RESERVE,SSO,LAG2,10,staged,0.15,0.1,rule,20,240,3.568042585,9.382856789,0.06566696088,0.1184498918,inherited_policy_state
HWM_RESERVE,SSO,LAG2,10,staged,0.15,0.1,rule,30,120,27.98479903,47.22443751,0.11745113,0.1371246667,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,10,staged,0.2,0.1,rule,20,240,3.469508509,8.838643535,0.06417584721,0.115113508,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,10,staged,0.2,0.1,rule,30,120,26.49187811,42.89816026,0.1154110103,0.1334884361,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG2,10,drawdown,0.15,0.1,rule,20,240,3.944788566,9.398945233,0.07102889212,0.1185287869,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG2,10,drawdown,0.15,0.1,rule,30,120,27.5627694,45.59813728,0.1168852899,0.1357838194,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG2,10,drawdown,0.2,0.1,rule,20,240,3.808417529,9.380635051,0.06914652265,0.118420024,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG2,10,drawdown,0.2,0.1,rule,30,120,27.42025231,44.08397561,0.1166923157,0.1345061548,inherited_policy_state
SP500_1X,SSO,LAG2,10,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,SSO,LAG2,10,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
SSO_ALWAYS,SSO,LAG2,10,none,0,0,none,20,240,1.584424368,5.642300758,0.02327785523,0.09036078653,inherited_policy_state
SSO_ALWAYS,SSO,LAG2,10,none,0,0,none,30,120,17.944103,37.4211359,0.1010207013,0.128313937,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG2,10,none,0,0,none,20,240,3.761607845,9.314919148,0.06847591799,0.118044135,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG2,10,none,0,0,none,30,120,24.26952507,38.36488116,0.1121367143,0.1292510182,inherited_policy_state
NO_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,20,240,2.864212779,7.626212325,0.05402342743,0.1069174449,inherited_policy_state
NO_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,30,120,20.85406332,35.27619491,0.1065499337,0.1261088248,inherited_policy_state
FIXED_90_10,SSO,LAG2,25,staged,0.15,0.1,quarterly,20,240,2.810396535,6.925367748,0.05302426803,0.1015807304,inherited_policy_state
FIXED_90_10,SSO,LAG2,25,staged,0.15,0.1,quarterly,30,120,18.3822558,29.1105368,0.1019063955,0.118926792,inherited_policy_state
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,20,240,2.770964284,6.601879763,0.05228055795,0.0989489215,inherited_policy_state
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,30,120,17.13839567,26.26288325,0.09933603026,0.115093813,inherited_policy_state
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,20,240,2.842566821,7.515764677,0.0536237076,0.1061102985,inherited_policy_state
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,30,120,20.67455566,34.5101376,0.106231121,0.1252970165,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,20,240,2.768419827,7.081971797,0.05223222367,0.1028211039,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,30,120,19.57483948,31.55222029,0.1042175424,0.1219375125,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG2,25,drawdown,0.15,0.1,rule,20,240,3.163858488,7.672321544,0.05928019502,0.1072361824,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG2,25,drawdown,0.15,0.1,rule,30,120,20.70231615,34.01265747,0.1062805993,0.1247405164,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG2,25,drawdown,0.2,0.1,rule,20,240,3.077431086,7.695689433,0.05781425886,0.1073962263,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG2,25,drawdown,0.2,0.1,rule,30,120,20.68859536,33.08300174,0.1062561524,0.1237140064,inherited_policy_state
SP500_1X,SSO,LAG2,25,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,SSO,LAG2,25,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
SSO_ALWAYS,SSO,LAG2,25,none,0,0,none,20,240,1.584424368,5.642300758,0.02327785523,0.09036078653,inherited_policy_state
SSO_ALWAYS,SSO,LAG2,25,none,0,0,none,30,120,17.944103,37.4211359,0.1010207013,0.128313937,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG2,25,none,0,0,none,20,240,2.9755718,7.50773748,0.05602762872,0.1060365022,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG2,25,none,0,0,none,30,120,17.75512905,28.07643055,0.1006129758,0.1175669908,inherited_policy_state
NO_RESERVE,SSO,LAG2,50,staged,0.15,0.1,rule,20,240,1.960838893,5.306473947,0.03424182228,0.08702656036,inherited_policy_state
NO_RESERVE,SSO,LAG2,50,staged,0.15,0.1,rule,30,120,12.56163928,21.01609813,0.08801079828,0.1068405597,inherited_policy_state
FIXED_90_10,SSO,LAG2,50,staged,0.15,0.1,quarterly,20,240,1.998629673,5.01586054,0.035229446,0.08395748659,inherited_policy_state
FIXED_90_10,SSO,LAG2,50,staged,0.15,0.1,quarterly,30,120,11.64919043,18.18018385,0.0852794252,0.1015052948,inherited_policy_state
FIXED_85_15,SSO,LAG2,50,staged,0.15,0.1,quarterly,20,240,2.008367356,4.871425182,0.0354810554,0.0823755491,inherited_policy_state
FIXED_85_15,SSO,LAG2,50,staged,0.15,0.1,quarterly,30,120,11.1396112,16.81393526,0.08366257634,0.09863588778,inherited_policy_state
HWM_RESERVE,SSO,LAG2,50,staged,0.15,0.1,rule,20,240,1.964818096,5.265900219,0.03434666251,0.08659602986,inherited_policy_state
HWM_RESERVE,SSO,LAG2,50,staged,0.15,0.1,rule,30,120,12.60012795,20.7711461,0.08812175058,0.1064030005,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,50,staged,0.2,0.1,rule,20,240,1.898964639,4.960616847,0.03258507602,0.08335774813,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,50,staged,0.2,0.1,rule,30,120,11.80990681,18.70634621,0.08577520099,0.102543255,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG2,50,drawdown,0.15,0.1,rule,20,240,2.204139667,5.45149364,0.04030804141,0.08849298062,inherited_policy_state
HWM_DRAWDOWN,SSO,LAG2,50,drawdown,0.15,0.1,rule,30,120,12.92125324,21.14974313,0.08903489999,0.1070744724,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG2,50,drawdown,0.2,0.1,rule,20,240,2.155753119,5.52301484,0.03915408969,0.08920294186,inherited_policy_state
BAND_DRAWDOWN,SSO,LAG2,50,drawdown,0.2,0.1,rule,30,120,12.92447172,20.35302157,0.08904394054,0.1056532939,inherited_policy_state
SP500_1X,SSO,LAG2,50,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,SSO,LAG2,50,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
SSO_ALWAYS,SSO,LAG2,50,none,0,0,none,20,240,1.584424368,5.642300758,0.02327785523,0.09036078653,inherited_policy_state
SSO_ALWAYS,SSO,LAG2,50,none,0,0,none,30,120,17.944103,37.4211359,0.1010207013,0.128313937,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG2,50,none,0,0,none,20,240,2.01167561,5.21246987,0.03556131917,0.08604975231,inherited_policy_state
SSO_SMA_TO_TBILL,SSO,LAG2,50,none,0,0,none,30,120,10.53514511,16.67292809,0.08163377946,0.09832750633,inherited_policy_state
