series,lag,event,first_below_sma_signal_close,already_below_at_episode_start,first_deleveraging_execution_close,first_deleveraged_return_end,value_at_first_signal,decline_before_signal,lowest_value_after_first_signal,leverage_resumed_execution_close,switch_count,whipsaw_reversal_switches_within_10_sessions,episode_end_value,episode_min_value,episode_max_drawdown,eventual_recovery_date,episode_end_wealth_difference_vs_lag1,additional_episode_drawdown_vs_lag1
SSO_SMA_TO_TBILL,LAG2,2007_2009,2007-08-03,False,2007-08-06,2007-08-07,0.992037968193,0.152202628299,0.673189428591,2007-08-07,18,13,1.08212056438,0.673189428591,-0.424691144376,2010-03-16,-0.155304918607,0.0825677821289
SSO_SMA_TO_TBILL,LAG2,2020,2020-02-27,False,2020-02-28,2020-03-02,0.845989745975,0.229402988487,0.832257958609,2020-03-03,6,4,1.32083618505,0.832257958609,-0.241911029344,2020-08-24,0.159270438246,-0.0798001107134
SSO_SMA_TO_TBILL,LAG2,2022,2022-01-21,False,2022-01-24,2022-01-25,0.850430764198,0.160184465947,0.67239295732,2022-01-25,15,10,0.673597974084,0.67239295732,-0.335999972817,2024-06-12,-0.0616785036451,0.0607135862414
UPRO_ALWAYS,LAG1,1987,1987-10-16,True,,,1.39425561878,0.434232294923,0.476697966599,,0,0,0.626714548474,0.476697966599,-0.80656322202,1994-01-28,0,0
UPRO_ALWAYS,LAG1,2000_2002,2000-02-18,False,,,0.741325448743,0.258674551257,0.0793772635536,,0,0,0.110782911126,0.0793772635536,-0.924559720435,2018-08-29,0,0
UPRO_ALWAYS,LAG1,2007_2009,2007-08-03,False,,,0.959286682985,0.223584623073,0.0528577835162,,0,0,0.213609687437,0.0528577835162,-0.957218632719,2015-05-18,0,0
UPRO_ALWAYS,LAG1,2020,2020-02-27,False,,,0.769913821569,0.328382311685,0.267295983969,,0,0,1.10660051656,0.267295983969,-0.766830123294,2021-01-07,0,0
UPRO_ALWAYS,LAG1,2022,2022-01-21,False,,,0.782287553741,0.232276386877,0.369834864659,,0,0,0.436818992279,0.369834864659,-0.637050395091,2024-06-12,0,0
UPRO_ALWAYS,LAG2,1987,1987-10-16,True,,,1.39425561878,0.434232294923,0.476697966599,,0,0,0.626714548474,0.476697966599,-0.80656322202,1994-01-28,0,0
UPRO_ALWAYS,LAG2,2000_2002,2000-02-18,False,,,0.741325448743,0.258674551257,0.0793772635536,,0,0,0.110782911126,0.0793772635536,-0.924559720435,2018-08-29,0,0
