frontier,basis,variant,cell,family,regime,maturity_months,roll_months,moneyness,premium_budget,cagr_p50,cagr_p5,median_max_drawdown,prob_drawdown_worse_than_60,mean_delta_exposure,option_turnover_per_year,theta_burden_per_year,vega_per_nav,mean_entry_years,cagr_per_volatility_point,on_growth_frontier,on_robust_frontier,on_frontier
SPX fixed budget,fixed,SPX_80_35_18M_R12,SPX_80_35,SPX,18m/12m,18,12,0.8,0.35,0.1440238226,0.07492802206,-0.4736933597,0.1084,1.32839865,0.3594142152,-0.02435257445,0.2188884171,1.491594464,0.003933170023,True,False,True
SPX fixed budget,fixed,SPX_80_35_24M_R6,SPX_80_35,SPX,24m/6m,24,6,0.8,0.35,0.131493503,0.06957295372,-0.4415346747,0.0592,1.218233004,0.6925298293,-0.02236359802,0.3718681583,2.000433204,0.004491534124,False,False,False
SPX fixed budget,fixed,SPX_80_35_24M_R12,SPX_80_35,SPX,24m/12m,24,12,0.8,0.35,0.1390796082,0.07471026331,-0.4470021168,0.0582,1.233599765,0.3506480148,-0.02010920806,0.2907094525,2.004928131,0.004242688552,False,False,False
SPX fixed budget,fixed,SPX_80_35_30M_R12,SPX_80_35,SPX,30m/12m,30,12,0.8,0.35,0.1348459464,0.07458786627,-0.4260983077,0.0378,1.161715047,0.3506480148,-0.01920736676,0.3831437978,2.490759754,0.004263301049,False,False,False
SPX fixed budget,fixed,SPX_80_35_30M_R18,SPX_80_35,SPX,30m/18m,30,18,0.8,0.35,0.1370852349,0.07504973916,-0.435484389,0.0448,1.176186909,0.23668741,-0.01523308205,0.2867237088,2.489010571,0.004187116044,True,False,True
SPX fixed budget,fixed,SPX_85_25_15M_R6,SPX_85_25,SPX,15m/6m,15,6,0.85,0.25,0.1264761599,0.06697035227,-0.4124241895,0.0356,1.117472546,0.5009257354,-0.03041836426,0.2708989437,1.24705681,0.005438460329,False,False,False
SPX fixed budget,fixed,SPX_85_25_15M_R12,SPX_85_25,SPX,15m/12m,15,12,0.85,0.25,0.1332402866,0.07050332563,-0.4290789167,0.0484,1.146747316,0.2504628677,-0.0276388453,0.1847399608,1.248596851,0.004536691609,False,False,False
SPX fixed budget,fixed,SPX_85_25_18M_R6,SPX_85_25,SPX,18m/6m,18,6,0.85,0.25,0.1228566679,0.06659209488,-0.3980456401,0.026,1.056901313,0.5071873071,-0.02874699823,0.3241940665,1.495880549,0.005067448557,False,False,False
SPX fixed budget,fixed,SPX_85_25_18M_R12,SPX_85_25,SPX,18m/12m,18,12,0.85,0.25,0.1295819495,0.07025896573,-0.4090462845,0.0308,1.085025369,0.2567244394,-0.0273629685,0.248933105,1.491594464,0.004794458932,False,False,False
SPX fixed budget,fixed,SPX_85_25_24M_R6,SPX_85_25,SPX,24m/6m,24,6,0.85,0.25,0.1180966094,0.06594597345,-0.3769519872,0.0126,0.9645302965,0.4946641638,-0.02387773244,0.395632704,2.000433204,0.00456767174,False,False,False
SPX fixed budget,fixed,SPX_85_25_24M_R12,SPX_85_25,SPX,24m/12m,24,12,0.85,0.25,0.1247530264,0.07041085236,-0.385182402,0.014,0.987977867,0.2504628677,-0.02215271055,0.3152840687,2.004928131,0.004491390471,False,False,False
SPX fixed budget,fixed,SPX_85_25_30M_R12,SPX_85_25,SPX,30m/12m,30,12,0.85,0.25,0.1206315017,0.06928691478,-0.3657188114,0.0082,0.9185186446,0.2504628677,-0.01993281435,0.3901643602,2.490759754,0.004299986335,False,False,False
SPX fixed budget,fixed,SPX_85_25_30M_R18,SPX_85_25,SPX,30m/18m,30,18,0.85,0.25,0.1227433172,0.06996842123,-0.3759459158,0.0094,0.9381261197,0.1690624357,-0.01696708042,0.3042712985,2.489010571,0.004351512409,False,False,False
SPX fixed budget,fixed,SPX_85_30_15M_R6,SPX_85_30,SPX,15m/6m,15,6,0.85,0.3,0.1364631069,0.06856892858,-0.4664219049,0.0986,1.335374728,0.6011108825,-0.03660140516,0.3257675206,1.24705681,0.006414269317,False,False,False
SPX fixed budget,fixed,SPX_85_30_15M_R12,SPX_85_30,SPX,15m/12m,15,12,0.85,0.3,0.1436417797,0.07121733419,-0.4838413694,0.1288,1.364803506,0.3005554413,-0.0335418299,0.2230435351,1.248596851,0.005335610569,False,False,False
SPX fixed budget,fixed,SPX_85_30_18M_R6,SPX_85_30,SPX,18m/6m,18,6,0.85,0.3,0.1328004191,0.06769399399,-0.448717578,0.0714,1.263297301,0.6086247686,-0.03455891651,0.3895039473,1.495880549,0.005998169546,False,False,False
SPX fixed budget,fixed,SPX_85_30_18M_R12,SPX_85_30,SPX,18m/12m,18,12,0.85,0.3,0.1403809658,0.07212006188,-0.4595457939,0.088,1.291608837,0.3080693273,-0.03312643929,0.3004527954,1.491594464,0.005634618216,False,False,False
SPX fixed budget,fixed,SPX_85_30_24M_R6,SPX_85_30,SPX,24m/6m,24,6,0.85,0.3,0.1277956419,0.06792515677,-0.4205870063,0.0392,1.152803606,0.5935969965,-0.02867454227,0.474871026,2.000433204,0.005397409232,False,False,False
SPX fixed budget,fixed,SPX_85_30_24M_R12,SPX_85_30,SPX,24m/12m,24,12,0.85,0.3,0.1348371042,0.07277480346,-0.430445584,0.0396,1.176290443,0.3005554413,-0.02658355587,0.378241554,2.004928131,0.005277367564,False,False,False
SPX fixed budget,fixed,SPX_85_30_30M_R12,SPX_85_30,SPX,30m/12m,30,12,0.85,0.3,0.1304396755,0.07174309911,-0.4058577637,0.0234,1.094199777,0.3005554413,-0.02399512298,0.4688300422,2.490759754,0.005055103342,False,False,False
SPX fixed budget,fixed,SPX_85_30_30M_R18,SPX_85_30,SPX,30m/18m,30,18,0.85,0.3,0.1329213645,0.07270522684,-0.4170128496,0.0312,1.114187574,0.2028749229,-0.02031999565,0.3637442194,2.489010571,0.005094914567,False,True,True
SPX fixed budget,fixed,SPX_85_35_15M_R6,SPX_85_35,SPX,15m/6m,15,6,0.85,0.35,0.1454934257,0.06731397839,-0.5214595283,0.2298,1.552177187,0.7012960296,-0.0428451776,0.3810738121,1.24705681,0.007347215685,False,False,False
