series,lag,execution,switch_cost_bps,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year,average_equity_exposure,terminal_wealth_10000,timing_cagr_difference,timing_terminal_ratio,fee_equal_control_cagr,fee_equal_timing_cagr_difference,matched_entry_close,matched_first_return,matched_last_return,matched_observations,matched_cagr,matched_max_drawdown,matched_terminal_multiple,matched_years,matched_annualized_volatility,matched_sharpe,matched_longest_underwater_calendar_days,matched_max_drawdown_peak,matched_max_drawdown_trough,matched_max_drawdown_recovery,matched_max_drawdown_recovered,matched_max_drawdown_recovery_days_from_trough,matched_max_drawdown_recovery_days_from_peak,matched_worst_calendar_year,matched_worst_calendar_year_return,matched_best_calendar_year,matched_best_calendar_year_return,matched_worst_rolling_1y_cagr,matched_worst_rolling_5y_cagr,matched_worst_rolling_10y_cagr,matched_switch_count,matched_switches_per_year
UPRO_SMA_TO_SP500,LAG1,IMMEDIATE_NEXT_RETURN,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3317949611,-0.5053980643,41.45726076,12.99931554,0.381993178,0.7984345898,713,1987-08-25,1988-11-16,1989-08-07,True,264,713,1990,-0.2394118108,1995,1.22788602,-0.4948529265,0.03436144189,0.2029251877,66,5.077190396,2.656116859,414572.6076,0.03663623871,1.437072084,0.2971444921,0.03465046897,1986-12-31,1987-01-02,1999-12-31,3286,0.2951587224,-0.7467686904,28.84842118,12.99931554,0.4348019285,0.7033550796,1989,1987-08-25,1987-12-04,1993-02-03,True,1888,1989,1987,-0.2727649022,1995,1.05122763,-0.6646072381,-0.04064390153,0.1551288739,0,0
UPRO_SMA_TO_SP500,LAG1,IMMEDIATE_NEXT_RETURN,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.05335833009,-0.7249622766,0.5778612545,10.00136893,0.3659753734,-0.04156520619,3653,1999-12-31,2009-03-09,,False,,,2000,-0.4867144888,2003,0.7447869539,-0.5396321429,-0.149814471,-0.05335833009,92,9.198740761,2.093439364,5778.612545,0.06318415157,1.995448547,-0.1129481798,0.05958984975,1999-12-31,2000-01-03,2009-12-31,2515,-0.1165424817,-0.9006995744,0.2895896541,10.00136893,0.4653432248,-0.09306912238,3570,2000-03-23,2009-03-09,,False,,,2008,-0.6985526128,2003,0.5964311336,-0.7976108003,-0.2504722045,-0.1165424817,0,0
UPRO_SMA_TO_SP500,LAG1,IMMEDIATE_NEXT_RETURN,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.2318724654,-0.4208131783,8.045138087,9.998631075,0.3490756368,0.7581978661,699,2018-01-26,2018-12-24,2019-12-26,True,367,699,2018,-0.2356810837,2013,1.18798752,-0.3464475586,0.09803667923,0.2318724654,60,6.000821468,2.701112878,80451.38087,-0.07122710948,0.5700525169,0.3048541862,-0.07298172085,2009-12-31,2010-01-04,2019-12-31,2516,0.3030995749,-0.4738215052,14.11297705,9.998631075,0.3990838469,0.8512196341,420,2011-04-29,2011-10-03,2012-03-19,True,168,325,2018,-0.2117885463,2013,1.033486014,-0.3387374192,0.1288432161,0.3030995749,0,0
UPRO_SMA_TO_SP500,LAG1,IMMEDIATE_NEXT_RETURN,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.274795843,-0.5572725565,5.052600402,6.672142368,0.4058163549,0.7338930457,807,2020-02-19,2020-03-23,2020-12-17,True,269,302,2022,-0.4222627996,2021,0.9825793327,-0.4381098401,0.1861539858,,40,5.995075913,2.577565632,50526.00402,0.02299774355,1.129151713,0.2541834514,0.02061239161,2019-12-31,2020-01-02,2026-09-02,1676,0.2517980995,-0.7014303978,4.474686919,6.672142368,0.5230485474,0.6403962885,814,2020-02-19,2020-03-23,2020-12-04,True,256,289,2022,-0.4921919531,2021,0.8167634332,-0.5163145337,0.1620299387,,0,0
UPRO_SMA_TO_SP500,LAG1,IMMEDIATE_NEXT_RETURN,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3149764522,-0.5152039791,35.14408906,12.99931554,0.3821158024,0.7651101657,734,1987-08-25,1988-11-16,1989-08-28,True,285,734,1990,-0.263763518,1995,1.22788602,-0.5023676177,0.01894895117,0.1867769578,66,5.077190396,2.656116859,351440.8906,0.01981772989,1.218232667,0.2971444921,0.01783196015,1986-12-31,1987-01-02,1999-12-31,3286,0.2951587224,-0.7467686904,28.84842118,12.99931554,0.4348019285,0.7033550796,1989,1987-08-25,1987-12-04,1993-02-03,True,1888,1989,1987,-0.2727649022,1995,1.05122763,-0.6646072381,-0.04064390153,0.1551288739,0,0
UPRO_SMA_TO_SP500,LAG1,IMMEDIATE_NEXT_RETURN,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.07490633564,-0.777674573,0.458997983,10.00136893,0.3656945947,-0.1049177987,3653,1999-12-31,2009-03-09,,False,,,2000,-0.5129988387,2003,0.7230858939,-0.5566084725,-0.1712494781,-0.07490633564,92,9.198740761,2.093439364,4589.97983,0.04163614601,1.58499441,-0.1129481798,0.03804184419,1999-12-31,2000-01-03,2009-12-31,2515,-0.1165424817,-0.9006995744,0.2895896541,10.00136893,0.4653432248,-0.09306912238,3570,2000-03-23,2009-03-09,,False,,,2008,-0.6985526128,2003,0.5964311336,-0.7976108003,-0.2504722045,-0.1165424817,0,0
UPRO_SMA_TO_SP500,LAG1,IMMEDIATE_NEXT_RETURN,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.2135069869,-0.4365432062,6.923214131,9.998631075,0.3492926051,0.714861131,704,2018-01-26,2018-12-24,,False,,,2018,-0.25643908,2013,1.18798752,-0.3641137854,0.07734249265,0.2135069869,60,6.000821468,2.701112878,69232.14131,-0.08959258792,0.4905566067,0.3048541862,-0.09134719929,2009-12-31,2010-01-04,2019-12-31,2516,0.3030995749,-0.4738215052,14.11297705,9.998631075,0.3990838469,0.8512196341,420,2011-04-29,2011-10-03,2012-03-19,True,168,325,2018,-0.2117885463,2013,1.033486014,-0.3387374192,0.1288432161,0.3030995749,0,0
UPRO_SMA_TO_SP500,LAG1,IMMEDIATE_NEXT_RETURN,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2558084984,-0.5627790482,4.571209511,6.672142368,0.4059653314,0.6966746152,890,2020-02-19,2020-03-23,2020-12-31,True,283,316,2022,-0.4407601774,2021,0.9825793327,-0.4561119666,0.1684701053,,40,5.995075913,2.577565632,45712.09511,0.004010398926,1.021570803,0.2541834514,0.001625046987,2019-12-31,2020-01-02,2026-09-02,1676,0.2517980995,-0.7014303978,4.474686919,6.672142368,0.5230485474,0.6403962885,814,2020-02-19,2020-03-23,2020-12-04,True,256,289,2022,-0.4921919531,2021,0.8167634332,-0.5163145337,0.1620299387,,0,0
VOL_BINARY,LAG1,IMMEDIATE_NEXT_RETURN,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3216638797,-0.5142490165,37.53966321,12.99931554,0.3901916304,0.7705907064,808,1989-10-09,1990-10-11,1991-12-26,True,441,808,1990,-0.3187028659,1995,1.22788602,-0.5033501469,0.0563558886,0.2311268933,58,4.461773378,2.776019477,375396.6321,0.02176954673,1.240976858,0.3011870006,0.02047687904,1986-12-31,1987-01-02,1999-12-31,3286,0.2998943329,-0.7685953069,30.25009127,12.99931554,0.4544305937,0.7033592088,2024,1987-08-25,1987-12-04,1993-03-10,True,1923,2024,1987,-0.3067259316,1995,1.111351564,-0.6918123878,-0.05393982919,0.1534971851,0,0
VOL_BINARY,LAG1,IMMEDIATE_NEXT_RETURN,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.1424178896,-0.884043397,0.2151125695,10.00136893,0.4023736921,-0.2484058634,3569,2000-03-24,2009-03-09,,False,,,2008,-0.6633746293,2003,0.7407132409,-0.7333888833,-0.2136490965,-0.1424178896,70,6.999041883,2.305765408,2151.125695,-0.001976839854,0.9772351763,-0.1377667529,-0.004651136649,1999-12-31,2000-01-03,2009-12-31,2515,-0.1404410497,-0.9312032777,0.2201236455,10.00136893,0.512542733,-0.09278305485,3570,2000-03-23,2009-03-09,,False,,,2008,-0.7446082911,2003,0.6608719115,-0.8360275491,-0.2833794256,-0.1404410497,0,0
