variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,canonical_mean_delta,fixed_budget_mean_delta,delta_ratio,matched_delta_budget,matched_budget_inside_grid,matched_budget_change,treasury_weight,matched_treasury_weight,treasury_weight_change,median_30y_cagr
NDX_85_20_24M_R12,NDX_85_20,NDX,24m/12m,0.85,0.2,24,12,0.6931156435,0.6931156435,1,0.2,True,0,0.7696361142,0.7696361142,0,0.1285815621
NDX_85_25_24M_R12,NDX_85_25,NDX,24m/12m,0.85,0.25,24,12,0.8547459405,0.8547459405,1,0.25,True,0,0.7168787063,0.7168787063,0,0.1420765821
NDX_85_30_24M_R12,NDX_85_30,NDX,24m/12m,0.85,0.3,24,12,1.013023415,1.013023415,1,0.3,True,0,0.6655497134,0.6655497134,0,0.1537531793
NDX_85_35_24M_R12,NDX_85_35,NDX,24m/12m,0.85,0.35,24,12,1.168469494,1.168469494,1,0.35,True,0,0.6154560306,0.6154560306,0,0.1640205053
NDX_85_40_24M_R12,NDX_85_40,NDX,24m/12m,0.85,0.4,24,12,1.321562366,1.321562366,1,0.4,True,0,0.5664252195,0.5664252195,0,0.1732214028
NDX_90_20_15M_R6,NDX_90_20,NDX,15m/6m,0.9,0.2,15,6,0.7526211971,0.855532288,1.136736902,0.1749148172,False,-0.02508518285,0.7851582476,0.8121049708,0.02694672321,0.1360389299
NDX_90_25_15M_R6,NDX_90_25,NDX,15m/6m,0.9,0.25,15,6,0.9270742972,1.06065555,1.144089048,0.217438785,True,-0.03256121504,0.7346150928,0.7691801129,0.03456502013,0.1500274742
NDX_90_30_15M_R6,NDX_90_30,NDX,15m/6m,0.9,0.3,15,6,1.097660393,1.263516948,1.151100064,0.2591207207,True,-0.04087927934,0.68495007,0.727880117,0.04293004698,0.1613585038
NDX_90_35_15M_R6,NDX_90_35,NDX,15m/6m,0.9,0.35,15,6,1.26501064,1.464630015,1.15780055,0.3003713561,True,-0.04962864389,0.6360147847,0.6876264779,0.05161169324,0.1709927759
NDX_90_40_15M_R6,NDX_90_40,NDX,15m/6m,0.9,0.4,15,6,1.429699212,1.664480937,1.164217566,0.3413156307,True,-0.05868436929,0.5876746908,0.6481673175,0.06049262679,0.178619403
NDX_90_20_15M_R12,NDX_90_20,NDX,15m/12m,0.9,0.2,15,12,0.7526211971,0.9013002335,1.197548298,0.1644744963,False,-0.0355255037,0.7713148625,0.811935636,0.04062077349,0.1428596572
NDX_90_25_15M_R12,NDX_90_25,NDX,15m/12m,0.9,0.25,15,12,0.9270742972,1.110556994,1.197915849,0.2061584781,True,-0.04384152185,0.7200005772,0.7691029804,0.04910240326,0.1570067251
NDX_90_30_15M_R12,NDX_90_30,NDX,15m/12m,0.9,0.3,15,12,1.097660393,1.315741236,1.198677883,0.2469184745,True,-0.05308152547,0.6702567717,0.7286010169,0.05834424525,0.168705902
NDX_90_35_15M_R12,NDX_90_35,NDX,15m/12m,0.9,0.35,15,12,1.26501064,1.517738792,1.19978342,0.2876377942,True,-0.06236220583,0.6218188127,0.6892022785,0.06738346584,0.1780887063
