variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,canonical_mean_delta,fixed_budget_mean_delta,delta_ratio,matched_delta_budget,matched_budget_inside_grid,matched_budget_change,treasury_weight,matched_treasury_weight,treasury_weight_change,median_30y_cagr
SPX_80_35_30M_R12,SPX_80_35,SPX,30m/12m,0.8,0.35,30,12,1.264264472,1.17502246,0.9294119117,0.3773667972,False,0.02736679717,0.6393468736,0.6111470995,-0.02819977416,0.1348459464
SPX_80_25_30M_R18,SPX_80_25,SPX,30m/18m,0.8,0.25,30,18,0.9172115733,0.8890853653,0.9693350926,0.2585579414,True,0.008557941448,0.7123796027,0.7025338486,-0.009845754079,0.1185892713
SPX_80_30_30M_R18,SPX_80_30,SPX,30m/18m,0.8,0.3,30,18,1.091809901,1.053413482,0.9648323214,0.3119235546,True,0.01192355456,0.6600213431,0.6465088295,-0.01351251355,0.1284490567
SPX_80_35_30M_R18,SPX_80_35,SPX,30m/18m,0.8,0.35,30,18,1.264264472,1.214424275,0.9605777133,0.3654772842,False,0.01547728424,0.6089671508,0.5916753607,-0.01729179016,0.1370852349
SPX_85_25_15M_R6,SPX_85_25,SPX,15m/6m,0.85,0.25,15,6,1.02600735,1.142550012,1.113588525,0.2237402963,False,-0.02625970374,0.7377149847,0.7652650919,0.02755010719,0.1264761599
SPX_85_30_15M_R6,SPX_85_30,SPX,15m/6m,0.85,0.3,15,6,1.220249952,1.364454004,1.118175831,0.267507558,True,-0.03249244195,0.6875043533,0.7213501755,0.0338458222,0.1364631069
SPX_85_35_15M_R6,SPX_85_35,SPX,15m/6m,0.85,0.35,15,6,1.411905012,1.584962429,1.122570155,0.3107594547,True,-0.03924054534,0.6378287061,0.6784338464,0.04060514022,0.1454934257
SPX_85_40_15M_R6,SPX_85_40,SPX,15m/6m,0.85,0.4,15,6,1.601366839,1.804392892,1.126782976,0.3537379519,True,-0.04626204813,0.5886102156,0.6361895506,0.04757933502,0.1532900576
SPX_85_45_15M_R6,SPX_85_45,SPX,15m/6m,0.85,0.45,15,6,1.789017235,2.023063119,1.130823717,0.3964964624,True,-0.0535035376,0.5397740735,0.5944934405,0.05471936704,0.1599653778
SPX_85_25_15M_R12,SPX_85_25,SPX,15m/12m,0.85,0.25,15,12,1.02600735,1.169729913,1.140079467,0.2174356669,False,-0.03256433312,0.7257019697,0.7614312994,0.03572932973,0.1332402866
SPX_85_30_15M_R12,SPX_85_30,SPX,15m/12m,0.85,0.3,15,12,1.220249952,1.390404726,1.139442557,0.2614467163,True,-0.03855328371,0.6751941356,0.7169352444,0.04174110879,0.1436417797
SPX_85_35_15M_R12,SPX_85_35,SPX,15m/12m,0.85,0.35,15,12,1.411905012,1.608250602,1.139064306,0.304934747,True,-0.04506525295,0.6257191831,0.6739107822,0.04819159912,0.1533037076
SPX_85_40_15M_R12,SPX_85_40,SPX,15m/12m,0.85,0.4,15,12,1.601366839,1.823875963,1.138949502,0.3484200382,True,-0.05157996182,0.5771327054,0.6316614027,0.05452869727,0.1613651859
SPX_85_45_15M_R12,SPX_85_45,SPX,15m/12m,0.85,0.45,15,12,1.789017235,2.037888169,1.139110417,0.39191683,True,-0.05808316997,0.5292983883,0.5900535922,0.06075520381,0.1689160059
SPX_85_25_18M_R6,SPX_85_25,SPX,18m/6m,0.85,0.25,18,6,1.02600735,1.082519934,1.055080097,0.2366690465,False,-0.01333095349,0.7420624738,0.7558166865,0.01375421266,0.1228566679
SPX_85_30_18M_R6,SPX_85_30,SPX,18m/6m,0.85,0.3,18,6,1.220249952,1.294479956,1.060831802,0.2824896217,True,-0.01751037829,0.6919351529,0.7099162596,0.0179811067,0.1328004191
SPX_85_35_18M_R6,SPX_85_35,SPX,18m/6m,0.85,0.35,18,6,1.411905012,1.505446549,1.066252004,0.327830249,True,-0.02216975102,0.642168281,0.6648341099,0.02266582891,0.1416678331
SPX_85_40_18M_R6,SPX_85_40,SPX,18m/6m,0.85,0.4,18,6,1.601366839,1.715641151,1.071360484,0.3728170203,True,-0.02718297972,0.5927100869,0.6203884705,0.02767838362,0.149376248
SPX_85_45_18M_R6,SPX_85_45,SPX,18m/6m,0.85,0.45,18,6,1.789017235,1.925289713,1.076171697,0.4174997822,True,-0.03250021781,0.5435087851,0.576477816,0.03296903092,0.1557687204
SPX_85_25_18M_R12,SPX_85_25,SPX,18m/12m,0.85,0.25,18,12,1.02600735,1.095303006,1.067539142,0.2335482039,False,-0.01645179608,0.7374775074,0.7547533735,0.01727586606,0.1295819495
SPX_85_30_18M_R12,SPX_85_30,SPX,18m/12m,0.85,0.3,18,12,1.220249952,1.305905104,1.070194759,0.2796642217,True,-0.02033577833,0.6879111051,0.7090663404,0.02115523528,0.1403809658
SPX_85_35_18M_R12,SPX_85_35,SPX,18m/12m,0.85,0.35,18,12,1.411905012,1.514900089,1.072947596,0.3253594381,True,-0.02464056185,0.6390102505,0.6644245083,0.02541425786,0.1492467227
SPX_85_40_18M_R12,SPX_85_40,SPX,18m/12m,0.85,0.4,18,12,1.601366839,1.722769893,1.075812145,0.3707982949,True,-0.02920170505,0.5906600498,0.620543611,0.02988356123,0.1575662136
SPX_85_45_18M_R12,SPX_85_45,SPX,18m/12m,0.85,0.45,18,12,1.789017235,1.930002398,1.078805928,0.4159838201,True,-0.03401617989,0.5427492282,0.5773135049,0.03456427668,0.1648175846
SPX_85_25_24M_R6,SPX_85_25,SPX,24m/6m,0.85,0.25,24,6,1.02600735,0.9909675304,0.9658483738,0.2590355372,True,0.009035537157,0.7412561163,0.7319045564,-0.009351559902,0.1180966094
SPX_85_30_24M_R6,SPX_85_30,SPX,24m/6m,0.85,0.3,24,6,1.220249952,1.184867566,0.9710039845,0.309170388,True,0.009170388049,0.6909585447,0.6815117778,-0.009446766894,0.1277956419
SPX_85_35_24M_R6,SPX_85_35,SPX,24m/6m,0.85,0.35,24,6,1.411905012,1.377784083,0.9758334105,0.3588802252,True,0.008880225192,0.6410219484,0.6319139314,-0.009108016964,0.1362866888
SPX_85_40_24M_R6,SPX_85_40,SPX,24m/6m,0.85,0.4,24,6,1.601366839,1.569901558,0.9803509852,0.4082153167,True,0.008215316726,0.5913973461,0.5830053456,-0.008392000542,0.1436472928
SPX_85_45_24M_R6,SPX_85_45,SPX,24m/6m,0.85,0.45,24,6,1.789017235,1.761405317,0.9845658741,0.4572092364,False,0.007209236353,0.5420363639,0.5346995459,-0.007336817986,0.150314856
SPX_85_25_24M_R12,SPX_85_25,SPX,24m/12m,0.85,0.25,24,12,1.02600735,1.02600735,1,0.25,True,0,0.7246883114,0.7246883114,0,0.1247530264
SPX_85_30_24M_R12,SPX_85_30,SPX,24m/12m,0.85,0.3,24,12,1.220249952,1.220249952,1,0.3,True,0,0.6733735034,0.6733735034,0,0.1348371042
SPX_85_35_24M_R12,SPX_85_35,SPX,24m/12m,0.85,0.35,24,12,1.411905012,1.411905012,1,0.35,True,0,0.6229891618,0.6229891618,0,0.1438854066
SPX_85_40_24M_R12,SPX_85_40,SPX,24m/12m,0.85,0.4,24,12,1.601366839,1.601366839,1,0.4,True,0,0.5734237255,0.5734237255,0,0.1521385178
SPX_85_45_24M_R12,SPX_85_45,SPX,24m/12m,0.85,0.45,24,12,1.789017235,1.789017235,1,0.45,True,0,0.524572607,0.524572607,0,0.159569333
SPX_85_25_30M_R12,SPX_85_25,SPX,30m/12m,0.85,0.25,30,12,1.02600735,0.9345840688,0.9108941265,0.2753436617,True,0.02534366168,0.7384256181,0.7119086075,-0.02651701056,0.1206315017
SPX_85_30_30M_R12,SPX_85_30,SPX,30m/12m,0.85,0.3,30,12,1.220249952,1.11495122,0.9137072431,0.3294195311,True,0.02941953113,0.6884084092,0.6578521475,-0.03055626168,0.1304396755
SPX_85_35_30M_R12,SPX_85_35,SPX,30m/12m,0.85,0.35,30,12,1.411905012,1.293911809,0.9164297867,0.3831705974,True,0.03317059744,0.6389226916,0.6047022629,-0.03422042869,0.1393336998
SPX_85_40_30M_R12,SPX_85_40,SPX,30m/12m,0.85,0.4,30,12,1.601366839,1.471769931,0.9190710678,0.4365974591,True,0.03659745911,0.5898805028,0.552357174,-0.03752332882,0.1473910148
