strategy,family,underlying,moneyness,premium_budget,cagr,annualized_volatility,max_drawdown,terminal_multiple,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional,cohort_10y_min_cagr,cohort_20y_min_cagr,cohort_20y_median_cagr,cohort_30y_min_cagr,cohort_30y_median_cagr,1987_crash,2000_2002_bust,2008_2009_gfc,2020_covid,2022_rates,cohort_20y_min_cagr_post_proxy,cohort_20y_entries_post_proxy,cagr_one_point_cheaper,cagr_one_point_dearer,cagr_per_volatility_point
SPX_95_30,SP500 LEAPS,SP500_1X,0.95,0.3,0.1532351321,0.2398339702,-0.5261787551,296.5770075,1.510735069,0.3282565352,0.6717434648,2.182478534,0.008409984011,0.09092482743,0.1416911925,0.1383474376,0.1564235131,-0.4327458324,-0.384495566,-0.3559388705,-0.1743655683,-0.4956263331,0.1037561674,90,0.1629739685,0.1443042331,0.009334867684
SPX_95_35,SP500 LEAPS,SP500_1X,0.95,0.35,0.164851134,0.2733938703,-0.5644101283,442.5050512,1.745086663,0.3780775416,0.6219224584,2.367009122,-0.007452726494,0.09122421521,0.1481910277,0.1439321773,0.1663345286,-0.4715984038,-0.4745004166,-0.4320967396,-0.2249321291,-0.5256846962,0.1049167278,90,0.1758902942,0.1547216638,0.0105843152
SPX_95_40,SP500 LEAPS,SP500_1X,0.95,0.4,0.1752411821,0.3080881141,-0.5988695057,630.8064533,1.976455312,0.4269877957,0.5730122043,2.549467516,-0.02450774701,0.09022951124,0.1530541652,0.148488094,0.1745582571,-0.5054410682,-0.5549956793,-0.5022029274,-0.2748917292,-0.5555487908,0.104730043,90,0.1874979392,0.1639880994,0.01175491986
SPX_95_45,SP500 LEAPS,SP500_1X,0.95,0.45,0.1843735261,0.3438003289,-0.6683249156,859.2414475,2.205459142,0.4751267395,0.5248732605,2.730332402,-0.04283024483,0.08788628881,0.1564162312,0.1519680699,0.1815420668,-0.5351841497,-0.6266206359,-0.5666159899,-0.3242552315,-0.5852204943,0.1031405776,90,0.1977648805,0.1720721144,0.01284638308
SPX_95_50,SP500 LEAPS,SP500_1X,0.95,0.5,0.1922001236,0.3805521523,-0.7285385375,1117.69323,2.432702719,0.5226257289,0.4773742711,2.91007699,-0.06251472697,0.08412129373,0.1577436087,0.1543104168,0.1872692087,-0.5615300207,-0.6899907359,-0.6256702621,-0.3730332415,-0.6147016598,0.09874787606,90,0.2066412271,0.1789273731,0.01385692699
NDX_80_20,NDX LEAPS,NASDAQ100_1X,0.8,0.2,0.1364097484,0.1632163146,-0.4736965438,164.9273835,0.6368033273,0.2287549335,0.7712450665,1.408048394,0.03541937866,0.1108808826,0.1379319842,0.1311076759,0.1465931848,-0.2609359588,-0.2873625218,-0.08454525893,-0.04033575768,-0.425726957,0.1108808826,90,0.1391874643,0.133664073,0.002761695633
NDX_80_25,NDX LEAPS,NASDAQ100_1X,0.8,0.25,0.1526945607,0.1887017006,-0.5001886852,291.0768818,0.7861401871,0.2815236943,0.7184763057,1.504616493,0.02379201219,0.1148449284,0.1501710503,0.1479832741,0.1626257626,-0.3110528066,-0.4040256081,-0.1587568998,-0.08316787024,-0.4538607522,0.1148449284,90,0.156077059,0.1493499515,0.003363553773
NDX_80_30,NDX LEAPS,NASDAQ100_1X,0.8,0.3,0.1677321228,0.216479596,-0.5360399659,488.3722131,0.9325865047,0.3329618105,0.6670381895,1.599624694,0.01086683267,0.1175219575,0.1620558474,0.1600368853,0.176593309,-0.3558470426,-0.5044849196,-0.229536406,-0.1249416945,-0.4817888099,0.1175219575,90,0.171688072,0.1638191974,0.003934437285
NDX_80_35,NDX LEAPS,NASDAQ100_1X,0.8,0.35,0.1815349418,0.2457453054,-0.6144118945,780.7417298,1.076571109,0.383239947,0.616760053,1.693331162,-0.003378410606,0.1188957046,0.1715521901,0.1689676257,0.188629585,-0.396123835,-0.5907601325,-0.2970972229,-0.1656959739,-0.5095133786,0.1188957046,90,0.1860336265,0.177083702,0.004474962216
NDX_80_40,NDX LEAPS,NASDAQ100_1X,0.8,0.4,0.1940981169,0.2760777519,-0.6816535418,1190.98307,1.218490223,0.4325117937,0.5674882063,1.785978429,-0.01898455704,0.1189340755,0.1788330726,0.1766600324,0.1996244941,-0.4325337476,-0.6646051445,-0.3616310981,-0.2054675833,-0.5370366742,0.1189340755,90,0.1991087172,0.1891386379,0.004985039657
