family,regime,cells,delta_ratio,theta_burden_per_year_difference,option_turnover_per_year_difference,cost_drag_bps_difference,vega_per_nav_difference,recovery_exposure_ratio_difference,mean_entry_years_difference,fixed_budget_cagr_gap,matched_delta_cagr_gap,survives_delta_matching
NDX,15m/6m,15,1.129140164,-0.01840027459,0.3005554413,72.75180027,-0.005929603497,0.1901251215,-0.757871321,0.003628137395,-0.004186319301,-1.153848062
NDX,15m/12m,15,1.164453944,-0.01509103585,0,3.622190004,-0.101365998,0.2909518351,-0.7563312799,0.01037850814,0.0003113547362,0.02999995106
SPX,15m/6m,12,1.124676566,-0.01396688941,0.3464736337,81.13575104,-0.04975717719,0.01796227359,-0.757871321,0.0007865547139,-0.00517153839,-6.574925175
SPX,15m/12m,12,1.139276487,-0.0109390935,0,0.8482898528,-0.1803381613,0.08272907738,-0.7563312799,0.008477431277,0.0008221607462,0.09698229562
SPX,18m/6m,12,1.068806244,-0.01051249982,0.3551354745,81.82179463,0.02300196265,-0.125772109,-0.5090475828,-0.002663052956,-0.005947788882,2.233447468
SPX,18m/12m,12,1.07437987,-0.009458033438,0.008661840842,2.80285392,-0.08693995491,0.08469689997,-0.5133336672,0.004886568761,0.001071952517,0.2193671203
SPX,24m/6m,12,0.975287947,-0.002315106636,0.3378117928,76.22229933,0.1174516077,-0.09186265029,-0.004494927178,-0.007592411479,-0.006327446456,0.8333908763
SPX,30m/12m,12,0.9150685149,0.003610914073,0,-0.7791894924,0.1046140794,0.04031666064,0.4858316222,-0.004515469642,0.000682375875,-0.1511195798
SPX,30m/18m,12,0.9496039431,0.007983411835,-0.1126039309,-25.23393629,-0.02432141569,0.08660598105,0.4840824397,-0.00195721807,0.0005198890719,-0.2656265441
