series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,reserve_accumulation_trades,reserve_deployment_trades,reserve_rebalance_sell_trades,leverage_state_trades,traded_transition_days,total_charged_transitions,reserve_turnover,risky_sleeve_turnover,net_asset_turnover,sum_dollar_costs,direct_log_cost_drag,direct_wealth_cost_drag,total_trading_cost_drag,cost_cagr_drag
FIXED_90_10,SSO,LAG2,25,staged,0.15,0.1,quarterly,107,0,53,261,417,417,1.486589319,233.661629,235.1085084,10.31959063,0.5884260884,0.4447995662,0.4447995662,0.01676006966
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,107,0,53,261,417,417,2.1059367,220.1160507,222.165972,8.936438629,0.5559961219,0.4264993,0.4264993,0.01577358626
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,674,109,0,261,977,977,0.9948768673,259.5191899,260.2191989,13.31662202,0.6513558521,0.4786615605,0.4782933223,0.0186651246
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,staged,0.2,0.1,rule,33,132,0,261,345,345,6.008774405,254.9985381,259.79492,12.41685294,0.6502692565,0.4780947685,0.4780870053,0.01860240012
HWM_DRAWDOWN,SSO,LAG2,25,drawdown,0.15,0.1,rule,704,11,0,261,975,975,0.8156400468,244.854361,245.6693647,12.22337368,0.6148934795,0.4593015123,0.4532808515,0.01728508633
BAND_DRAWDOWN,SSO,LAG2,25,drawdown,0.2,0.1,rule,8,11,0,261,280,280,0.8868185177,241.9245929,242.8114114,11.79080589,0.6077315922,0.4554151906,0.4551632925,0.01735993417
SP500_1X,SSO,LAG2,25,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_ALWAYS,SSO,LAG2,25,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_SMA_TO_TBILL,SSO,LAG2,25,none,0,0,none,0,0,0,261,261,261,0,261,261,10.73235814,0.6533169869,0.4796829736,0.4796829736,0.01852035757
NO_RESERVE,SSO,LAG2,50,staged,0.15,0.1,rule,0,0,0,261,261,261,0,261,261,16.41626174,1.308273416,0.7297136742,0.7297136742,0.03723583145
FIXED_90_10,SSO,LAG2,50,staged,0.15,0.1,quarterly,107,0,53,261,417,417,1.486589319,233.661629,235.1085084,13.29416986,1.178165734,0.6921571131,0.6921571131,0.03331158772
FIXED_85_15,SSO,LAG2,50,staged,0.15,0.1,quarterly,107,0,53,261,417,417,2.1059367,220.1160507,222.165972,11.83378215,1.113157907,0.6714801139,0.6714801139,0.03136146777
HWM_RESERVE,SSO,LAG2,50,staged,0.15,0.1,rule,584,106,0,261,884,884,0.8783987169,259.6223468,260.2262808,16.39000542,1.304370726,0.7286567695,0.7255847161,0.03679939598
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,50,staged,0.2,0.1,rule,33,132,0,261,345,345,6.009488433,254.9994285,259.7967012,15.22867391,1.302116471,0.7280444025,0.7280362953,0.03694839786
HWM_DRAWDOWN,SSO,LAG2,50,drawdown,0.15,0.1,rule,603,11,0,261,874,874,0.7251434543,246.3979234,247.1224305,15.5616894,1.238533088,0.7101909693,0.7003150565,0.03423755827
BAND_DRAWDOWN,SSO,LAG2,50,drawdown,0.2,0.1,rule,8,11,0,261,280,280,0.8881410619,241.9473805,242.8355216,14.90515295,1.21699479,0.7038812698,0.7036044186,0.03450040464
SP500_1X,SSO,LAG2,50,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_ALWAYS,SSO,LAG2,50,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_SMA_TO_TBILL,SSO,LAG2,50,none,0,0,none,0,0,0,261,261,261,0,261,261,13.23353046,1.308273416,0.7297136742,0.7297136742,0.03678553795
