series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year,terminal_ratio_vs_no_reserve
NO_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.175153847841,-0.470195541636,14.7412160865,16.6707734428,0.269461107902,0.679847417459,884,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.358094628608,2013,0.705373768395,-0.373049303424,0.0116646130434,0.0893563372679,0,0,1
FIXED_90_10,SSO,LAG1,50,staged,0.15,0.1,quarterly,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.217808104363,-0.410103256201,12.9558706443,12.9993155373,0.244053515931,0.705047426611,694,1987-08-25,1987-10-19,1989-07-19,True,639,694,1990,-0.213066960009,1995,0.667541686628,-0.346761020941,0.0332953479,0.138192690619,0,0,0.85342667534
FIXED_90_10,SSO,LAG1,50,staged,0.15,0.1,quarterly,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0513847699677,-0.683585452911,0.590023850981,10.0013689254,0.258223805311,-0.182397922934,3653,1999-12-31,2009-03-09,,False,,,2008,-0.347283295043,2009,0.451176736886,-0.473035066518,-0.145292014366,-0.0513847699677,0,0,1.12632621875
FIXED_90_10,SSO,LAG1,50,staged,0.15,0.1,quarterly,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.148228577929,-0.324907831485,3.9829177922,9.99863107461,0.223393540815,0.706226037293,568,2010-04-23,2010-08-26,2011-02-17,True,175,300,2011,-0.129196444396,2013,0.622611399758,-0.187755398842,0.0852707324843,0.148228577929,0,0,0.887018722625
FIXED_90_10,SSO,LAG1,50,staged,0.15,0.1,quarterly,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.182228872625,-0.427438769681,3.05544991515,6.67214236824,0.267855742421,0.65280591566,863,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.325248203925,2021,0.535238419271,-0.339543650049,0.118315603148,,0,0,0.930701497384
FIXED_90_10,SSO,LAG1,50,staged,0.15,0.1,quarterly,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.161717547957,-0.427438769681,12.1696058302,16.6707734428,0.242123618782,0.679827065351,863,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.325248203925,2013,0.622611399758,-0.339543650049,0.0162939925621,0.0848836332526,0,0,0.825549653354
FIXED_85_15,SSO,LAG1,50,staged,0.15,0.1,quarterly,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.210071593871,-0.389032780683,11.9257905667,12.9993155373,0.230333840471,0.705070222553,689,1987-08-25,1987-10-19,1989-07-14,True,634,689,1990,-0.197373389506,1995,0.62798841587,-0.326260144535,0.0350290333617,0.134784838623,0,0,0.785573434126
FIXED_85_15,SSO,LAG1,50,staged,0.15,0.1,quarterly,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0459439502972,-0.65339049202,0.624756719402,10.0013689254,0.243153234002,-0.185716663879,3653,1999-12-31,2009-03-09,,False,,,2008,-0.329965150941,2009,0.424905586607,-0.451608379059,-0.135353668703,-0.0459439502972,0,0,1.19262953902
FIXED_85_15,SSO,LAG1,50,staged,0.15,0.1,quarterly,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.141126956426,-0.308740173791,3.74335625435,9.99863107461,0.210928717075,0.70555785056,568,2010-04-23,2010-08-26,2011-02-16,True,174,299,2011,-0.121592340828,2013,0.5823228121,-0.178041008378,0.0817149563561,0.141126956426,0,0,0.833666988951
FIXED_85_15,SSO,LAG1,50,staged,0.15,0.1,quarterly,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.175465386658,-0.405719142002,2.94069567491,6.67214236824,0.252737271632,0.653351939255,808,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.308431176557,2021,0.501380235194,-0.322343187116,0.114938966894,,0,0,0.895746925654
