series,lag,execution,switch_cost_bps,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,worst_rolling_20y_cagr,cohort_20y_count,cohort_20y_min_cagr,cohort_20y_median_cagr,worst_rolling_30y_cagr,cohort_30y_count,cohort_30y_min_cagr,cohort_30y_median_cagr,switch_count,switches_per_year,average_equity_exposure,terminal_wealth_10000,timing_cagr_difference,timing_terminal_ratio,fee_equal_control_cagr,fee_equal_timing_cagr_difference,matched_entry_close,matched_first_return,matched_last_return,matched_observations,matched_cagr,matched_max_drawdown,matched_terminal_multiple,matched_years,matched_annualized_volatility,matched_sharpe,matched_longest_underwater_calendar_days,matched_max_drawdown_peak,matched_max_drawdown_trough,matched_max_drawdown_recovery,matched_max_drawdown_recovered,matched_max_drawdown_recovery_days_from_trough,matched_max_drawdown_recovery_days_from_peak,matched_worst_calendar_year,matched_worst_calendar_year_return,matched_best_calendar_year,matched_best_calendar_year_return,matched_worst_rolling_1y_cagr,matched_worst_rolling_5y_cagr,matched_worst_rolling_10y_cagr,matched_worst_rolling_20y_cagr,matched_cohort_20y_count,matched_cohort_20y_min_cagr,matched_cohort_20y_median_cagr,matched_worst_rolling_30y_cagr,matched_cohort_30y_count,matched_cohort_30y_min_cagr,matched_cohort_30y_median_cagr,matched_switch_count,matched_switches_per_year
LOW_CHURN,LAG1,IMMEDIATE_NEXT_RETURN,0,1986-09-26,1986-09-29,2026-09-02,10059,0.115439146,-0.7913204744,78.47253453,39.93429158,0.3586103534,0.4083985939,6390,1987-08-25,1987-12-04,1995-09-12,True,2839,2940,2008,-0.5559413728,1995,1.095067965,-0.7279182034,-0.1799693894,-0.1196168048,-0.004017708139,240,0.004924832042,0.07378614068,0.05536956218,120,0.05690419759,0.1031847459,542,13.57229535,1.744209166,784725.3453,-0.01913624577,0.5069747195,0.1409158368,-0.02547669085,1986-09-26,1986-09-29,2026-09-02,10059,0.1345753917,-0.8261347487,154.7858927,39.93429158,0.3200343288,0.4589992042,5026,2000-03-23,2009-03-09,2013-12-26,True,1753,5026,2008,-0.6108977958,1995,0.6417443505,-0.7193986892,-0.1971971967,-0.1394127657,0.01669249213,240,0.03090181657,0.09094052584,0.09522939925,120,0.1001563592,0.1224392803,0,0
LOW_CHURN,LAG1,IMMEDIATE_NEXT_RETURN,25,1986-09-26,1986-09-29,2026-09-02,10059,0.0781805641,-0.857974993,20.20746533,39.93429158,0.3587998515,0.3136628347,8036,1999-08-25,2011-10-03,2021-08-25,True,3614,8036,2008,-0.5581588905,1995,1.05867811,-0.7398492564,-0.2086088438,-0.1460850409,-0.0357810661,240,-0.02664086634,0.04064936069,0.02243407458,120,0.0240916914,0.06677141485,542,13.57229535,1.744209166,202074.6533,-0.05639482762,0.1305510791,0.1409158368,-0.06273527271,1986-09-26,1986-09-29,2026-09-02,10059,0.1345753917,-0.8261347487,154.7858927,39.93429158,0.3200343288,0.4589992042,5026,2000-03-23,2009-03-09,2013-12-26,True,1753,5026,2008,-0.6108977958,1995,0.6417443505,-0.7193986892,-0.1971971967,-0.1394127657,0.01669249213,240,0.03090181657,0.09094052584,0.09522939925,120,0.1001563592,0.1224392803,0,0
AO,LAG1,IMMEDIATE_NEXT_RETURN,0,1986-09-26,1986-09-29,2026-09-02,10059,0.120830346,-0.8263354273,95.13493897,39.93429158,0.3645169588,0.4113678495,5373,1999-07-16,2009-03-09,2014-04-01,True,1849,5373,2022,-0.4744248033,1995,1.135877613,-0.59824031,-0.2115239729,-0.1409982094,0.01574875086,240,0.01833628995,0.06922273855,0.07203350964,120,0.07463379432,0.1001436286,423,10.59240025,2.305099911,951349.3897,-0.02325799073,0.4403510116,0.1476472403,-0.02681689433,1986-09-26,1986-09-29,2026-09-02,10059,0.1440883367,-0.9311219336,216.043421,39.93429158,0.4229517564,0.4604336103,6103,2000-03-23,2009-03-09,2016-12-07,True,2830,6103,2008,-0.7444723029,1995,0.8838984864,-0.8359170122,-0.283275886,-0.2125162788,-0.007641063689,240,0.01033861659,0.08549505321,0.09502239474,120,0.09811423764,0.1310549291,0,0
AO,LAG1,IMMEDIATE_NEXT_RETURN,25,1986-09-26,1986-09-29,2026-09-02,10059,0.09150298727,-0.8664738922,32.99883348,39.93429158,0.3645782783,0.3385971865,6723,1999-07-16,2009-03-09,2017-12-11,True,3199,6723,2022,-0.4861326781,1995,1.114598799,-0.6110774931,-0.2344756513,-0.1638999377,-0.01146301263,240,-0.009072506231,0.0402293455,0.04213682044,120,0.04466458882,0.07040933168,423,10.59240025,2.305099911,329988.3348,-0.05258534948,0.1527416726,0.1476472403,-0.05614425308,1986-09-26,1986-09-29,2026-09-02,10059,0.1440883367,-0.9311219336,216.043421,39.93429158,0.4229517564,0.4604336103,6103,2000-03-23,2009-03-09,2016-12-07,True,2830,6103,2008,-0.7444723029,1995,0.8838984864,-0.8359170122,-0.283275886,-0.2125162788,-0.007641063689,240,0.01033861659,0.08549505321,0.09502239474,120,0.09811423764,0.1310549291,0,0
UPRO_ALWAYS,LAG1,IMMEDIATE_NEXT_RETURN,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1370317119,-0.9820109229,168.7478963,39.93429158,0.5504594435,0.4614668241,6733,2000-03-23,2009-03-09,2018-08-29,True,3460,6733,2008,-0.8597747321,1995,1.22788602,-0.9227273643,-0.3916285461,-0.3093660093,-0.05366050292,240,-0.03187310567,0.06090215039,0.07348140906,120,0.07745327156,0.1244216884,0,0,3,1687478.963,0,1,0.1370317119,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1370317119,-0.9820109229,168.7478963,39.93429158,0.5504594435,0.4614668241,6733,2000-03-23,2009-03-09,2018-08-29,True,3460,6733,2008,-0.8597747321,1995,1.22788602,-0.9227273643,-0.3916285461,-0.3093660093,-0.05366050292,240,-0.03187310567,0.06090215039,0.07348140906,120,0.07745327156,0.1244216884,0,0
UPRO_ALWAYS,LAG1,IMMEDIATE_NEXT_RETURN,25,1986-09-26,1986-09-29,2026-09-02,10059,0.1370317119,-0.9820109229,168.7478963,39.93429158,0.5504594435,0.4614668241,6733,2000-03-23,2009-03-09,2018-08-29,True,3460,6733,2008,-0.8597747321,1995,1.22788602,-0.9227273643,-0.3916285461,-0.3093660093,-0.05366050292,240,-0.03187310567,0.06090215039,0.07348140906,120,0.07745327156,0.1244216884,0,0,3,1687478.963,0,1,0.1370317119,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1370317119,-0.9820109229,168.7478963,39.93429158,0.5504594435,0.4614668241,6733,2000-03-23,2009-03-09,2018-08-29,True,3460,6733,2008,-0.8597747321,1995,1.22788602,-0.9227273643,-0.3916285461,-0.3093660093,-0.05366050292,240,-0.03187310567,0.06090215039,0.07348140906,120,0.07745327156,0.1244216884,0,0
SP500_1X,LAG1,IMMEDIATE_NEXT_RETURN,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1126109603,-0.5525024107,70.90685227,39.93429158,0.1834804905,0.503182502,2243,2007-10-09,2009-03-09,2012-04-02,True,1120,1637,2008,-0.3699761113,1995,0.3757620118,-0.4751914483,-0.08198823669,-0.04562063179,0.0393487443,240,0.04788163336,0.08783863295,0.08754543031,120,0.0933527571,0.1030718628,0,0,1,709068.5227,0.009862394104,1.426984315,0.1126109603,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1027485662,-0.5581297259,49.69000117,39.93429158,0.1834832253,0.4546120161,2518,2007-10-09,2009-03-09,2013-01-02,True,1395,1912,2008,-0.3755887752,1995,0.3636203132,-0.4798663438,-0.090134313,-0.05408711609,0.03013219093,240,0.03858970043,0.07819500042,0.07790446905,120,0.08366050348,0.09329342241,0,0
SP500_1X,LAG1,IMMEDIATE_NEXT_RETURN,25,1986-09-26,1986-09-29,2026-09-02,10059,0.1126109603,-0.5525024107,70.90685227,39.93429158,0.1834804905,0.503182502,2243,2007-10-09,2009-03-09,2012-04-02,True,1120,1637,2008,-0.3699761113,1995,0.3757620118,-0.4751914483,-0.08198823669,-0.04562063179,0.0393487443,240,0.04788163336,0.08783863295,0.08754543031,120,0.0933527571,0.1030718628,0,0,1,709068.5227,0.009862394104,1.426984315,0.1126109603,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1027485662,-0.5581297259,49.69000117,39.93429158,0.1834832253,0.4546120161,2518,2007-10-09,2009-03-09,2013-01-02,True,1395,1912,2008,-0.3755887752,1995,0.3636203132,-0.4798663438,-0.090134313,-0.05408711609,0.03013219093,240,0.03858970043,0.07819500042,0.07790446905,120,0.08366050348,0.09329342241,0,0
UPRO_SMA_TO_SP500,LAG2,WAIT_ONE_TRADING_DAY,0,1986-09-26,1986-09-29,2026-09-02,10059,0.1907646498,-0.7329279136,1066.731032,39.93429158,0.377018683,0.5707563519,2863,1999-07-16,2002-10-09,2007-05-18,True,1682,2863,2000,-0.4619522097,1995,1.22788602,-0.541049496,-0.1445556152,-0.09780544068,0.08358870511,240,0.08848370485,0.1563549575,0.1459609602,120,0.1502009958,0.1828338407,261,6.535736323,2.514663485,10667310.32,0.04654038074,4.914206554,0.1467035995,0.04406105034,1986-09-26,1986-09-29,2026-09-02,10059,0.1442242691,-0.9529871044,217.0708578,39.93429158,0.4614046389,0.4608053389,6272,2000-03-23,2009-03-09,2017-05-25,True,2999,6272,2008,-0.7847647286,1995,0.9822645384,-0.8678768669,-0.3159555745,-0.2411813748,-0.01973556033,240,-0.0004997606082,0.08006507224,0.09067692087,120,0.09404425332,0.1309853062,0,0
UPRO_SMA_TO_SP500,LAG2,WAIT_ONE_TRADING_DAY,25,1986-09-26,1986-09-29,2026-09-02,10059,0.1714424639,-0.75410237,555.0383186,39.93429158,0.3769749479,0.5273566194,5017,1999-07-16,2002-10-09,2013-04-10,True,3836,5017,2000,-0.4895045875,1995,1.22788602,-0.54900495,-0.1627763701,-0.1185623481,0.0633026528,240,0.06810601239,0.1358319929,0.1268091874,120,0.1309783617,0.162505766,261,6.535736323,2.514663485,5550383.186,0.0272181948,2.556945341,0.1467035995,0.0247388644,1986-09-26,1986-09-29,2026-09-02,10059,0.1442242691,-0.9529871044,217.0708578,39.93429158,0.4614046389,0.4608053389,6272,2000-03-23,2009-03-09,2017-05-25,True,2999,6272,2008,-0.7847647286,1995,0.9822645384,-0.8678768669,-0.3159555745,-0.2411813748,-0.01973556033,240,-0.0004997606082,0.08006507224,0.09067692087,120,0.09404425332,0.1309853062,0,0
