variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,cagr,p5,drawdown,tail,resolution,improves,worsens,mixed,unresolved,matched_cagr,matched_p5,matched_drawdown,matched_tail,matched_resolution,matched_improves,matched_worsens,matched_mixed,matched_unresolved,matched_inside_grid
SPX_80_30_30M_R12,SPX_80_30,SPX,30m/12m,0.8,0.3,30,12,-0.004233181535,-0.0005416730768,0.01843314464,-0.0084,0.003727486513,False,True,False,False,0.0001074168113,0.0005731319144,-0.001478831615,0.003351448501,0.003727486513,False,False,False,True,True
SPX_80_30_30M_R18,SPX_80_30,SPX,30m/18m,0.8,0.3,30,18,-0.001765261099,0.0005030821594,0.009673773572,-0.007,0.003707136329,False,False,False,True,0.0002942177457,0.0009070248756,-0.00017340548,5.874429805e-05,0.003707136329,False,False,False,True,True
SPX_80_35_15M_R6,SPX_80_35,SPX,15m/6m,0.8,0.35,15,6,0.000703329497,-0.00361018757,-0.0341677755,0.0694,0.004479187932,False,True,False,False,-0.004594088163,-0.004089403305,-0.002991181618,0.02220704184,0.004479187932,False,True,False,False,True
SPX_80_35_15M_R12,SPX_80_35,SPX,15m/12m,0.8,0.35,15,12,0.008178402346,0.0005263985154,-0.04715367049,0.096,0.004242688552,False,False,True,False,0.001844448562,0.0001794851963,-0.01328748675,0.0335381942,0.004242688552,False,True,False,False,True
SPX_80_35_18M_R6,SPX_80_35,SPX,18m/6m,0.8,0.35,18,6,-0.002755533814,-0.004657448818,-0.01996662867,0.0366,0.004557400052,False,True,False,False,-0.005746237104,-0.005001138917,-0.002835787235,0.01739181025,0.004557400052,False,True,False,False,True
SPX_80_35_18M_R12,SPX_80_35,SPX,18m/12m,0.8,0.35,18,12,0.00494421443,0.0002177587548,-0.02669124292,0.0502,0.004242688552,False,False,True,False,0.001516013552,-2.707263556e-05,-0.00914636463,0.02653358255,0.004242688552,False,True,False,False,True
SPX_80_35_24M_R6,SPX_80_35,SPX,24m/6m,0.8,0.35,24,6,-0.007586105157,-0.00513730959,0.005467442066,0.001,0.004491534124,False,True,False,False,-0.007586105157,-0.00513730959,0.005467442066,0.001,0.004491534124,False,True,False,False,False
SPX_80_35_30M_R12,SPX_80_35,SPX,30m/12m,0.8,0.35,30,12,-0.004233661765,-0.0001223970322,0.02090380902,-0.0204,0.004263301049,True,False,False,False,-0.004233661765,-0.0001223970322,0.02090380902,-0.0204,0.004263301049,True,False,False,False,False
SPX_80_35_30M_R18,SPX_80_35,SPX,30m/18m,0.8,0.35,30,18,-0.001994373283,0.0003394758536,0.01151772774,-0.0134,0.004242688552,False,False,False,True,-0.001994373283,0.0003394758536,0.01151772774,-0.0134,0.004242688552,False,False,False,True,False
SPX_85_25_15M_R6,SPX_85_25,SPX,15m/6m,0.85,0.25,15,6,0.001723133557,-0.003440500091,-0.02724178749,0.0216,0.005438460329,False,True,False,False,0.001723133557,-0.003440500091,-0.02724178749,0.0216,0.005438460329,False,True,False,False,False
SPX_85_25_15M_R12,SPX_85_25,SPX,15m/12m,0.85,0.25,15,12,0.008487260176,9.247327282e-05,-0.04389651472,0.0344,0.004536691609,False,False,True,False,0.008487260176,9.247327282e-05,-0.04389651472,0.0344,0.004536691609,False,False,True,False,False
SPX_85_25_18M_R6,SPX_85_25,SPX,18m/6m,0.85,0.25,18,6,-0.001896358508,-0.003818757476,-0.01286323809,0.012,0.005067448557,False,True,False,False,-0.001896358508,-0.003818757476,-0.01286323809,0.012,0.005067448557,False,True,False,False,False
SPX_85_25_18M_R12,SPX_85_25,SPX,18m/12m,0.85,0.25,18,12,0.004828923093,-0.0001518866265,-0.02386388253,0.0168,0.004794458932,False,False,True,False,0.004828923093,-0.0001518866265,-0.02386388253,0.0168,0.004794458932,False,False,True,False,False
SPX_85_25_24M_R6,SPX_85_25,SPX,24m/6m,0.85,0.25,24,6,-0.006656417009,-0.004464878908,0.008230414781,-0.0014,0.00456767174,False,True,False,False,-0.004903697626,-0.00410721922,0.0003450980527,0.003406905767,0.00456767174,False,True,False,False,True
SPX_85_25_30M_R12,SPX_85_25,SPX,30m/12m,0.85,0.25,30,12,-0.004121524702,-0.001123937576,0.0194635906,-0.0058,0.004491390471,False,False,False,True,0.0008499760583,0.0001210365194,-0.000881769928,0.001904473152,0.004491390471,False,False,False,True,True
SPX_85_25_30M_R18,SPX_85_25,SPX,30m/18m,0.85,0.25,30,18,-0.002009709135,-0.0004424311303,0.009236486158,-0.0046,0.004491390471,False,False,False,True,0.0002704772316,0.0001706950123,3.626728017e-05,0.000283850654,0.004491390471,False,False,False,True,True
SPX_85_30_15M_R6,SPX_85_30,SPX,15m/6m,0.85,0.3,15,6,0.00162600265,-0.004205874878,-0.03597632087,0.059,0.006414269317,False,True,False,False,-0.004864003222,-0.005244707841,-0.0008859682053,0.01805952314,0.006414269317,False,True,False,False,True
SPX_85_30_15M_R12,SPX_85_30,SPX,15m/12m,0.85,0.3,15,12,0.008804675481,-0.001557469271,-0.05339578542,0.0892,0.005335610569,False,False,True,False,0.0007844411548,-0.002108016762,-0.0111703379,0.0272063198,0.005335610569,False,True,False,False,True
