variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,cagr,p5,drawdown,tail,resolution,improves,worsens,mixed,unresolved,matched_cagr,matched_p5,matched_drawdown,matched_tail,matched_resolution,matched_improves,matched_worsens,matched_mixed,matched_unresolved,matched_inside_grid
SPX_85_45_18M_R12,SPX_85_45,SPX,18m/12m,0.85,0.45,18,12,0.005248251636,-0.003720791266,-0.04421641095,0.1746,0.007919593972,False,True,False,False,0.0003149727824,-0.001620520745,-0.009589917626,0.03975986293,0.007919593972,False,True,False,False,True
SPX_85_45_24M_R6,SPX_85_45,SPX,24m/6m,0.85,0.45,24,6,-0.00925447697,-0.005595429755,0.007198517632,-0.0264,0.00769085097,False,False,True,False,-0.00925447697,-0.005595429755,0.007198517632,-0.0264,0.00769085097,False,False,True,False,False
SPX_85_45_30M_R12,SPX_85_45,SPX,30m/12m,0.85,0.45,30,12,-0.005066732874,0.002455872004,0.03251882176,-0.1312,0.00741873125,True,False,False,False,-0.005066732874,0.002455872004,0.03251882176,-0.1312,0.00741873125,True,False,False,False,False
SPX_85_45_30M_R18,SPX_85_45,SPX,30m/18m,0.85,0.45,30,18,-0.002211889465,0.002988575788,0.01966840673,-0.0944,0.00741873125,True,False,False,False,-0.002211889465,0.002988575788,0.01966840673,-0.0944,0.00741873125,True,False,False,False,False
SPX_90_30_15M_R6,SPX_90_30,SPX,15m/6m,0.9,0.3,15,6,0.0007288100336,-0.007853354602,-0.04847442413,0.117,0.009703758442,False,True,False,False,0.0007288100336,-0.007853354602,-0.04847442413,0.117,0.009703758442,False,True,False,False,False
SPX_90_30_15M_R12,SPX_90_30,SPX,15m/12m,0.9,0.3,15,12,0.008696127966,-0.006177166395,-0.07253493407,0.181,0.008709142055,False,True,False,False,0.008696127966,-0.006177166395,-0.07253493407,0.181,0.008709142055,False,True,False,False,False
SPX_90_30_18M_R6,SPX_90_30,SPX,18m/6m,0.9,0.3,18,6,-0.002570572098,-0.006655796226,-0.0234408637,0.0556,0.008507607054,False,True,False,False,-0.002570572098,-0.006655796226,-0.0234408637,0.0556,0.008507607054,False,True,False,False,False
SPX_90_30_18M_R12,SPX_90_30,SPX,18m/12m,0.9,0.3,18,12,0.004968444681,-0.003461559138,-0.03984012879,0.0858,0.008633497448,False,True,False,False,0.004968444681,-0.003461559138,-0.03984012879,0.0858,0.008633497448,False,True,False,False,False
SPX_90_30_24M_R6,SPX_90_30,SPX,24m/6m,0.9,0.3,24,6,-0.007299416912,-0.005028631136,0.01273937587,-0.007,0.007174864914,False,True,False,False,-0.005403273166,-0.005013982079,0.00125221858,0.0137082762,0.007174864914,False,True,False,False,True
SPX_90_30_30M_R12,SPX_90_30,SPX,30m/12m,0.9,0.3,30,12,-0.004536596438,-0.0002871852534,0.03073460743,-0.031,0.007174864914,True,False,False,False,0.001743822646,0.0001394470062,-0.001923825645,0.01096272008,0.007174864914,False,False,False,True,True
SPX_90_30_30M_R18,SPX_90_30,SPX,30m/18m,0.9,0.3,30,18,-0.002088520598,0.0002900517458,0.01603688124,-0.0172,0.007174864914,False,False,False,True,0.001300708126,0.000494478552,-0.00143686211,0.005945227616,0.007174864914,False,False,False,True,True
