case,arm,dial,block_days,iv_premium,roll,treasury_leverage,horizon_years,paths,strategy,family,underlying,moneyness,premium_budget,mean_cagr,max_drawdown_median,worst_max_drawdown,prob_negative_cagr,prob_below_own_underlying,prob_below_sp500,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,max_drawdown_p90,max_drawdown_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional,on_growth_frontier,on_robust_frontier,on_frontier,adjacent_lower_risk,prob_beat_adjacent_lower_risk
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_85_45,NDX LEAPS,NASDAQ100_1X,0.85,0.45,0.1898990699,-0.5276842737,-0.937835807,0.05473333333,0.2342666667,0.2044666667,-0.004152314572,0.9592496748,0.03111275182,1.358449083,0.1828641425,5.361037251,0.359945904,21.62885622,0.4112536145,31.32173958,-0.6879890828,-0.7359308262,0.9096666667,0.6023333333,0.2726666667,0.04093333333,1.369789166,0.4672217546,0.5327782454,1.90069877,False,False,False,NDX_90_40,0.7444
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_85_50,NDX LEAPS,NASDAQ100_1X,0.85,0.5,0.1980134305,-0.5716091579,-0.9591654926,0.06826666667,0.2366,0.2099333333,-0.01684680654,0.843766043,0.02285981704,1.253567551,0.1898451179,5.685923193,0.3871120941,26.35852134,0.4413892896,38.68972888,-0.7349344861,-0.7819902024,0.9618666667,0.7455333333,0.4048,0.08153333333,1.512900109,0.5145722104,0.4854277896,1.996551147,True,False,True,NDX_90_45,0.7042
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_90_20,NDX LEAPS,NASDAQ100_1X,0.9,0.2,0.134646723,-0.312766836,-0.7255882193,0.01673333333,0.6636,0.3486,0.02821346977,1.320737036,0.04853730308,1.606240904,0.1320332658,3.455557845,0.2249083524,7.601780999,0.2528904169,9.527892286,-0.4375797178,-0.4799466512,0.1701333333,0.03453333333,0.004733333333,0,0.680441268,0.2211441524,0.7788558476,1.458311985,False,False,False,,
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_90_25,NDX LEAPS,NASDAQ100_1X,0.9,0.25,0.149417316,-0.3593019981,-0.7922890492,0.02253333333,0.5511333333,0.2706666667,0.02459404339,1.274981324,0.0471121707,1.584545475,0.1451654467,3.877946107,0.2580083361,9.924273635,0.2913330137,12.8893358,-0.4941586076,-0.5379395301,0.3292,0.0914,0.01593333333,0.0006666666667,0.8401655987,0.2720800351,0.7279199649,1.566916052,False,False,False,,
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_90_30,NDX LEAPS,NASDAQ100_1X,0.9,0.3,0.1627375214,-0.4075094128,-0.8459114437,0.02993333333,0.4048,0.2328,0.01739675666,1.188210086,0.04343707683,1.529809548,0.1572783485,4.308156182,0.2897083933,12.72811258,0.3288517059,17.16311674,-0.5515283065,-0.5982492198,0.5339333333,0.1897333333,0.04806666667,0.0024,0.9975089599,0.3220286333,0.6779713667,1.674093176,False,False,False,,
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_90_35,NDX LEAPS,NASDAQ100_1X,0.9,0.35,0.1746594538,-0.4563875944,-0.8868510255,0.03946666667,0.3041333333,0.2153333333,0.009094917988,1.094749631,0.03827950197,1.455862864,0.1680774363,4.727417847,0.3200653859,16.06162003,0.3648768519,22.42589325,-0.6076075052,-0.6556824998,0.7299333333,0.3426,0.1112,0.007733333333,1.152653843,0.3708747748,0.6291252252,1.779979342,True,False,True,NDX_85_35,0.6755333333
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_90_40,NDX LEAPS,NASDAQ100_1X,0.9,0.4,0.1852131853,-0.504437919,-0.9215460669,0.05073333333,0.2604666667,0.2109333333,-0.0004025832412,0.9959820022,0.03195148963,1.369538118,0.1776520515,5.129472588,0.349559036,20.03275374,0.4007599308,29.06944506,-0.6616056674,-0.70945434,0.8685333333,0.5167333333,0.2096666667,0.02513333333,1.306006567,0.4189670143,0.5810329857,1.885053226,True,False,True,NDX_80_45,0.4797333333
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_90_45,NDX LEAPS,NASDAQ100_1X,0.9,0.45,0.1944092486,-0.5508291774,-0.9486460193,0.0652,0.2492666667,0.2142,-0.0118335591,0.8877855793,0.02438466809,1.272378654,0.1855780869,5.485300593,0.3781082952,24.69692166,0.4349285157,36.99031023,-0.7121186979,-0.7589420705,0.945,0.6827333333,0.3402,0.05926666667,1.458826547,0.4664542892,0.5335457108,1.990607436,True,False,True,NDX_80_50,0.5064666667
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_90_50,NDX LEAPS,NASDAQ100_1X,0.9,0.5,0.2022394323,-0.5955426804,-0.9672286748,0.07886666667,0.2592,0.2235333333,-0.02569149298,0.7708687128,0.01588527153,1.170677498,0.1919198428,5.785836043,0.405661226,30.10261467,0.466793125,46.07452968,-0.7586654269,-0.8047929609,0.9772666667,0.8122666667,0.4845333333,0.1132,1.610911268,0.5133224533,0.4866775467,2.095380398,False,False,False,NDX_85_50,0.5892666667
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_95_20,NDX LEAPS,NASDAQ100_1X,0.95,0.2,0.1381776443,-0.326833243,-0.74724198,0.019,0.6405333333,0.3337333333,0.02549145565,1.286191092,0.04628125786,1.572018168,0.1349377384,3.545235753,0.2347008498,8.231749184,0.2657305417,10.55048686,-0.4540218054,-0.4974242146,0.2112666667,0.0476,0.006866666667,0,0.7244245694,0.2214014125,0.7785985875,1.501906069,False,False,False,,
